Table 6,,,,,,,,,,,
Crime in the United States, ,,,,,,,,,,
"by Metropolitan Statistical Area, 2007",,,,,,,,,,,
Metropolitan Statistical Area,Counties/principal cities,Population,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft
,City of Beaumont,"109,345","1,073",15,71,309,678,"6,643","1,707","4,471",465
,City of Port Arthur,"55,481",475,9,47,196,223,"2,285",747,"1,280",258
,Total area actually reporting,100.0%,"2,209",29,189,640,"1,351","15,446","4,215","9,940","1,291"
,"Rate per 100,000 inhabitants",,583.2,7.7,49.9,169.0,356.7,"4,077.8","1,112.8","2,624.2",340.8
"Bellingham, WA M.S.A.",,"188,708", ,,,,, ,,,
,Includes Whatcom County,,,,,,,,,,
,City of Bellingham,"76,290",187,2,29,58,98,"5,022",696,"4,087",239
,Total area actually reporting,100.0%,441,2,88,81,270,"8,167","1,498","6,233",436
,"Rate per 100,000 inhabitants",,233.7,1.1,46.6,42.9,143.1,"4,327.9",793.8,"3,303.0",231.0
"Bend, OR M.S.A.",,"154,723", ,,,,, ,,,
,Includes Deschutes County,,,,,,,,,,
,City of Bend,"75,185",155,0,20,40,95,"2,977",594,"2,187",196
,Total area actually reporting,100.0%,342,0,54,61,227,"5,302","1,151","3,780",371
,"Rate per 100,000 inhabitants",,221.0,0.0,34.9,39.4,146.7,"3,426.8",743.9,"2,443.1",239.8
"Billings, MT M.S.A.",,"150,563", ,,,,, ,,,
,Includes Carbon and Yellowstone Counties, ,,,,,,,,,
,City of Billings,"101,342",245,1,23,54,167,"4,182",435,"3,420",327
,Total area actually reporting,99.5%,336,2,39,58,237,"5,191",558,"4,251",382
,Estimated total,100.0%,338,2,39,58,239,"5,217",559,"4,275",383
,"Rate per 100,000 inhabitants",,224.5,1.3,25.9,38.5,158.7,"3,465.0",371.3,"2,839.3",254.4
"Binghamton, NY M.S.A.",,"246,237", ,,,,, ,,,
,Includes Broome and Tioga Counties,,,,,,,,,,
,City of Binghamton,"44,931",214,3,19,67,125,"2,100",254,"1,809",37
,Total area actually reporting,100.0%,481,4,65,109,303,"5,847",853,"4,851",143
,"Rate per 100,000 inhabitants",,195.3,1.6,26.4,44.3,123.1,"2,374.5",346.4,"1,970.1",58.1
"Birmingham-Hoover, AL M.S.A.",,"1,108,901",,,,,,,,,
,"Includes Bibb, Blount, Chilton, Jefferson, St. Clair, Shelby, and Walker Counties",,,,,,,,,,
,City of Birmingham,"227,686","3,320",86,229,"1,609","1,396","19,638","4,864","12,528","2,246"
,City of Hoover,"69,527",121,0,18,71,32,"2,443",372,"1,910",161
,Total area actually reporting,88.4%,"5,993",121,423,"2,517","2,932","45,128","10,873","30,165","4,090"
,Estimated total,100.0%,"6,461",130,456,"2,666","3,209","49,747","11,960","33,349","4,438"
,"Rate per 100,000 inhabitants",,582.6,11.7,41.1,240.4,289.4,"4,486.2","1,078.5","3,007.4",400.2
"Bismarck, ND M.S.A.",,"102,688", ,,,,, ,,,
,Includes Burleigh and Morton Counties,,,,,,,,,,
,City of Bismarck,"58,648",108,1,25,11,71,"1,550",255,"1,194",101
,Total area actually reporting,100.0%,172,1,44,14,113,"2,197",369,"1,673",155
,"Rate per 100,000 inhabitants",,167.5,1.0,42.8,13.6,110.0,"2,139.5",359.3,"1,629.2",150.9
"Blacksburg-Christiansburg-Radford, VA M.S.A.",,"151,219",,,,,,,,,
,"Includes Giles, Montgomery, and Pulaski Counties and Radford City",,,,,,,,,,
,City of Blacksburg,"39,250",63,0,8,10,45,656,120,520,16
,City of Christiansburg,"17,983",53,0,1,7,45,762,111,622,29
,City of Radford,"14,317",40,0,8,5,27,502,120,359,23
,Total area actually reporting,100.0%,316,32,45,41,198,"4,240",838,"3,234",168
,"Rate per 100,000 inhabitants",,209.0,21.2,29.8,27.1,130.9,"2,803.9",554.2,"2,138.6",111.1
"Bloomington, IN M.S.A.",,"179,055", ,,,,, ,,,
,"Includes Greene, Monroe, and Owen Counties",,,,,,,,,,
,City of Bloomington,"68,918",275,1,24,72,178,"2,898",666,"2,060",172
,Total area actually reporting,82.6%,389,4,39,91,255,"4,373","1,078","3,025",270
,Estimated total,100.0%,431,4,43,102,282,"5,022","1,208","3,492",322
,"Rate per 100,000 inhabitants",,240.7,2.2,24.0,57.0,157.5,"2,804.7",674.7,"1,950.2",179.8
"Boise City-Nampa, ID M.S.A.",,"586,066",,,,,,,,,
,"Includes Ada, Boise, Canyon, Gem, and Owyhee Counties",, ,,,,,,,,
,City of Boise ,"199,104",648,10,122,68,448,"6,175","1,018","4,778",379
,City of Nampa,"80,397",260,5,55,17,183,"2,508",613,"1,643",252
,Total area actually reporting,100.0%,"1,570",21,278,129,"1,142","14,564","3,025","10,433","1,106"
,"Rate per 100,000 inhabitants",,267.9,3.6,47.4,22.0,194.9,"2,485.0",516.2,"1,780.2",188.7
"Boston-Cambridge-Quincy, MA-NH M.S.A.2",,"4,460,277",,,,,,,,,
,"Includes the Metropolitan Divisions of Boston-Quincy, MA; Cambridge-Newton-Framingham, MA; and Peabody, MA and Rockingham County-Strafford County, NH",,,,,,,,,,
,"City of Boston, MA","591,855","6,837",65,263,"2,242","4,267","24,579","3,810","17,351","3,418"
,"City of Cambridge, MA2","101,161",421,0,12,148,261,"3,616",662,"2,718",236
,"City of Quincy, MA","91,382",253,2,16,70,165,"1,877",589,"1,147",141
,"City of Newton, MA","82,731",78,0,8,13,57,"1,306",184,"1,079",43
,"City of Framingham, MA","64,482",107,0,3,29,75,"1,380",211,"1,018",151
,"City of Waltham, MA","59,425",125,0,11,19,95,820,172,594,54
,"City of Peabody, MA","52,194",128,0,7,16,105,"1,235",126,"1,002",107
,Total area actually reporting,97.9%,"17,096",123,950,"4,751","11,272","100,025","20,595","69,908","9,522"
,Estimated total,100.0%,"17,261",124,969,"4,782","11,386","101,681","20,970","71,081","9,630"
,"Rate per 100,000 inhabitants",,387.0,2.8,21.7,107.2,255.3,"2,279.7",470.2,"1,593.6",215.9
"Boston-Quincy, MA M.D.",,"1,839,638",,,,,,,,,
,"Includes Norfolk, Plymouth, and Suffolk Counties",,,,,,,,,,
,Total area actually reporting,98.3%,"10,473",93,482,"3,215","6,683","48,682","9,192","34,162","5,328"
,Estimated total,100.0%,"10,565",94,488,"3,233","6,750","49,322","9,352","34,591","5,379"
,"Rate per 100,000 inhabitants",,574.3,5.1,26.5,175.7,366.9,"2,681.1",508.4,"1,880.3",292.4
"Cambridge-Newton-Framingham, MA M.D.2",,"1,466,454",,,,,,,,,
,Includes Middlesex County,,,,,,,,,,
,Total area actually reporting,99.8%,"3,461",13,229,937,"2,282","29,693","6,303","21,079","2,311"
,Estimated total,100.0%,"3,471",13,230,939,"2,289","29,758","6,319","21,123","2,316"
,"Rate per 100,000 inhabitants",,236.7,0.9,15.7,64.0,156.1,"2,029.2",430.9,"1,440.4",157.9
"Peabody, MA M.D.",,"737,494",,,,,,,,,
,Includes Essex County,,,,,,,,,,
,Total area actually reporting,99.5%,"2,725",16,153,527,"2,029","15,178","3,951","9,709","1,518"
,Estimated total,100.0%,"2,735",16,154,529,"2,036","15,245","3,968","9,754","1,523"
,"Rate per 100,000 inhabitants",,370.9,2.2,20.9,71.7,276.1,"2,067.1",538.0,"1,322.6",206.5
"Rockingham County-Strafford County, NH M.D.",,"416,691",,,,,,,,,
,Includes Rockingham and Strafford Counties,,,,,,,,,,
,Total area actually reporting,86.4%,437,1,86,72,278,"6,472","1,149","4,958",365
,Estimated total,100.0%,490,1,97,81,311,"7,356","1,331","5,613",412
,"Rate per 100,000 inhabitants",,117.6,0.2,23.3,19.4,74.6,"1,765.3",319.4,"1,347.0",98.9
"Bowling Green, KY M.S.A.",,"114,815", ,,,,, ,,,
,Includes Edmonson and Warren Counties,,,,,,,,,,
,City of Bowling Green,"53,663",348,1,49,87,211,"2,739",545,"2,072",122
,Total area actually reporting,99.1%,378,1,53,94,230,"3,560",782,"2,619",159
,Estimated total,100.0%,381,1,53,95,232,"3,596",790,"2,645",161
,"Rate per 100,000 inhabitants",,331.8,0.9,46.2,82.7,202.1,"3,132.0",688.1,"2,303.7",140.2
"Bradenton-Sarasota-Venice, FL M.S.A.",,"690,730",,,,,,,,,
,Includes Manatee and Sarasota Counties,,,,,,,,,,
,City of Bradenton,"54,253",530,5,19,156,350,"2,476",593,"1,674",209
,City of Sarasota,"52,986",588,6,28,185,369,"3,516",806,"2,470",240
,City of Venice,"21,329",56,0,3,5,48,626,82,517,27
,Total area actually reporting,100.0%,"4,571",43,218,"1,062","3,248","28,989","6,614","20,452","1,923"
,"Rate per 100,000 inhabitants",,661.8,6.2,31.6,153.8,470.2,"4,196.9",957.5,"2,960.9",278.4
"Bremerton-Silverdale, WA M.S.A.",,"241,780",,,,,,,,,
,Includes Kitsap County,, ,,,,,,,,
,City of Bremerton,"35,068",336,0,63,60,213,"1,652",368,"1,185",99
,Total area actually reporting,100.0%,"1,049",1,200,105,743,"6,259","1,567","4,314",378
,"Rate per 100,000 inhabitants",,433.9,0.4,82.7,43.4,307.3,"2,588.7",648.1,"1,784.3",156.3
"Bridgeport-Stamford-Norwalk, CT M.S.A.",,"884,290",,,,,,,,,
,Includes Fairfield County,,,,,,,,,,
,City of Bridgeport,"137,655","1,603",14,77,675,837,"6,577","1,201","4,223","1,153"
,City of Stamford,"119,510",336,3,33,129,171,"1,882",332,"1,316",234
,City of Norwalk,"84,343",343,3,13,120,207,"1,872",284,"1,378",210
,City of Danbury,"79,893",146,2,20,75,49,"1,482",275,"1,069",138
,City of Stratford,"49,440",116,0,3,58,55,"1,539",209,"1,128",202
,Total area actually reporting,100.0%,"2,712",23,166,"1,124","1,399","17,692","3,002","12,479","2,211"
,"Rate per 100,000 inhabitants",,306.7,2.6,18.8,127.1,158.2,"2,000.7",339.5,"1,411.2",250.0
"Brownsville-Harlingen, TX M.S.A.",,"395,428",,,,,,,,,
,Includes Cameron County,, ,,,,,,,,
,City of Brownsville,"177,090",880,5,21,207,647,"9,474","1,442","7,574",458
,City of Harlingen,"64,984",334,7,28,63,236,"4,546","1,054","3,241",251
,Total area actually reporting,100.0%,"1,616",16,100,317,"1,183","19,206","3,965","14,256",985
,"Rate per 100,000 inhabitants",,408.7,4.0,25.3,80.2,299.2,"4,857.0","1,002.7","3,605.2",249.1
"Brunswick, GA M.S.A.",,"101,687", ,,,,, ,,,
,"Includes Brantley, Glynn, and McIntosh Counties",,,,,,,,,,
,City of Brunswick,"16,146",458,8,13,104,333,"1,312",354,867,91
,Total area actually reporting,98.9%,830,20,27,165,618,"4,585","1,082","3,207",296
,Estimated total,100.0%,836,20,27,167,622,"4,637","1,092","3,244",301
,"Rate per 100,000 inhabitants",,822.1,19.7,26.6,164.2,611.7,"4,560.1","1,073.9","3,190.2",296.0
"Buffalo-Niagara Falls, NY M.S.A.",,"1,129,953",,,,,,,,,
,Includes Erie and Niagara Counties,,,,,,,,,,
,City of Buffalo,"273,832","3,490",54,164,"1,533","1,739","16,137","4,389","9,477","2,271"
,City of Cheektowaga Town,"79,164",226,0,20,84,122,"2,304",301,"1,874",129
,City of Tonawanda,"14,971",22,0,4,3,15,431,51,367,13
,City of Niagara Falls,"51,897",501,3,38,134,326,"2,676",668,"1,796",212
,Total area actually reporting,100.0%,"5,271",60,331,"2,019","2,861","34,365","7,835","23,398","3,132"
,"Rate per 100,000 inhabitants",,466.5,5.3,29.3,178.7,253.2,"3,041.3",693.4,"2,070.7",277.2
"Burlington, NC M.S.A.",,"145,711", ,,,,, ,,,
,Includes Alamance County,,,,,,,,,,
,City of Burlington,"48,689",404,3,16,103,282,"2,967",763,"2,054",150
,Total area actually reporting,98.6%,650,9,33,148,460,"5,361","1,442","3,627",292
,Estimated total,100.0%,659,9,34,150,466,"5,465","1,467","3,701",297
,"Rate per 100,000 inhabitants",,452.3,6.2,23.3,102.9,319.8,"3,750.6","1,006.8","2,540.0",203.8
"Burlington-South Burlington, VT M.S.A.",,"205,403",,,,,,,,,
,"Includes Chittenden, Franklin, and Grand Isle Counties",, ,,,,,,,,
,City of Burlington,"38,153",135,0,22,18,95,"1,673",359,"1,268",46
,City of South Burlington,"17,333",20,0,9,2,9,631,27,572,32
,Total area actually reporting,100.0%,365,4,66,42,253,"6,311","1,140","4,932",239
,"Rate per 100,000 inhabitants",,177.7,1.9,32.1,20.4,123.2,"3,072.5",555.0,"2,401.1",116.4
"Cape Coral-Fort Myers, FL M.S.A.",,"587,220",,,,,,,,,
,Includes Lee County,, ,,,,,,,,
,City of Cape Coral,"159,936",402,5,40,97,260,"5,574","1,483","3,787",304
,City of Fort Myers,"61,810",921,17,26,335,543,"3,357",576,"2,265",516
,Total area actually reporting,100.0%,"3,329",47,177,988,"2,117","22,622","6,501","13,983","2,138"
,"Rate per 100,000 inhabitants",,566.9,8.0,30.1,168.3,360.5,"3,852.4","1,107.1","2,381.2",364.1
"Carson City, NV M.S.A.",,"55,713", ,,,,, ,,,
,Includes Carson City,,,,,,,,,,
,Total area actually reporting,100.0%,206,1,5,21,179,"1,103",286,723,94
,"Rate per 100,000 inhabitants",,369.8,1.8,9.0,37.7,321.3,"1,979.8",513.3,"1,297.7",168.7
"Casper, WY M.S.A.",,"71,604", ,,,,, ,,,
,Includes Natrona County,,,,,,,,,,
