Table 6,,,,,,,,,,,
Crime in the United States,,,,,,,,,,,
"by Metropolitan Statistical Area, 2017",,,,,,,,,,,
Metropolitan Statistical Area,Counties/principal cities,Population,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft"
,Total area actually reporting,98.5%," 21,357 ", 392 ," 1,514 "," 6,715 "," 12,736 "," 166,368 "," 27,784 "," 120,804 "," 17,780 "
,Estimated total,100.0%," 21,627 ", 397 ," 1,534 "," 6,791 "," 12,905 "," 168,586 "," 28,218 "," 122,365 "," 18,003 "
,"Rate per 100,000 inhabitants",,367.6,6.7,26.1,115.4,219.4,"2,865.7",479.7,"2,080.0",306.0
"Atlantic City-Hammonton, NJ M.S.A.",,"271,486", ,,,,, ,,,
,Includes Atlantic County,,,,,,,,,,
,City of Atlantic City,"38,601", 425 , 13 , 24 , 227 , 161 ," 1,732 ", 319 ," 1,298 ", 115 
,City of Hammonton,"14,370", 17 , 0 , 0 , 3 , 14 , 177 , 37 , 134 , 6 
,Total area actually reporting,100.0%, 847 , 21 , 54 , 344 , 428 ," 6,943 "," 1,230 "," 5,435 ", 278 
,"Rate per 100,000 inhabitants",,312.0,7.7,19.9,126.7,157.7,"2,557.4",453.1,"2,001.9",102.4
"Auburn-Opelika, AL M.S.A",,"162,152",,,,,,,,,
,Includes Lee County,,,,,,,,,,
,City of Auburn,"64,831", 217 , 4 , 17 , 30 , 166 ," 1,711 ", 156 ," 1,454 ", 101 
,City of Opelika,"30,476", 223 , 5 , 21 , 47 , 150 ," 1,399 ", 220 ," 1,091 ", 88 
,Total area actually reporting,100.0%, 895 , 12 , 64 , 99 , 720 ," 4,388 ", 681 ," 3,379 ", 328 
,"Rate per 100,000 inhabitants",,552.0,7.4,39.5,61.1,444.0,"2,706.1",420.0,"2,083.8",202.3
"Augusta-Richmond County, GA-SC M.S.A.5",,"600,734", ,,,,, ,,,
,"Includes Burke, Columbia, Lincoln, McDuffie, and Richmond Counties, GA and Aiken and Edgefield Counties, SC",,,,,,,,,,
,Total area actually reporting,96.6%," 1,800 ", 39 , 190 , 419 ," 1,152 ",,,," 1,330 "
,Estimated total,100.0%," 1,891 ", 40 , 199 , 432 ," 1,220 ",,,," 1,386 "
,"Rate per 100,000 inhabitants",,314.8,6.7,33.1,71.9,203.1,,,,230.7
"Austin-Round Rock, TX M.S.A.2",,"2,115,140",,,,,,,,,
,"Includes Bastrop, Caldwell, Hays, Travis, and Williamson Counties",, ,,,,,,,,
,City of Austin,"971,949"," 4,032 ", 25 , 834 , 987 ," 2,186 "," 31,001 "," 4,380 "," 24,542 "," 2,079 "
,City of Round Rock,"124,617", 169 , 2 , 33 , 44 , 90 ," 2,701 ", 232 ," 2,405 ", 64 
,Total area actually reporting,99.9%," 6,476 ", 52 ," 1,345 "," 1,316 "," 3,763 "," 49,566 "," 7,377 "," 38,969 "," 3,220 "
,Estimated total,100.0%," 6,479 ", 52 ," 1,345 "," 1,317 "," 3,765 "," 49,588 "," 7,380 "," 38,986 "," 3,222 "
,"Rate per 100,000 inhabitants",,306.3,2.5,63.6,62.3,178.0,"2,344.4",348.9,"1,843.2",152.3
"Bakersfield, CA M.S.A.",,"891,188", ,,,,, ,,,
,Includes Kern County,,,,,,,,,,
,City of Bakersfield,"381,154"," 1,827 ", 41 , 92 , 753 , 941 ," 15,507 "," 3,667 "," 9,063 "," 2,777 "
,Total area actually reporting,100.0%," 4,989 ", 89 , 307 ," 1,297 "," 3,296 "," 28,933 "," 7,429 "," 15,605 "," 5,899 "
,"Rate per 100,000 inhabitants",,559.8,10.0,34.4,145.5,369.8,"3,246.6",833.6,"1,751.0",661.9
"Baltimore-Columbia-Towson, MD M.S.A.",,"2,811,573",,,,,,,,,
,"Includes Anne Arundel, Baltimore, Carroll, Harford, Howard, and Queen Anne's Counties and Baltimore City",,,,,,,,,,
,City of Baltimore,"613,217"," 12,430 ", 342 , 382 ," 5,879 "," 5,827 "," 30,220 "," 8,041 "," 17,008 "," 5,171 "
,Total area actually reporting,100.0%," 22,001 ", 413 ," 1,048 "," 8,454 "," 12,086 "," 76,837 "," 14,673 "," 53,711 "," 8,453 "
,"Rate per 100,000 inhabitants",,782.5,14.7,37.3,300.7,429.9,"2,732.9",521.9,"1,910.4",300.7
"Bangor, ME M.S.A.",,"151,887", ,,,,, ,,,
,Includes Penobscot County,,,,,,,,,,
,City of Bangor,"31,814", 48 , 1 , 8 , 14 , 25 ," 1,209 ", 181 ," 1,004 ", 24 
,Total area actually reporting,100.0%, 100 , 2 , 29 , 21 , 48 ," 2,413 ", 386 ," 1,950 ", 77 
,"Rate per 100,000 inhabitants",,65.8,1.3,19.1,13.8,31.6,"1,588.7",254.1,"1,283.8",50.7
"Barnstable Town, MA M.S.A.",,"214,183", ,,,,, ,,,
,Includes Barnstable County,,,,,,,,,,
,City of Barnstable ,"44,142", 197 , 1 , 18 , 13 , 165 , 547 , 79 , 446 , 22 
,Total area actually reporting,100.0%, 761 , 3 , 91 , 39 , 628 ," 2,930 ", 731 ," 2,078 ", 121 
,"Rate per 100,000 inhabitants",,355.3,1.4,42.5,18.2,293.2,"1,368.0",341.3,970.2,56.5
"Baton Rouge, LA M.S.A.",,"836,722", ,,,,, ,,,
,"Includes Ascension, East Baton Rouge, East Feliciana, Iberville, Livingston, Pointe Coupee, St. Helena, West Baton Rouge, and West Feliciana Parishes",,,,,,,,,,
,City of Baton Rouge,"227,403"," 2,335 ", 87 , 100 , 868 ," 1,280 "," 12,721 "," 3,226 "," 8,504 ", 991 
,Total area actually reporting,99.7%," 4,565 ", 140 , 240 ," 1,211 "," 2,974 "," 32,865 "," 6,853 "," 24,185 "," 1,827 "
,Estimated total,100.0%," 4,575 ", 140 , 241 ," 1,212 "," 2,982 "," 32,946 "," 6,868 "," 24,248 "," 1,830 "
,"Rate per 100,000 inhabitants",,546.8,16.7,28.8,144.9,356.4,"3,937.5",820.8,"2,898.0",218.7
"Battle Creek, MI M.S.A",,"134,442", ,,,,, ,,,
,Includes Calhoun County,,,,,,,,,,
,City of Battle Creek,"60,852", 580 , 3 , 73 , 72 , 432 ," 2,251 ", 501 ," 1,656 ", 94 
,Total area actually reporting,99.9%, 920 , 4 , 147 , 99 , 670 ," 3,977 ", 811 ," 2,994 ", 172 
,Estimated total,100.0%, 920 , 4 , 147 , 99 , 670 ," 3,978 ", 811 ," 2,995 ", 172 
,"Rate per 100,000 inhabitants",,684.3,3.0,109.3,73.6,498.4,"2,958.9",603.2,"2,227.7",127.9
"Bay City, MI M.S.A.",,"104,519", ,,,,, ,,,
,Includes Bay County,,,,,,,,,,
,City of Bay City,"33,286", 242 , 1 , 57 , 35 , 149 , 998 , 223 , 716 , 59 
,Total area actually reporting,100.0%, 385 , 2 , 117 , 48 , 218 ," 1,992 ", 398 ," 1,486 ", 108 
,"Rate per 100,000 inhabitants",,368.4,1.9,111.9,45.9,208.6,"1,905.9",380.8,"1,421.8",103.3
"Beaumont-Port Arthur, TX M.S.A.3",,"410,600",,,,,,,,,
,"Includes Hardin, Jefferson, Newton, and Orange Counties",, ,,,,,,,,
,City of Beaumont,"118,456"," 1,259 ", 16 , 86 , 304 , 853 ," 5,136 "," 1,259 "," 3,472 ", 405 
,City of Port Arthur,"55,583", 378 , 6 , 15 , 110 , 247 ," 2,031 ", 767 ," 1,111 ", 153 
,Total area actually reporting,99.9%," 2,263 ", 27 , 151 , 509 ," 1,576 ",,," 6,995 ", 959 
,Estimated total,100.0%," 2,264 ", 27 , 151 , 509 ," 1,577 ",,," 7,004 ", 960 
,"Rate per 100,000 inhabitants",,551.4,6.6,36.8,124.0,384.1,,,"1,705.8",233.8
"Beckley, WV M.S.A",,"119,499", ,,,,, ,,,
,Includes Fayette and Raleigh Counties,,,,,,,,,,
,City of Beckley,"16,862", 117 , 1 , 22 , 19 , 75 ," 1,006 ", 172 , 791 , 43 
,Total area actually reporting,95.7%, 360 , 6 , 51 , 36 , 267 ," 2,466 ", 564 ," 1,720 ", 182 
,Estimated total,100.0%, 372 , 6 , 53 , 37 , 276 ," 2,624 ", 587 ," 1,845 ", 192 
,"Rate per 100,000 inhabitants",,311.3,5.0,44.4,31.0,231.0,"2,195.8",491.2,"1,543.9",160.7
"Bellingham, WA M.S.A",,"220,105", ,,,,, ,,,
,Includes Whatcom County,,,,,,,,,,
,City of Bellingham,"88,652", 258 , 2 , 56 , 73 , 127 ," 4,151 ", 552 ," 3,435 ", 164 
,Total area actually reporting,100.0%, 496 , 4 , 121 , 96 , 275 ," 6,526 "," 1,116 "," 5,080 ", 330 
,"Rate per 100,000 inhabitants",,225.3,1.8,55.0,43.6,124.9,"2,964.9",507.0,"2,308.0",149.9
"Bend-Redmond, OR M.S.A.",,"185,760", ,,,,, ,,,
,Includes Deschutes County,,,,,,,,,,
,City of Bend,"93,786", 154 , 0 , 33 , 24 , 97 ," 1,960 ", 177 ," 1,680 ", 103 
,City of Redmond,"29,870", 82 , 0 , 16 , 11 , 55 , 933 , 114 , 740 , 79 
,Total area actually reporting,100.0%, 325 , 0 , 71 , 39 , 215 ," 3,700 ", 462 ," 2,996 ", 242 
,"Rate per 100,000 inhabitants",,175.0,0.0,38.2,21.0,115.7,"1,991.8",248.7,"1,612.8",130.3
"Billings, MT M.S.A.",,"171,334", ,,,,, ,,,
,"Includes Carbon, Golden Valley, and Yellowstone Counties",,,,,,,,,,
,City of Billings,"111,317", 549 , 2 , 76 , 87 , 384 ," 6,076 ", 783 ," 4,451 ", 842 
,Total area actually reporting,100.0%, 680 , 4 , 96 , 92 , 488 ," 7,156 ", 951 ," 5,229 ", 976 
,"Rate per 100,000 inhabitants",,396.9,2.3,56.0,53.7,284.8,"4,176.6",555.1,"3,051.9",569.6
"Binghamton, NY M.S.A.",,"243,440", ,,,,, ,,,
,Includes Broome and Tioga Counties,,,,,,,,,,
,City of Binghamton,"45,399", 362 , 4 , 42 , 90 , 226 ," 1,983 ", 370 ," 1,557 ", 56 
,Total area actually reporting,99.7%, 743 , 4 , 179 , 138 , 422 ," 5,284 ", 865 ," 4,248 ", 171 
,Estimated total,100.0%, 744 , 4 , 179 , 138 , 423 ," 5,295 ", 866 ," 4,258 ", 171 
,"Rate per 100,000 inhabitants",,305.6,1.6,73.5,56.7,173.8,"2,175.1",355.7,"1,749.1",70.2
"Bismarck, ND M.S.A.",,"131,352", ,,,,, ,,,
,"Includes Burleigh, Morton, Oliver, and Sioux Counties",,,,,,,,,,
,City of Bismarck,"74,397", 256 , 0 , 45 , 33 , 178 ," 2,438 ", 322 ," 1,884 ", 232 
,Total area actually reporting,100.0%, 423 , 1 , 85 , 34 , 303 ," 3,538 ", 522 ," 2,634 ", 382 
,"Rate per 100,000 inhabitants",,322.0,0.8,64.7,25.9,230.7,"2,693.5",397.4,"2,005.3",290.8
"Bloomington, IL M.S.A.",,"189,116",,,,,,,,,
,Includes DeWitt and McLean Counties,, ,,,,,,,,
,City of Bloomington,"78,203", 343 , 3 , 73 , 45 , 222 ," 1,334 ", 220 ," 1,037 ", 77 
,Total area actually reporting,93.1%, 525 , 5 , 135 , 67 , 318 ," 2,753 ", 424 ," 2,212 ", 117 
,Estimated total,100.0%, 553 , 5 , 139 , 75 , 334 ," 2,963 ", 455 ," 2,379 ", 129 
,"Rate per 100,000 inhabitants",,292.4,2.6,73.5,39.7,176.6,"1,566.8",240.6,"1,258.0",68.2
"Bloomington, IN M.S.A.",,"167,618", ,,,,, ,,,
,Includes Monroe and Owen Counties,,,,,,,,,,
,City of Bloomington,"85,121", 443 , 2 , 78 , 52 , 311 ," 2,584 ", 478 ," 1,940 ", 166 
,Total area actually reporting,87.6%, 524 , 2 , 102 , 62 , 358 ," 3,875 ", 644 ," 2,969 ", 262 
,Estimated total,100.0%, 554 , 2 , 107 , 66 , 379 ," 4,108 ", 698 ," 3,121 ", 289 
,"Rate per 100,000 inhabitants",,330.5,1.2,63.8,39.4,226.1,"2,450.8",416.4,"1,862.0",172.4
"Bloomsburg-Berwick, PA M.S.A",,"84,669", ,,,,, ,,,
,Includes Columbia and Montour Counties,,,,,,,,,,
,City of Bloomsburg Town,"14,542", 35 , 0 , 6 , 2 , 27 , 175 , 35 , 138 , 2 
,City of Berwick,"10,080", 22 , 1 , 2 , 2 , 17 , 195 , 23 , 167 , 5 
,Total area actually reporting,99.1%, 164 , 1 , 45 , 6 , 112 , 960 , 150 , 787 , 23 
,Estimated total,100.0%, 165 , 1 , 45 , 6 , 113 , 970 , 151 , 796 , 23 
,"Rate per 100,000 inhabitants",,194.9,1.2,53.1,7.1,133.5,"1,145.6",178.3,940.1,27.2
"Boise City, ID M.S.A.",,"710,265",,,,,,,,,
,"Includes Ada, Boise, Canyon, Gem, and Owyhee Counties",, ,,,,,,,,
,City of Boise ,"225,677", 630 , 2 , 144 , 51 , 433 ," 5,517 ", 736 ," 4,435 ", 346 
,Total area actually reporting,100.0%," 1,669 ", 7 , 341 , 105 ," 1,216 "," 12,514 "," 2,240 "," 9,271 "," 1,003 "
,"Rate per 100,000 inhabitants",,235.0,1.0,48.0,14.8,171.2,"1,761.9",315.4,"1,305.3",141.2
"Boston-Cambridge-Newton, MA-NH M.S.A.",,"4,839,029",,,,,,,,,
,"Includes the Metropolitan Divisions of Boston, MA; Cambridge-Newton-Framingham, MA; and Rockingham County-Strafford County, NH",,,,,,,,,,
,"City of Boston, MA","682,903"," 4,570 ", 57 , 290 ," 1,404 "," 2,819 "," 14,266 "," 2,109 "," 10,952 "," 1,205 "
,"City of Cambridge, MA","111,707", 313 , 2 , 17 , 101 , 193 ," 2,031 ", 252 ," 1,685 ", 94 
,"City of Newton, MA","89,736", 49 , 0 , 5 , 5 , 39 , 576 , 87 , 471 , 18 
,"City of Framingham, MA","72,153", 235 , 0 , 14 , 20 , 201 , 748 , 132 , 549 , 67 
,"City of Waltham, MA","63,413", 98 , 1 , 16 , 14 , 67 , 609 , 118 , 447 , 44 
,Total area actually reporting,98.6%," 14,587 ", 124 ," 1,319 "," 3,162 "," 9,982 "," 62,474 "," 9,085 "," 48,476 "," 4,913 "
,Estimated total,100.0%," 14,775 ", 125 ," 1,339 "," 3,191 "," 10,120 "," 63,317 "," 9,227 "," 49,115 "," 4,975 "
,"Rate per 100,000 inhabitants",,305.3,2.6,27.7,65.9,209.1,"1,308.5",190.7,"1,015.0",102.8
"Boston, MA M.D.",,"2,014,011",,,,,,,,,
,"Includes Norfolk, Plymouth, and Suffolk Counties",,,,,,,,,,
,Total area actually reporting,97.1%," 8,539 ", 76 , 695 ," 2,076 "," 5,692 "," 30,242 "," 4,338 "," 23,540 "," 2,364 "
,Estimated total,100.0%," 8,706 ", 77 , 713 ," 2,102 "," 5,814 "," 30,985 "," 4,464 "," 24,102 "," 2,419 "
,"Rate per 100,000 inhabitants",,432.3,3.8,35.4,104.4,288.7,"1,538.5",221.6,"1,196.7",120.1
"Cambridge-Newton-Framingham, MA M.D.",,"2,390,681",,,,,,,,,
,Includes Essex and Middlesex Counties,,,,,,,,,,
,Total area actually reporting,99.7%," 5,404 ", 43 , 448 , 988 ," 3,925 "," 26,985 "," 4,140 "," 20,527 "," 2,318 "
,Estimated total,100.0%," 5,424 ", 43 , 450 , 991 ," 3,940 "," 27,075 "," 4,155 "," 20,595 "," 2,325 "
,"Rate per 100,000 inhabitants",,226.9,1.8,18.8,41.5,164.8,"1,132.5",173.8,861.5,97.3
"Rockingham County-Strafford County, NH M.D.",,"434,337",,,,,,,,,
,Includes Rockingham and Strafford Counties,,,,,,,,,,
,Total area actually reporting,99.8%,644, 5 , 176 , 98 , 365 ," 5,247 ", 607 ," 4,409 ", 231 
,Estimated total,100.0%, 645 , 5 , 176 , 98 , 366 ," 5,257 ", 608 ," 4,418 ", 231 
,"Rate per 100,000 inhabitants",,148.5,1.2,40.5,22.6,84.3,"1,210.4",140.0,"1,017.2",53.2
"Bowling Green, KY M.S.A.",,"173,283", ,,,,, ,,,
,"Includes Allen, Butler, Edmonson, and Warren Counties",,,,,,,,,,
,City of Bowling Green,"66,317", 225 , 4 , 61 , 82 , 78 ," 3,089 ", 436 ," 2,476 ", 177 
,Total area actually reporting,100.0%, 295 , 5 , 86 , 93 , 111 ," 4,201 ", 799 ," 3,129 ", 273 
,"Rate per 100,000 inhabitants",,170.2,2.9,49.6,53.7,64.1,"2,424.4",461.1,"1,805.7",157.5
"Bremerton-Silverdale, WA M.S.A.",,"267,867",,,,,,,,,
,Includes Kitsap County,, ,,,,,,,,
