Table 6,,,,,,,,,,,
Crime in the United States,,,,,,,,,,,
"by Metropolitan Statistical Area, 2011",,,,,,,,,,,
Metropolitan Statistical Area,Counties/principal cities,Population,"Violent
crime","Murder and
nonnegligent
manslaughter","Forcible
rape",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft"
"Amarillo, TX M.S.A.",,"255,139", ,,,,, ,,,
,"Includes Armstrong, Carson, Potter, and Randall Counties",,,,,,,,,,
,City of Amarillo,"194,708","1,223",10,104,235,874,"9,388","2,016","6,756",616
,Total area actually reporting,100.0%,"1,318",12,112,241,953,"10,315","2,296","7,346",673
,"Rate per 100,000 inhabitants",,516.6,4.7,43.9,94.5,373.5,"4,042.9",899.9,"2,879.2",263.8
"Ames, IA M.S.A.",,"90,011", ,,,,, ,,,
,Includes Story County,,,,,,,,,,
,City of Ames,"59,274",178,0,18,10,150,"1,670",351,"1,263",56
,Total area actually reporting,100.0%,250,0,30,13,207,"2,351",497,"1,775",79
,"Rate per 100,000 inhabitants",,277.7,0.0,33.3,14.4,230.0,"2,611.9",552.2,"1,972.0",87.8
"Anchorage, AK M.S.A.",,"310,965", ,,,,, ,,,
,Includes Anchorage Municipality and Matanuska-Susitna Borough,,,,,,,,,,
,City of Anchorage,"296,955","2,388",12,283,465,"1,628","9,455","1,080","7,750",625
,Total area actually reporting,100.0%,"2,454",13,289,471,"1,681","10,268","1,161","8,456",651
,"Rate per 100,000 inhabitants",,789.2,4.2,92.9,151.5,540.6,"3,302.0",373.4,"2,719.3",209.3
"Anderson, SC M.S.A.",,"189,305", ,,,,, ,,,
,Includes Anderson County,,,,,,,,,,
,City of Anderson,"26,997",209,3,9,50,147,"2,028",481,"1,405",142
,Total area actually reporting,100.0%,"1,103",15,64,138,886,"9,699","2,720","6,078",901
,"Rate per 100,000 inhabitants",,582.7,7.9,33.8,72.9,468.0,"5,123.5","1,436.8","3,210.7",476.0
"Ann Arbor, MI M.S.A.",,"344,531", ,,,,, ,,,
,Includes Washtenaw County,,,,,,,,,,
,City of Ann Arbor,"113,848",261,0,36,59,166,"2,549",534,"1,918",97
,Total area actually reporting,100.0%,"1,066",8,169,214,675,"7,935","1,957","5,538",440
,"Rate per 100,000 inhabitants",,309.4,2.3,49.1,62.1,195.9,"2,303.1",568.0,"1,607.4",127.7
"Anniston-Oxford, AL M.S.A.1",,"119,143",,,,,,,,,
,Includes Calhoun County1,, ,,,,,,,,
,City of Anniston1,"23,217",411,11,21,85,294,"2,323",996,"1,227",100
,City of Oxford1,"17,280",87,3,5,16,63,"1,048",182,808,58
,Total area actually reporting,100.0%,607,14,43,113,437,"5,089","1,727","3,169",193
,"Rate per 100,000 inhabitants",,509.5,11.8,36.1,94.8,366.8,"4,271.3","1,449.5","2,659.8",162.0
"Appleton, WI M.S.A.",,"226,649", ,,,,, ,,,
,Includes Calumet and Outagamie Counties,,,,,,,,,,
,City of Appleton,"72,939",217,0,33,29,155,"1,458",220,"1,213",25
,Total area actually reporting,100.0%,321,2,45,33,241,"3,839",558,"3,174",107
,"Rate per 100,000 inhabitants",,141.6,0.9,19.9,14.6,106.3,"1,693.8",246.2,"1,400.4",47.2
"Asheville, NC M.S.A.",,"430,246", ,,,,, ,,,
,"Includes Buncombe, Haywood, Henderson, and Madison Counties",,,,,,,,,,
,City of Asheville,"84,450",444,5,22,181,236,"3,949",753,"2,875",321
,Total area actually reporting,99.5%,932,12,73,269,578,"10,808","3,253","6,793",762
,Estimated total,100.0%,938,12,73,271,582,"10,898","3,273","6,860",765
,"Rate per 100,000 inhabitants",,218.0,2.8,17.0,63.0,135.3,"2,533.0",760.7,"1,594.4",177.8
"Athens-Clarke County, GA M.S.A.",,"195,076", ,,,,, ,,,
,"Includes Clarke, Madison, Oconee, and Oglethorpe Counties",,,,,,,,,,
,City of Athens-Clarke County,"117,114",417,6,30,132,249,"4,873","1,359","3,273",241
,Total area actually reporting,99.4%,731,6,44,146,535,"7,224","1,883","4,985",356
,Estimated total,100.0%,734,6,44,147,537,"7,269","1,892","5,018",359
,"Rate per 100,000 inhabitants",,376.3,3.1,22.6,75.4,275.3,"3,726.2",969.9,"2,572.3",184.0
"Atlanta-Sandy Springs-Marietta, GA M.S.A.",,"5,338,234",,,,,,,,,
,"Includes Barrow, Bartow, Butts, Carroll, Cherokee, Clayton, Cobb, Coweta, Dawson, DeKalb, Douglas, Fayette, Forsyth, Fulton, Gwinnett, Haralson, Heard, Henry, Jasper, Lamar, Meriwether, Newton, Paulding, Pickens, Pike, Rockdale, Spalding, and Walton Counties",,,,,,,,,,
,City of Atlanta,"425,533","6,097",88,148,"2,343","3,518","30,144","7,499","17,274","5,371"
,City of Sandy Springs,"95,089",153,1,6,94,52,"2,475",587,"1,728",160
,City of Marietta,"57,324",386,5,13,125,243,"2,624",584,"1,864",176
,Total area actually reporting,99.7%,"21,351",318,"1,096","8,130","11,807","189,043","51,865","117,096","20,082"
,Estimated total,100.0%,"21,403",319,"1,099","8,147","11,838","189,614","51,978","117,515","20,121"
,"Rate per 100,000 inhabitants",,400.9,6.0,20.6,152.6,221.8,"3,552.0",973.7,"2,201.4",376.9
"Atlantic City-Hammonton, NJ M.S.A.",,"275,463", ,,,,, ,,,
,Includes Atlantic County,,,,,,,,,,
,City of Atlantic City,"39,690",741,13,22,384,322,"2,938",573,"2,261",104
,City of Hammonton ,"14,840",17,2,0,7,8,200,60,132,8
,Total area actually reporting,100.0%,"1,396",22,60,603,711,"9,392","2,144","6,916",332
,"Rate per 100,000 inhabitants",,506.8,8.0,21.8,218.9,258.1,"3,409.5",778.3,"2,510.7",120.5
"Auburn-Opelika, AL M.S.A.1",,"140,922",,,,,,,,,
,Includes Lee County1,, ,,,,,,,,
,City of Auburn1,"53,637",152,0,12,48,92,"2,143",550,"1,520",73
,City of Opelika1,"26,604",115,2,17,41,55,"2,036",406,"1,597",33
,Total area actually reporting,100.0%,296,3,32,94,167,"4,587","1,054","3,400",133
,"Rate per 100,000 inhabitants",,210.0,2.1,22.7,66.7,118.5,"3,255.0",747.9,"2,412.7",94.4
"Augusta-Richmond County, GA-SC M.S.A.",,"563,924", ,,,,, ,,,
,"Includes Burke, Columbia, McDuffie, and Richmond Counties, GA and Aiken and Edgefield Counties, SC",,,,,,,,,,
,Total area actually reporting,98.8%,"2,011",50,204,735,"1,022","24,273","6,597","15,568","2,108"
,Estimated total,100.0%,"2,035",50,205,743,"1,037","24,543","6,650","15,767","2,126"
,"Rate per 100,000 inhabitants",,360.9,8.9,36.4,131.8,183.9,"4,352.2","1,179.2","2,795.9",377.0
"Austin-Round Rock-San Marcos, TX M.S.A.",,"1,752,404",,,,,,,,,
,"Includes Bastrop, Caldwell, Hays, Travis, and Williamson Counties",, ,,,,,,,,
,City of Austin,"807,022","3,471",28,211,"1,106","2,126","42,250","7,042","33,069","2,139"
,City of Round Rock,"101,989",115,2,25,39,49,"2,446",394,"2,001",51
,City of San Marcos,"45,839",159,1,11,37,110,"1,568",273,"1,206",89
,Total area actually reporting,100.0%,"5,032",50,399,"1,317","3,266","60,429","10,820","46,845","2,764"
,"Rate per 100,000 inhabitants",,287.1,2.9,22.8,75.2,186.4,"3,448.3",617.4,"2,673.2",157.7
"Bakersfield-Delano, CA M.S.A.",,"849,502", ,,,,, ,,,
,Includes Kern County,,,,,,,,,,
,City of Bakersfield,"351,568","1,866",18,39,548,"1,261","14,840","4,321","8,123","2,396"
,City of Delano,"53,665",220,1,7,48,164,"1,644",773,513,358
,Total area actually reporting,100.0%,"4,447",46,184,"1,029","3,188","30,071","9,460","15,725","4,886"
,"Rate per 100,000 inhabitants",,523.5,5.4,21.7,121.1,375.3,"3,539.8","1,113.6","1,851.1",575.2
"Baltimore-Towson, MD M.S.A.",,"2,736,186",,,,,,,,,
,"Includes Anne Arundel, Baltimore, Carroll, Harford, Howard, and Queen Anne's Counties and Baltimore City",,,,,,,,,,
,City of Baltimore,"626,848","8,885",196,341,"3,457","4,891","29,824","8,615","17,010","4,199"
,Total area actually reporting,100.0%,"17,681",256,681,"5,968","10,776","83,249","17,846","57,896","7,507"
,"Rate per 100,000 inhabitants",,646.2,9.4,24.9,218.1,393.8,"3,042.5",652.2,"2,115.9",274.4
"Bangor, ME M.S.A.",,"153,903", ,,,,, ,,,
,Includes Penobscot County,,,,,,,,,,
,City of Bangor,"33,035",69,2,9,35,23,"1,672",249,"1,389",34
,Total area actually reporting,100.0%,123,7,21,47,48,"4,316",921,"3,255",140
,"Rate per 100,000 inhabitants",,79.9,4.5,13.6,30.5,31.2,"2,804.4",598.4,"2,115.0",91.0
"Barnstable Town, MA M.S.A.",,"217,204", ,,,,, ,,,
,Includes Barnstable County,,,,,,,,,,
,City of Barnstable ,"45,468",303,1,28,32,242,"1,278",360,855,63
,Total area actually reporting,100.0%,985,3,99,106,777,"6,051","2,295","3,565",191
,"Rate per 100,000 inhabitants",,453.5,1.4,45.6,48.8,357.7,"2,785.9","1,056.6","1,641.3",87.9
"Baton Rouge, LA M.S.A.",,"809,822", ,,,,, ,,,
,"Includes Ascension, East Baton Rouge, East Feliciana, Iberville, Livingston, Pointe Coupee, St. Helena, West Baton Rouge, and West Feliciana Parishes",,,,,,,,,,
,City of Baton Rouge,"231,592","2,468",64,51,893,"1,460","12,666","4,220","7,946",500
,Total area actually reporting,98.7%,"4,692",95,146,"1,282","3,169","32,521","8,679","22,733","1,109"
,Estimated total,100.0%,"4,752",96,149,"1,290","3,217","32,994","8,771","23,099","1,124"
,"Rate per 100,000 inhabitants",,586.8,11.9,18.4,159.3,397.2,"4,074.2","1,083.1","2,852.4",138.8
"Battle Creek, MI M.S.A.",,"136,043", ,,,,, ,,,
,Includes Calhoun County,,,,,,,,,,
,City of Battle Creek,"61,658",567,5,62,98,402,"3,089","1,146","1,846",97
,Total area actually reporting,98.8%,848,8,82,138,620,"5,183","1,704","3,324",155
,Estimated total,100.0%,853,8,83,139,623,"5,227","1,714","3,355",158
,"Rate per 100,000 inhabitants",,627.0,5.9,61.0,102.2,457.9,"3,842.2","1,259.9","2,466.1",116.1
"Bay City, MI M.S.A.",,"107,690", ,,,,, ,,,
,Includes Bay County,,,,,,,,,,
,City of Bay City,"34,906",170,0,36,35,99,797,244,524,29
,Total area actually reporting,100.0%,295,3,74,45,173,"2,113",538,"1,504",71
,"Rate per 100,000 inhabitants",,273.9,2.8,68.7,41.8,160.6,"1,962.1",499.6,"1,396.6",65.9
"Beaumont-Port Arthur, TX M.S.A.",,"396,925",,,,,,,,,
,"Includes Hardin, Jefferson, and Orange Counties",, ,,,,,,,,
,City of Beaumont,"120,785","1,069",13,65,356,635,"6,656","2,035","4,336",285
,City of Port Arthur,"54,950",434,8,29,156,241,"2,853",950,"1,740",163
,Total area actually reporting,100.0%,"2,167",26,137,627,"1,377","15,375","4,555","10,000",820
,"Rate per 100,000 inhabitants",,545.9,6.6,34.5,158.0,346.9,"3,873.5","1,147.6","2,519.4",206.6
"Bellingham, WA M.S.A.",,"204,296", ,,,,, ,,,
,Includes Whatcom County,,,,,,,,,,
,City of Bellingham,"82,154",199,1,35,55,108,"3,738",646,"2,961",131
,Total area actually reporting,100.0%,439,3,94,74,268,"6,395","1,448","4,721",226
,"Rate per 100,000 inhabitants",,214.9,1.5,46.0,36.2,131.2,"3,130.3",708.8,"2,310.9",110.6
"Bend, OR M.S.A.",,"159,412", ,,,,, ,,,
,Includes Deschutes County,,,,,,,,,,
,City of Bend,"77,455",204,1,25,27,151,"2,416",365,"1,978",73
,Total area actually reporting,100.0%,528,2,55,45,426,"4,914",791,"3,950",173
,"Rate per 100,000 inhabitants",,331.2,1.3,34.5,28.2,267.2,"3,082.6",496.2,"2,477.9",108.5
"Billings, MT M.S.A.1",,"159,454", ,,,,, ,,,
,Includes Carbon and Yellowstone Counties1, ,,,,,,,,,
,City of Billings1,"105,095",313,2,36,36,239,"4,693",669,"3,689",335
,Total area actually reporting,100.0%,418,3,42,41,332,"5,521",851,"4,264",406
,"Rate per 100,000 inhabitants",,262.1,1.9,26.3,25.7,208.2,"3,462.4",533.7,"2,674.1",254.6
"Binghamton, NY M.S.A.",,"252,857", ,,,,, ,,,
,Includes Broome and Tioga Counties,,,,,,,,,,
,City of Binghamton,"47,589",268,0,17,76,175,"2,284",415,"1,796",73
,Total area actually reporting,100.0%,548,3,59,125,361,"6,648","1,215","5,257",176
,"Rate per 100,000 inhabitants",,216.7,1.2,23.3,49.4,142.8,"2,629.2",480.5,"2,079.0",69.6
"Birmingham-Hoover, AL M.S.A.1",,"1,133,475",,,,,,,,,
,"Includes Bibb, Blount, Chilton, Jefferson, St. Clair, Shelby, and Walker Counties1",,,,,,,,,,
,City of Birmingham1,"213,258","3,163",54,182,"1,011","1,916","17,841","5,806","10,522","1,513"
,City of Hoover1,"82,012",59,0,7,35,17,"2,194",422,"1,663",109
,Total area actually reporting,94.9%,"5,805",99,404,"1,683","3,619","45,250","14,220","27,992","3,038"
,Estimated total,100.0%,"5,942",101,417,"1,704","3,720","46,401","14,658","28,634","3,109"
,"Rate per 100,000 inhabitants",,524.2,8.9,36.8,150.3,328.2,"4,093.7","1,293.2","2,526.2",274.3
"Bismarck, ND M.S.A.",,"110,613", ,,,,, ,,,
,Includes Burleigh and Morton Counties,,,,,,,,,,
,City of Bismarck,"62,305",166,1,27,15,123,"1,865",258,"1,494",113
,Total area actually reporting,100.0%,245,3,41,16,185,"2,700",436,"2,098",166
,"Rate per 100,000 inhabitants",,221.5,2.7,37.1,14.5,167.2,"2,440.9",394.2,"1,896.7",150.1
"Blacksburg-Christiansburg-Radford, VA M.S.A.",,"164,905",,,,,,,,,
,"Includes Giles, Montgomery, and Pulaski Counties and Radford City",,,,,,,,,,
,City of Blacksburg,"43,129",24,0,9,5,10,591,84,490,17
,City of Christiansburg,"21,292",29,0,7,5,17,733,98,615,20
,City of Radford,"16,604",55,1,7,8,39,477,97,364,16
,Total area actually reporting,100.0%,245,3,55,24,163,"4,137",716,"3,279",142
,"Rate per 100,000 inhabitants",,148.6,1.8,33.4,14.6,98.8,"2,508.7",434.2,"1,988.4",86.1
"Bloomington, IN M.S.A.",,"193,698", ,,,,, ,,,
,"Includes Greene, Monroe, and Owen Counties",,,,,,,,,,
,City of Bloomington,"80,816",244,4,18,58,164,"3,072",601,"2,300",171
,Total area actually reporting,87.7%,350,6,39,65,240,"4,985",997,"3,696",292
,Estimated total,100.0%,378,6,43,69,260,"5,378","1,096","3,964",318
,"Rate per 100,000 inhabitants",,195.1,3.1,22.2,35.6,134.2,"2,776.5",565.8,"2,046.5",164.2
"Bloomington-Normal, IL M.S.A.",,"170,082",,,,,,,,,
,Includes McLean County,, ,,,,,,,,
,City of Bloomington,"76,841",361,1,69,58,233,"1,740",460,"1,231",49
,City of Normal,"52,655",106,0,16,19,71,"1,299",279,994,26
,Total area actually reporting,94.5%,525,2,92,81,350,"3,493",862,"2,543",88
,Estimated total,100.0%,546,2,94,87,363,"3,697",901,"2,699",97
,"Rate per 100,000 inhabitants",,321.0,1.2,55.3,51.2,213.4,"2,173.7",529.7,"1,586.9",57.0
"Boise City-Nampa, ID M.S.A.",,"623,381",,,,,,,,,
,"Includes Ada, Boise, Canyon, Gem, and Owyhee Counties",, ,,,,,,,,
,City of Boise ,"207,945",510,1,66,59,384,"5,328",809,"4,347",172
,City of Nampa,"82,459",227,0,37,9,181,"2,475",514,"1,864",97
,Total area actually reporting,99.9%,"1,302",8,157,91,"1,046","12,670","2,412","9,792",466
,Estimated total,100.0%,"1,303",8,157,91,"1,047","12,681","2,414","9,801",466
,"Rate per 100,000 inhabitants",,209.0,1.3,25.2,14.6,168.0,"2,034.2",387.2,"1,572.2",74.8
"Boston-Cambridge-Quincy, MA-NH M.S.A.",,"4,578,146",,,,,,,,,
,"Includes the Metropolitan Divisions of Boston-Quincy, MA; Cambridge-Newton-Framingham, MA; and Peabody, MA and Rockingham County-Strafford County, NH",,,,,,,,,,
,"City of Boston, MA","621,359","5,252",63,271,"1,904","3,014","19,445","3,482","14,064","1,899"
,"City of Cambridge, MA","105,803",479,5,24,152,298,"3,159",539,"2,465",155
,"City of Quincy, MA","92,834",394,1,31,91,271,"1,776",551,"1,087",138
,"City of Newton, MA","85,665",80,0,2,19,59,"1,181",212,942,27
,"City of Framingham, MA","68,734",187,0,6,21,160,"1,126",212,830,84
,"City of Waltham, MA","61,002",174,0,15,24,135,868,191,639,38
,"City of Peabody, MA","51,563",124,2,9,13,100,"1,282",212,996,74
,Total area actually reporting,96.6%,"16,727",127,992,"4,505","11,103","93,529","19,318","67,134","7,077"
,Estimated total,100.0%,"17,153",129,"1,026","4,583","11,415","96,552","20,033","69,260","7,259"
,"Rate per 100,000 inhabitants",,374.7,2.8,22.4,100.1,249.3,"2,109.0",437.6,"1,512.8",158.6
"Boston-Quincy, MA M.D.",,"1,899,298",,,,,,,,,
,"Includes Norfolk, Plymouth, and Suffolk Counties",,,,,,,,,,
,Total area actually reporting,96.4%,"9,727",93,517,"3,020","6,097","43,273","8,919","30,977","3,377"
,Estimated total,100.0%,"9,937",94,532,"3,059","6,252","44,643","9,258","31,919","3,466"
,"Rate per 100,000 inhabitants",,523.2,4.9,28.0,161.1,329.2,"2,350.5",487.4,"1,680.6",182.5
"Cambridge-Newton-Framingham, MA M.D.",,"1,512,246",,,,,,,,,
,Includes Middlesex County,,,,,,,,,,
,Total area actually reporting,96.1%,"3,629",13,249,776,"2,591","25,882","5,374","19,107","1,401"
,Estimated total,100.0%,"3,813",14,262,810,"2,727","27,064","5,666","19,920","1,478"
,"Rate per 100,000 inhabitants",,252.1,0.9,17.3,53.6,180.3,"1,789.7",374.7,"1,317.2",97.7
"Peabody, MA M.D.",,"747,688",,,,,,,,,
,Includes Essex County,,,,,,,,,,
,Total area actually reporting,100.0%,"2,776",20,120,618,"2,018","15,786","3,561","10,223","2,002"
,"Rate per 100,000 inhabitants",,371.3,2.7,16.0,82.7,269.9,"2,111.3",476.3,"1,367.3",267.8
"Rockingham County-Strafford County, NH M.D.",,"418,914",,,,,,,,,
,Includes Rockingham and Strafford Counties,,,,,,,,,,
,Total area actually reporting,93.4%,595,1,106,91,397,"8,588","1,464","6,827",297
,Estimated total,100.0%,627,1,112,96,418,"9,059","1,548","7,198",313
,"Rate per 100,000 inhabitants",,149.7,0.2,26.7,22.9,99.8,"2,162.5",369.5,"1,718.3",74.7
"Boulder, CO M.S.A.",,"299,698", ,,,,, ,,,
,Includes Boulder County,,,,,,,,,,
,City of Boulder,"99,081",275,2,35,35,203,"2,491",467,"1,899",125
,Total area actually reporting,91.7%,631,4,72,76,479,"5,786","1,032","4,473",281
,Estimated total,100.0%,697,4,81,87,525,"6,465","1,134","5,000",331
,"Rate per 100,000 inhabitants",,232.6,1.3,27.0,29.0,175.2,"2,157.2",378.4,"1,668.3",110.4
"Bowling Green, KY M.S.A.",,"126,823", ,,,,, ,,,
,Includes Edmonson and Warren Counties,,,,,,,,,,
,City of Bowling Green,"58,468",167,3,31,60,73,"2,716",462,"2,127",127
,Total area actually reporting,100.0%,207,3,38,67,99,"3,380",654,"2,571",155
,"Rate per 100,000 inhabitants",,163.2,2.4,30.0,52.8,78.1,"2,665.1",515.7,"2,027.2",122.2
"Bremerton-Silverdale, WA M.S.A.",,"255,073",,,,,,,,,
,Includes Kitsap County,, ,,,,,,,,
,City of Bremerton,"38,321",241,1,41,53,146,"2,038",397,"1,457",184
,Total area actually reporting,100.0%,810,3,122,117,568,"7,477","2,029","4,870",578
,"Rate per 100,000 inhabitants",,317.6,1.2,47.8,45.9,222.7,"2,931.3",795.5,"1,909.3",226.6
"Bridgeport-Stamford-Norwalk, CT M.S.A.",,"901,031",,,,,,,,,
,Includes Fairfield County,,,,,,,,,,
,City of Bridgeport,"144,496","1,447",20,116,610,701,"5,607","1,540","3,025","1,042"
,City of Stamford,"122,870",389,6,32,190,161,"1,987",282,"1,498",207
,City of Norwalk,"85,761",326,3,15,90,218,"1,914",297,"1,443",174
,City of Danbury,"81,043",164,1,34,76,53,"1,588",343,"1,183",62
,City of Stratford,"51,479",146,1,9,59,77,"1,541",309,"1,104",128
,Total area actually reporting,100.0%,"2,645",32,228,"1,094","1,291","17,390","3,602","11,989","1,799"
,"Rate per 100,000 inhabitants",,293.6,3.6,25.3,121.4,143.3,"1,930.0",399.8,"1,330.6",199.7
"Brownsville-Harlingen, TX M.S.A.",,"414,768",,,,,,,,,
,Includes Cameron County,, ,,,,,,,,
,City of Brownsville,"178,706",500,1,37,109,353,"8,187","1,009","7,015",163
,City of Harlingen,"66,214",337,4,18,65,250,"4,078",880,"3,099",99
,Total area actually reporting,100.0%,"1,217",8,92,233,884,"17,055","3,189","13,416",450
,"Rate per 100,000 inhabitants",,293.4,1.9,22.2,56.2,213.1,"4,111.9",768.9,"3,234.6",108.5
"Brunswick, GA M.S.A.",,"113,849", ,,,,, ,,,
,"Includes Brantley, Glynn, and McIntosh Counties",,,,,,,,,,
,City of Brunswick,"15,586",251,2,5,68,176,"1,261",366,850,45
,Total area actually reporting,98.2%,569,7,30,149,383,"5,190","1,406","3,620",164
,Estimated total,100.0%,575,7,30,151,387,"5,269","1,422","3,678",169
,"Rate per 100,000 inhabitants",,505.1,6.1,26.4,132.6,339.9,"4,628.1","1,249.0","3,230.6",148.4
"Buffalo-Niagara Falls, NY M.S.A.",,"1,140,613",,,,,,,,,
,Includes Erie and Niagara Counties,,,,,,,,,,
,City of Buffalo,"262,484","3,250",36,121,"1,459","1,634","14,305","4,473","8,711","1,121"
,City of Cheektowaga Town,"79,194",175,2,10,80,83,"2,753",362,"2,294",97
,City of Tonawanda,"15,198",26,0,1,2,23,390,41,338,11
,City of Niagara Falls,"50,419",581,4,31,174,372,"2,941",849,"1,904",188
,Total area actually reporting,100.0%,"5,010",45,258,"1,946","2,761","33,597","8,075","23,609","1,913"
,"Rate per 100,000 inhabitants",,439.2,3.9,22.6,170.6,242.1,"2,945.5",708.0,"2,069.9",167.7
"Burlington, NC M.S.A.",,"153,047", ,,,,, ,,,
,Includes Alamance County,,,,,,,,,,
,City of Burlington,"50,597",405,2,14,104,285,"3,669",880,"2,668",121
,Total area actually reporting,100.0%,644,3,28,135,478,"6,003","1,656","4,122",225
,"Rate per 100,000 inhabitants",,420.8,2.0,18.3,88.2,312.3,"3,922.3","1,082.0","2,693.3",147.0
"Canton-Massillon, OH M.S.A.",,"404,718",,,,,,,,,
,Includes Carroll and Stark Counties,, ,,,,,,,,
,City of Canton,"73,060",810,12,57,438,303,"4,787","1,854","2,683",250
,City of Massillon,"32,173",87,0,15,37,35,"1,209",348,832,29
,Total area actually reporting,91.6%,"1,159",14,119,559,467,"11,584","3,589","7,492",503
,Estimated total,100.0%,"1,211",15,127,579,490,"12,522","3,782","8,203",537
,"Rate per 100,000 inhabitants",,299.2,3.7,31.4,143.1,121.1,"3,094.0",934.5,"2,026.8",132.7
"Cape Coral-Fort Myers, FL M.S.A.",,"627,187",,,,,,,,,
,Includes Lee County,, ,,,,,,,,
,City of Cape Coral,"156,408",235,3,14,58,160,"3,990","1,023","2,855",112
,City of Fort Myers,"63,147",770,20,32,170,548,"3,018",667,"2,153",198
,Total area actually reporting,100.0%,"2,213",38,107,602,"1,466","17,498","5,326","11,375",797
,"Rate per 100,000 inhabitants",,352.8,6.1,17.1,96.0,233.7,"2,789.9",849.2,"1,813.7",127.1
"Cape Girardeau-Jackson, MO-IL M.S.A.",,"96,620",,,,,,,,,
