Table 6,,,,,,,,,,,
Crime in the United States,,,,,,,,,,,
"by Metropolitan Statistical Area, 2014",,,,,,,,,,,
Metropolitan Statistical Area,Counties/principal cities,Population,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft"
,City of Albany,"98,595",802,8,54,237,503,"3,888",683,"3,083",122
,City of Schenectady,"65,834",575,5,57,158,355,"2,518",642,"1,752",124
,City of Troy,"49,950",350,7,0,110,233,"2,182",540,"1,512",130
,Total area actually reporting,100.0%,"2,360",32,251,645,"1,432","19,577","3,353","15,545",679
,"Rate per 100,000 inhabitants",,267.9,3.6,28.5,73.2,162.5,"2,222.0",380.6,"1,764.4",77.1
"Albuquerque, NM M.S.A.",,"903,982", ,,,,, ,,,
,"Includes Bernalillo, Sandoval, Torrance, and Valencia Counties",,,,,,,,,,
,City of Albuquerque,"558,874","4,934",30,402,"1,381","3,121","30,437","6,123","20,756","3,558"
,Total area actually reporting,99.9%,"6,689",43,489,"1,547","4,610","38,583","8,441","25,895","4,247"
,Estimated total,100.0%,"6,692",43,489,"1,547","4,613","38,605","8,446","25,911","4,248"
,"Rate per 100,000 inhabitants",,740.3,4.8,54.1,171.1,510.3,"4,270.5",934.3,"2,866.3",469.9
"Alexandria, LA M.S.A.",,"155,023", ,,,,, ,,,
,Includes Grant and Rapides Parishes,,,,,,,,,,
,City of Alexandria,"48,618",858,9,9,170,670,"3,761","1,073","2,484",204
,Total area actually reporting,97.1%,"1,239",10,47,193,989,"6,712","1,887","4,366",459
,Estimated total,100.0%,"1,259",10,48,196,"1,005","6,899","1,921","4,507",471
,"Rate per 100,000 inhabitants",,812.1,6.5,31.0,126.4,648.3,"4,450.3","1,239.2","2,907.3",303.8
"Allentown-Bethlehem-Easton, PA-NJ M.S.A.",,"828,360",,,,,,,,,
,"Includes Warren County, NJ and Carbon, Lehigh, and Northampton Counties, PA",,,,,,,,,,
,"City of Allentown, PA","118,710",611,9,66,312,224,"3,821",940,"2,608",273
,"City of Bethlehem, PA","75,024",211,1,28,83,99,"1,823",298,"1,429",96
,Total area actually reporting,99.5%,"1,507",18,179,551,759,"16,070","2,855","12,446",769
,Estimated total,100.0%,"1,514",18,180,553,763,"16,135","2,865","12,499",771
,"Rate per 100,000 inhabitants",,182.8,2.2,21.7,66.8,92.1,"1,947.8",345.9,"1,508.9",93.1
"Altoona, PA M.S.A.",,"126,112", ,,,,, ,,,
,Includes Blair County,,,,,,,,,,
,City of Altoona,"45,676",159,1,38,32,88,890,208,658,24
,Total area actually reporting,100.0%,294,1,50,40,203,"2,072",349,"1,678",45
,"Rate per 100,000 inhabitants",,233.1,0.8,39.6,31.7,161.0,"1,643.0",276.7,"1,330.6",35.7
"Amarillo, TX M.S.A.",,"261,505", ,,,,, ,,,
,"Includes Armstrong, Carson, Oldham, Potter, and Randall Counties",,,,,,,,,,
,City of Amarillo,"197,724","1,344",7,228,283,826,"9,343","1,834","6,659",850
,Total area actually reporting,100.0%,"1,464",10,255,289,910,"10,039","1,998","7,137",904
,"Rate per 100,000 inhabitants",,559.8,3.8,97.5,110.5,348.0,"3,838.9",764.0,"2,729.2",345.7
"Ames, IA M.S.A.",,"93,310", ,,,,, ,,,
,Includes Story County,,,,,,,,,,
,City of Ames,"62,514",75,0,23,15,37,"1,117",191,901,25
,Total area actually reporting,92.7%,110,0,36,15,59,"1,531",294,"1,194",43
,Estimated total,100.0%,123,0,38,16,69,"1,645",314,"1,283",48
,"Rate per 100,000 inhabitants",,131.8,0.0,40.7,17.1,73.9,"1,762.9",336.5,"1,375.0",51.4
"Anchorage, AK M.S.A.",,"316,696", ,,,,, ,,,
,Includes Anchorage Municipality and Matanuska-Susitna Borough,,,,,,,,,,
,City of Anchorage,"301,306","2,605",12,392,496,"1,705","11,531","1,375","9,217",939
,Total area actually reporting,100.0%,"2,672",13,402,502,"1,755","12,514","1,447","10,066","1,001"
,"Rate per 100,000 inhabitants",,843.7,4.1,126.9,158.5,554.2,"3,951.4",456.9,"3,178.4",316.1
"Ann Arbor, MI M.S.A.",,"356,841", ,,,,, ,,,
,Includes Washtenaw County,,,,,,,,,,
,City of Ann Arbor,"117,768",194,0,56,24,114,"2,200",320,"1,779",101
,Total area actually reporting,100.0%,"1,017",5,217,141,654,"6,577","1,123","5,066",388
,"Rate per 100,000 inhabitants",,285.0,1.4,60.8,39.5,183.3,"1,843.1",314.7,"1,419.7",108.7
"Anniston-Oxford-Jacksonville, AL M.S.A.",,"116,381",,,,,,,,,
,Includes Calhoun County,, ,,,,,,,,
,City of Anniston,"22,567",536,4,42,77,413,"1,711",650,969,92
,City of Oxford,"17,059",59,2,2,8,47,837,108,706,23
,City of Jacksonville,"12,462",67,1,6,17,43,460,143,304,13
,Total area actually reporting,100.0%,719,7,66,104,542,"3,896","1,223","2,515",158
,"Rate per 100,000 inhabitants",,617.8,6.0,56.7,89.4,465.7,"3,347.6","1,050.9","2,161.0",135.8
"Appleton, WI M.S.A.",,"231,052", ,,,,, ,,,
,Includes Calumet and Outagamie Counties,,,,,,,,,,
,City of Appleton,"73,841",197,0,23,21,153,"1,381",168,"1,190",23
,Total area actually reporting,100.0%,317,0,36,26,255,"3,396",495,"2,837",64
,"Rate per 100,000 inhabitants",,137.2,0.0,15.6,11.3,110.4,"1,469.8",214.2,"1,227.9",27.7
"Asheville, NC M.S.A.",,"441,690", ,,,,, ,,,
,"Includes Buncombe, Haywood, Henderson, and Madison Counties",,,,,,,,,,
,City of Asheville,"88,184",501,4,43,194,260,"4,277",841,"3,164",272
,Total area actually reporting,99.2%,900,13,83,258,546,"10,090","2,730","6,704",656
,Estimated total,100.0%,908,13,84,260,551,"10,198","2,752","6,786",660
,"Rate per 100,000 inhabitants",,205.6,2.9,19.0,58.9,124.7,"2,308.9",623.1,"1,536.4",149.4
"Athens-Clarke County, GA M.S.A.3",,"199,695", ,,,,, ,,,
,"Includes Clarke, Madison, Oconee, and Oglethorpe Counties3",,,,,,,,,,
,City of Athens-Clarke County3,"121,511",372,4,38,125,205,"3,792",760,"2,845",187
,Total area actually reporting,99.4%,595,4,115,136,340,"5,709","1,204","4,230",275
,Estimated total,100.0%,600,4,115,138,343,"5,758","1,213","4,267",278
,"Rate per 100,000 inhabitants",,300.5,2.0,57.6,69.1,171.8,"2,883.4",607.4,"2,136.8",139.2
"Atlanta-Sandy Springs-Roswell, GA M.S.A.3",,"5,597,635",,,,,,,,,
,"Includes Barrow, Bartow, Butts, Carroll, Cherokee, Clayton, Cobb, Coweta, Dawson, DeKalb, Douglas, Fayette, Forsyth, Fulton, Gwinnett, Haralson, Heard, Henry, Jasper, Lamar, Meriwether, Morgan, Newton, Paulding, Pickens, Pike, Rockdale, Spalding, and Walton Counties3",,,,,,,,,,
,City of Atlanta3,"454,363","5,577",93,151,"2,329","3,004","26,114","5,470","16,498","4,146"
,City of Sandy Springs3,"101,184",159,6,21,92,40,"2,745",639,"1,930",176
,City of Roswell3,"95,387",110,3,10,53,44,"1,789",372,"1,328",89
,City of Alpharetta3,"63,478",38,0,3,21,14,"1,254",150,"1,070",34
,City of Marietta3,"59,663",303,5,8,139,151,"2,654",366,"2,080",208
,Total area actually reporting,99.9%,"22,263",342,"1,138","8,607","12,176","180,516","40,572","121,220","18,724"
,Estimated total,100.0%,"22,300",342,"1,140","8,620","12,198","180,878","40,636","121,493","18,749"
,"Rate per 100,000 inhabitants",,398.4,6.1,20.4,154.0,217.9,"3,231.3",725.9,"2,170.4",334.9
"Atlantic City-Hammonton, NJ M.S.A.",,"276,587", ,,,,, ,,,
,Includes Atlantic County,,,,,,,,,,
,City of Atlantic City,"39,544",523,6,15,302,200,"2,450",282,"2,104",64
,City of Hammonton ,"14,800",17,0,0,3,14,155,29,123,3
,Total area actually reporting,100.0%,"1,062",17,55,489,501,"8,125","1,649","6,270",206
,"Rate per 100,000 inhabitants",,384.0,6.1,19.9,176.8,181.1,"2,937.6",596.2,"2,266.9",74.5
"Auburn-Opelika, AL M.S.A",,"153,664",,,,,,,,,
,Includes Lee County,,,,,,,,,,
,City of Auburn,"59,854",126,1,19,19,87,"1,654",257,"1,326",71
,City of Opelika,"29,201",188,1,11,34,142,"1,622",289,"1,245",88
,Total area actually reporting,100.0%,388,3,44,66,275,"3,936",775,"2,939",222
,"Rate per 100,000 inhabitants",,252.5,2.0,28.6,43.0,179.0,"2,561.4",504.3,"1,912.6",144.5
"Augusta-Richmond County, GA-SC M.S.A.3",,"585,946", ,,,,, ,,,
,"Includes Burke, Columbia, Lincoln, McDuffie, and Richmond Counties, GA3 and Aiken and Edgefield Counties, SC",,,,,,,,,,
,Total area actually reporting,98.8%,"1,650",39,197,520,894,"19,060","4,626","13,042","1,392"
,Estimated total,100.0%,"1,681",39,199,531,912,"19,363","4,679","13,271","1,413"
,"Rate per 100,000 inhabitants",,286.9,6.7,34.0,90.6,155.6,"3,304.6",798.5,"2,264.9",241.1
"Austin-Round Rock, TX M.S.A.",,"1,938,280",,,,,,,,,
,"Includes Bastrop, Caldwell, Hays, Travis, and Williamson Counties",, ,,,,,,,,
,City of Austin,"903,924","3,581",32,571,873,"2,105","37,444","5,733","29,423","2,288"
,City of Round Rock,"112,199",140,0,29,39,72,"2,189",247,"1,891",51
,Total area actually reporting,99.8%,"5,631",46,948,"1,115","3,522","55,709","9,501","43,095","3,113"
,Estimated total,100.0%,"5,639",46,949,"1,117","3,527","55,800","9,517","43,164","3,119"
,"Rate per 100,000 inhabitants",,290.9,2.4,49.0,57.6,182.0,"2,878.8",491.0,"2,226.9",160.9
"Bakersfield, CA M.S.A.",,"874,650", ,,,,, ,,,
,Includes Kern County,,,,,,,,,,
,City of Bakersfield,"367,406","1,678",17,21,660,980,"14,595","4,065","8,247","2,283"
,Total area actually reporting,100.0%,"4,465",59,181,"1,106","3,119","28,283","8,546","14,992","4,745"
,"Rate per 100,000 inhabitants",,510.5,6.7,20.7,126.5,356.6,"3,233.6",977.1,"1,714.1",542.5
"Baltimore-Columbia-Towson, MD M.S.A.3",,"2,790,201",,,,,,,,,
,"Includes Anne Arundel, Baltimore, Carroll, Harford, Howard, and Queen Anne's Counties and Baltimore City",,,,,,,,,,
,City of Baltimore,"623,513","8,346",211,245,"3,677","4,213","29,420","6,926","18,008","4,486"
,Total area actually reporting,100.0%,"16,420",268,569,"6,208","9,375","77,944","14,738","56,106","7,100"
,"Rate per 100,000 inhabitants",,588.5,9.6,20.4,222.5,336.0,"2,793.5",528.2,"2,010.8",254.5
"Bangor, ME M.S.A.",,"153,425", ,,,,, ,,,
,Includes Penobscot County,,,,,,,,,,
,City of Bangor,"32,586",55,1,4,22,28,"1,678",182,"1,474",22
,Total area actually reporting,100.0%,118,4,18,35,61,"3,467",533,"2,850",84
,"Rate per 100,000 inhabitants",,76.9,2.6,11.7,22.8,39.8,"2,259.7",347.4,"1,857.6",54.7
"Barnstable Town, MA M.S.A.",,"215,384", ,,,,, ,,,
,Includes Barnstable County,,,,,,,,,,
,City of Barnstable ,"44,642",279,0,19,28,232,"1,080",223,793,64
,Total area actually reporting,100.0%,917,3,87,69,758,"4,308","1,334","2,792",182
,"Rate per 100,000 inhabitants",,425.8,1.4,40.4,32.0,351.9,"2,000.1",619.4,"1,296.3",84.5
"Baton Rouge, LA M.S.A.2",,"824,758", ,,,,, ,,,
,"Includes Ascension, East Baton Rouge, East Feliciana, Iberville, Livingston,2 Pointe Coupee, St. Helena, West Baton Rouge, and West Feliciana Parishes",,,,,,,,,,
,City of Baton Rouge,"229,387","2,120",53,73,852,"1,142","10,270","2,772","6,986",512
,Total area actually reporting,99.7%,,88,217,"1,172",,"28,016","6,682","20,307","1,027"
,Estimated total,100.0%,,88,218,"1,174",,"28,126","6,702","20,390","1,034"
,"Rate per 100,000 inhabitants",,,10.7,26.4,142.3,,"3,410.2",812.6,"2,472.2",125.4
"Battle Creek, MI M.S.A",,"134,882", ,,,,, ,,,
,Includes Calhoun County,,,,,,,,,,
,City of Battle Creek,"61,225",480,3,54,66,357,"2,350",770,"1,477",103
,Total area actually reporting,100.0%,725,4,121,87,513,"3,653","1,028","2,493",132
,"Rate per 100,000 inhabitants",,537.5,3.0,89.7,64.5,380.3,"2,708.3",762.1,"1,848.3",97.9
"Bay City, MI M.S.A.",,"106,711", ,,,,, ,,,
,Includes Bay County,,,,,,,,,,
,City of Bay City,"34,307",182,1,55,19,107,"1,003",272,695,36
,Total area actually reporting,100.0%,296,2,101,29,164,"2,124",473,"1,585",66
,"Rate per 100,000 inhabitants",,277.4,1.9,94.6,27.2,153.7,"1,990.4",443.3,"1,485.3",61.8
"Beaumont-Port Arthur, TX M.S.A.",,"408,113",,,,,,,,,
,"Includes Hardin, Jefferson, Newton, and Orange Counties",, ,,,,,,,,
,City of Beaumont,"117,898","1,050",16,91,293,650,"5,530","1,456","3,861",213
,City of Port Arthur,"54,178",341,8,29,114,190,"2,131",528,"1,471",132
,Total area actually reporting,99.9%,"2,015",33,185,501,"1,296","12,116","3,054","8,344",718
,Estimated total,100.0%,"2,016",33,185,501,"1,297","12,130","3,056","8,355",719
,"Rate per 100,000 inhabitants",,494.0,8.1,45.3,122.8,317.8,"2,972.2",748.8,"2,047.2",176.2
"Beckley, WV M.S.A",,"124,037", ,,,,, ,,,
,Includes Fayette and Raleigh Counties,,,,,,,,,,
,City of Beckley,"17,595",186,0,19,37,130,"2,267",280,947,41
,Total area actually reporting,93.4%,441,7,45,83,306,"3,467","1,053","2,230",184
,Estimated total,100.0%,466,7,47,87,325,"3,735","1,090","2,451",194
,"Rate per 100,000 inhabitants",,375.7,5.6,37.9,70.1,262.0,"3,011.2",878.8,"1,976.0",156.4
"Bellingham, WA M.S.A",,"208,491", ,,,,, ,,,
,Includes Whatcom County,,,,,,,,,,
,City of Bellingham,"83,048",220,1,55,64,100,"4,699",726,"3,808",165
,Total area actually reporting,100.0%,423,2,97,87,237,"7,142","1,405","5,470",267
,"Rate per 100,000 inhabitants",,202.9,1.0,46.5,41.7,113.7,"3,425.6",673.9,"2,623.6",128.1
"Bend-Redmond, OR M.S.A.",,"168,749", ,,,,, ,,,
,Includes Deschutes County,,,,,,,,,,
,City of Bend,"82,418",114,0,16,23,75,"2,140",255,"1,799",86
,City of Redmond,"27,733",88,0,15,24,49,965,106,812,47
,Total area actually reporting,100.0%,284,0,50,50,184,"3,981",560,"3,241",180
,"Rate per 100,000 inhabitants",,168.3,0.0,29.6,29.6,109.0,"2,359.1",331.9,"1,920.6",106.7
"Billings, MT M.S.A.",,"167,246", ,,,,, ,,,
,"Includes Carbon, Golden Valley, and Yellowstone Counties",,,,,,,,,,
,City of Billings,"110,245",417,10,72,54,281,"4,935",631,"3,746",558
,Total area actually reporting,100.0%,541,12,85,64,380,"5,800",802,"4,358",640
,"Rate per 100,000 inhabitants",,323.5,7.2,50.8,38.3,227.2,"3,467.9",479.5,"2,605.7",382.7
"Binghamton, NY M.S.A.",,"247,250", ,,,,, ,,,
,Includes Broome and Tioga Counties,,,,,,,,,,
,City of Binghamton,"46,229",305,1,49,82,173,"2,048",343,"1,653",52
,Total area actually reporting,100.0%,621,4,150,132,335,"6,247",984,"5,115",148
,"Rate per 100,000 inhabitants",,251.2,1.6,60.7,53.4,135.5,"2,526.6",398.0,"2,068.8",59.9
"Birmingham-Hoover, AL M.S.A.4",,"1,143,854",,,,,,,,,
,"Includes Bibb, Blount, Chilton, Jefferson, St. Clair, Shelby, and Walker Counties",,,,,,,,,,
,City of Birmingham,"212,115","3,369",52,182,"1,051","2,084","13,929","3,750","8,743","1,436"
,City of Hoover,"84,843",98,1,15,50,32,"2,257",270,"1,908",79
,Total area actually reporting,88.3%,"6,206",85,451,"1,769","3,901",,"9,676",,"2,711"
,Estimated total,100.0%,"6,594",89,497,"1,843","4,165",,"10,558",,"2,924"
,"Rate per 100,000 inhabitants",,576.5,7.8,43.4,161.1,364.1,,923.0,,255.6
"Bismarck, ND M.S.A.",,"126,444", ,,,,, ,,,
,"Includes Burleigh, Morton, Oliver, and Sioux Counties",,,,,,,,,,
,City of Bismarck,"68,492",185,1,23,14,147,"1,705",211,"1,382",112
,Total area actually reporting,100.0%,428,3,72,21,332,"2,687",365,"2,129",193
,"Rate per 100,000 inhabitants",,338.5,2.4,56.9,16.6,262.6,"2,125.1",288.7,"1,683.7",152.6
"Blacksburg-Christiansburg-Radford, VA M.S.A.",,"180,931",,,,,,,,,
,"Includes Floyd, Giles, Montgomery, and Pulaski Counties and Radford City",,,,,,,,,,
,City of Blacksburg,"43,842",33,2,15,3,13,393,67,311,15
,City of Christiansburg,"21,663",21,0,8,3,10,458,42,407,9
,City of Radford,"17,383",103,0,22,7,74,373,74,291,8
,Total area actually reporting,100.0%,343,8,108,24,203,"3,073",555,"2,440",78
,"Rate per 100,000 inhabitants",,189.6,4.4,59.7,13.3,112.2,"1,698.4",306.7,"1,348.6",43.1
"Bloomington, IL M.S.A.",,"192,070",,,,,,,,,
,Includes DeWitt and McLean Counties,, ,,,,,,,,
,City of Bloomington,"79,451",327,3,56,30,238,"1,668",298,"1,311",59
,Total area actually reporting,97.9%,517,3,101,62,351,"3,347",649,"2,606",92
,Estimated total,100.0%,525,3,102,64,356,"3,420",661,"2,664",95
,"Rate per 100,000 inhabitants",,273.3,1.6,53.1,33.3,185.3,"1,780.6",344.1,"1,387.0",49.5
"Bloomington, IN M.S.A.3",,"163,976", ,,,,, ,,,
,Includes Monroe and Owen Counties,,,,,,,,,,
,City of Bloomington,"83,075",294,1,61,81,151,"2,466",487,"1,854",125
,Total area actually reporting,87.1%,411,1,78,104,228,"3,786",730,"2,859",197
,Estimated total,100.0%,433,1,81,107,244,"4,012",785,"3,012",215
,"Rate per 100,000 inhabitants",,264.1,0.6,49.4,65.3,148.8,"2,446.7",478.7,"1,836.9",131.1
"Boise City, ID M.S.A.",,"663,371",,,,,,,,,
,"Includes Ada, Boise, Canyon, Gem, and Owyhee Counties",, ,,,,,,,,
,City of Boise ,"216,260",641,4,123,57,457,"4,511",693,"3,626",192
,Total area actually reporting,99.9%,"1,513",11,296,92,"1,114","11,745","2,252","8,891",602
,Estimated total,100.0%,"1,514",11,296,92,"1,115","11,756","2,254","8,899",603
,"Rate per 100,000 inhabitants",,228.2,1.7,44.6,13.9,168.1,"1,772.2",339.8,"1,341.5",90.9
"Boulder, CO M.S.A.4",,"315,369", ,,,,, ,,,
,Includes Boulder County,,,,,,,,,,
,City of Boulder,"104,284",242,1,41,28,172,"2,777",481,"2,146",150
,Total area actually reporting,79.7%,611,5,181,72,353,,930,,354
,Estimated total,100.0%,731,6,205,81,439,,"1,111",,438
,"Rate per 100,000 inhabitants",,231.8,1.9,65.0,25.7,139.2,,352.3,,138.9
"Bowling Green, KY M.S.A.",,"164,892", ,,,,, ,,,
,"Includes Allen, Butler, Edmonson, and Warren Counties",,,,,,,,,,
,City of Bowling Green,"62,117",201,1,49,64,87,"2,938",440,"2,384",114
,Total area actually reporting,100.0%,259,1,63,73,122,"3,825",706,"2,953",166
,"Rate per 100,000 inhabitants",,157.1,0.6,38.2,44.3,74.0,"2,319.7",428.2,"1,790.9",100.7
"Bremerton-Silverdale, WA M.S.A.",,"255,676",,,,,,,,,
,Includes Kitsap County,, ,,,,,,,,
,City of Bremerton,"39,359",209,0,39,39,131,"1,810",345,"1,311",154
,Total area actually reporting,100.0%,697,7,143,84,463,"7,382","1,661","5,170",551
,"Rate per 100,000 inhabitants",,272.6,2.7,55.9,32.9,181.1,"2,887.2",649.7,"2,022.1",215.5
"Bridgeport-Stamford-Norwalk, CT M.S.A.",,"927,225",,,,,,,,,
,Includes Fairfield County,,,,,,,,,,
,City of Bridgeport,"147,822","1,338",11,92,546,689,"4,285","1,129","2,402",754
,City of Stamford,"127,385",306,2,21,146,137,"2,033",275,"1,554",204
,City of Norwalk,"88,232",258,3,9,64,182,"1,597",219,"1,285",93
,City of Danbury,"84,281",150,1,31,64,54,"1,352",230,"1,007",115
,City of Stratford,"52,279",64,0,7,45,12,"1,310",224,961,125
,Total area actually reporting,100.0%,"2,268",18,185,927,"1,138","14,893","2,819","10,628","1,446"
,"Rate per 100,000 inhabitants",,244.6,1.9,20.0,100.0,122.7,"1,606.2",304.0,"1,146.2",155.9
"Brownsville-Harlingen, TX M.S.A.",,"422,772",,,,,,,,,
,Includes Cameron County,, ,,,,,,,,
,City of Brownsville,"183,433",558,5,103,138,312,"7,505","1,068","6,258",179
,City of Harlingen,"65,808",146,0,11,34,101,"2,059",412,"1,589",58
,Total area actually reporting,100.0%,"1,095",5,188,219,683,"14,022","2,552","11,113",357
,"Rate per 100,000 inhabitants",,259.0,1.2,44.5,51.8,161.6,"3,316.7",603.6,"2,628.6",84.4
"Brunswick, GA M.S.A.3",,"114,492", ,,,,, ,,,
,"Includes Brantley, Glynn, and McIntosh Counties3",,,,,,,,,,
,City of Brunswick3,"15,912",225,2,6,58,159,"1,202",325,836,41
,Total area actually reporting,98.4%,472,6,26,110,330,"4,678","1,120","3,393",165
,Estimated total,100.0%,481,6,27,113,335,"4,758","1,134","3,454",170
,"Rate per 100,000 inhabitants",,420.1,5.2,23.6,98.7,292.6,"4,155.7",990.5,"3,016.8",148.5
"Buffalo-Cheektowaga-Niagara Falls, NY M.S.A.",,"1,135,581",,,,,,,,,
,Includes Erie and Niagara Counties,,,,,,,,,,
,City of Buffalo,"258,419","3,174",60,174,"1,277","1,663","12,449","3,119","8,362",968
,City of Cheektowaga Town,"78,209",202,1,25,66,110,"2,699",300,"2,324",75
,City of Niagara Falls,"49,300",581,3,26,161,391,"2,641",650,"1,858",133
,Total area actually reporting,100.0%,"4,945",72,351,"1,768","2,754","30,539","5,987","22,970","1,582"
,"Rate per 100,000 inhabitants",,435.5,6.3,30.9,155.7,242.5,"2,689.3",527.2,"2,022.8",139.3
"Burlington, NC M.S.A.",,"155,421", ,,,,, ,,,
,Includes Alamance County,,,,,,,,,,
,City of Burlington,"51,627",352,3,20,88,241,"2,064",460,"1,506",98
,Total area actually reporting,100.0%,578,3,29,130,416,"4,302","1,276","2,852",174
,"Rate per 100,000 inhabitants",,371.9,1.9,18.7,83.6,267.7,"2,768.0",821.0,"1,835.0",112.0
"California-Lexington Park, MD M.S.A.",,"110,842",,,,,,,,,
,Includes St. Mary's County,, ,,,,,,,,
,Total area actually reporting,100.0%,263,0,22,58,183,"2,211",513,"1,625",73
,"Rate per 100,000 inhabitants",,237.3,0.0,19.8,52.3,165.1,"1,994.7",462.8,"1,466.1",65.9
"Canton-Massillon, OH M.S.A.",,"404,136",,,,,,,,,
,Includes Carroll and Stark Counties,, ,,,,,,,,
,City of Canton,"72,391",730,8,91,228,403,"3,929","1,021","2,657",251
,City of Massillon,"32,196",85,1,13,28,43,"1,094",281,777,36
,Total area actually reporting,90.8%,"1,106",12,161,335,598,"9,972","2,365","7,115",492
,Estimated total,100.0%,"1,160",12,172,354,622,"10,881","2,530","7,826",525
,"Rate per 100,000 inhabitants",,287.0,3.0,42.6,87.6,153.9,"2,692.4",626.0,"1,936.5",129.9
"Cape Coral-Fort Myers, FL M.S.A.",,"677,068",,,,,,,,,
,Includes Lee County,, ,,,,,,,,
,City of Cape Coral,"168,712",242,4,11,41,186,"3,271",679,"2,440",152
,City of Fort Myers,"69,718",769,11,43,173,542,"2,176",368,"1,680",128
,Total area actually reporting,100.0%,"2,975",45,218,738,"1,974","17,509","4,134","12,212","1,163"
,"Rate per 100,000 inhabitants",,439.4,6.6,32.2,109.0,291.6,"2,586.0",610.6,"1,803.7",171.8
"Cape Girardeau, MO-IL M.S.A.",,"97,805",,,,,,,,,
,"Includes Alexander County, IL and Bollinger and Cape Girardeau Counties, MO",, ,,,,,,,,
,"City of Cape Girardeau, MO","39,012",226,4,11,66,145,"1,793",336,"1,389",68
,Total area actually reporting,100.0%,391,8,22,78,283,"2,665",595,"1,941",129
,"Rate per 100,000 inhabitants",,399.8,8.2,22.5,79.8,289.4,"2,724.8",608.4,"1,984.6",131.9
"Carson City, NV M.S.A.",,"54,298", ,,,,, ,,,
,Includes Carson City,,,,,,,,,,
,Total area actually reporting,100.0%,160,1,0,15,144,875,198,623,54
,"Rate per 100,000 inhabitants",,294.7,1.8,0.0,27.6,265.2,"1,611.5",364.7,"1,147.4",99.5
"Casper, WY M.S.A.",,"81,960", ,,,,, ,,,
,Includes Natrona County,,,,,,,,,,
,City of Casper,"60,771",84,2,4,11,67,"1,632",238,"1,329",65
,Total area actually reporting,100.0%,151,3,19,13,116,"1,951",306,"1,559",86
,"Rate per 100,000 inhabitants",,184.2,3.7,23.2,15.9,141.5,"2,380.4",373.4,"1,902.1",104.9
"Cedar Rapids, IA M.S.A.",,"263,979", ,,,,, ,,,
,"Includes Benton, Jones, and Linn Counties",,,,,,,,,,
,City of Cedar Rapids,"128,901",385,8,41,128,208,"4,953",933,"3,740",280
,Total area actually reporting,88.0%,502,9,64,142,287,"6,187","1,278","4,563",346
,Estimated total,100.0%,552,10,73,144,325,"6,469","1,372","4,723",374
,"Rate per 100,000 inhabitants",,209.1,3.8,27.7,54.5,123.1,"2,450.6",519.7,"1,789.2",141.7
"Chambersburg-Waynesboro, PA M.S.A.",,"152,602",,,,,,,,,
,Includes Franklin County,, ,,,,,,,,
,City of Chambersburg,"20,561",79,2,10,19,48,754,123,596,35
,City of Waynesboro,"10,748",32,0,9,5,18,300,71,221,8
,Total area actually reporting,100.0%,227,5,41,61,120,"3,092",593,"2,372",127
