Table 6,,,,,,,,,,,
Crime in the United States,,,,,,,,,,,
"by Metropolitan Statistical Area, 2008",,,,,,,,,,,
Metropolitan Statistical Area,Counties/principal cities,Population,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft
,Estimated total,100.0%,,41,253,"1,015",,"25,705","6,255","16,886","2,564"
,"Rate per 100,000 inhabitants",,,7.7,47.6,191.0,,"4,836.8","1,177.0","3,177.4",482.5
"Austin-Round Rock, TX M.S.A.",,"1,646,660",,,,,,,,,
,"Includes Bastrop, Caldwell, Hays, Travis, and Williamson Counties",, ,,,,,,,,
,City of Austin,"753,535","3,935",23,273,"1,333","2,306","44,801","8,586","33,582","2,633"
,City of Round Rock,"102,411",128,0,19,30,79,"2,689",396,"2,213",80
,Total area actually reporting,100.0%,"5,690",33,474,"1,547","3,636","64,292","12,988","47,828","3,476"
,"Rate per 100,000 inhabitants",,345.5,2.0,28.8,93.9,220.8,"3,904.4",788.7,"2,904.5",211.1
"Bakersfield, CA M.S.A.",,"804,287", ,,,,, ,,,
,Includes Kern County,,,,,,,,,,
,City of Bakersfield,"326,046","2,077",25,48,708,"1,296","16,160","4,168","9,476","2,516"
,Total area actually reporting,100.0%,"4,631",57,233,"1,289","3,052","31,907","9,252","17,422","5,233"
,"Rate per 100,000 inhabitants",,575.8,7.1,29.0,160.3,379.5,"3,967.1","1,150.3","2,166.1",650.6
"Baltimore-Towson, MD M.S.A.",,"2,666,452",,,,,,,,,
,"Includes Anne Arundel, Baltimore, Carroll, Harford, Howard, and Queen Anne's Counties and Baltimore City",,,,,,,,,,
,City of Baltimore,"634,549","10,080",234,137,"4,026","5,683","30,570","7,832","17,230","5,508"
,Total area actually reporting,100.0%,"20,292",300,536,"7,158","12,298","95,254","19,121","64,944","11,189"
,"Rate per 100,000 inhabitants",,761.0,11.3,20.1,268.4,461.2,"3,572.3",717.1,"2,435.6",419.6
"Bangor, ME M.S.A.",,"148,610", ,,,,, ,,,
,Includes Penobscot County,,,,,,,,,,
,City of Bangor,"31,902",51,1,4,21,25,"2,018",255,"1,715",48
,Total area actually reporting,100.0%,113,2,14,38,59,"4,830",818,"3,857",155
,"Rate per 100,000 inhabitants",,76.0,1.3,9.4,25.6,39.7,"3,250.1",550.4,"2,595.4",104.3
"Barnstable Town, MA M.S.A.",,"223,304", ,,,,, ,,,
,Includes Barnstable County,,,,,,,,,,
,City of Barnstable ,"47,828",372,1,39,41,291,"1,638",450,"1,105",83
,Total area actually reporting,100.0%,971,2,80,95,794,"6,651","2,177","4,247",227
,"Rate per 100,000 inhabitants",,434.8,0.9,35.8,42.5,355.6,"2,978.5",974.9,"1,901.9",101.7
"Baton Rouge, LA M.S.A.4",,"783,283", ,,,,, ,,,
,"Includes Ascension, East Baton Rouge, East Feliciana, Iberville, Livingston, Pointe Coupee,4 St. Helena, West Baton Rouge, and West Feliciana Parishes",,,,,,,,,,
,City of Baton Rouge,"226,920","2,690",67,65,"1,032","1,526","12,468","3,783","7,711",974
,Total area actually reporting,94.9%,"4,685",102,153,"1,395","3,035",,"8,290","19,972",
,Estimated total,100.0%,"4,876",105,163,"1,427","3,181",,"8,611","20,988",
,"Rate per 100,000 inhabitants",,622.5,13.4,20.8,182.2,406.1,,"1,099.3","2,679.5",
"Battle Creek, MI M.S.A.",,"135,300", ,,,,, ,,,
,Includes Calhoun County,,,,,,,,,,
,City of Battle Creek,"61,405",702,4,62,118,518,"3,449","1,056","2,245",148
,Total area actually reporting,100.0%,987,5,106,159,717,"5,737","1,543","3,976",218
,"Rate per 100,000 inhabitants",,729.5,3.7,78.3,117.5,529.9,"4,240.2","1,140.4","2,938.7",161.1
"Bay City, MI M.S.A.",,"106,303", ,,,,, ,,,
,Includes Bay County,,,,,,,,,,
,City of Bay City,"33,703",198,3,30,35,130,"1,120",328,725,67
,Total area actually reporting,100.0%,342,3,67,56,216,"2,782",629,"2,014",139
,"Rate per 100,000 inhabitants",,321.7,2.8,63.0,52.7,203.2,"2,617.0",591.7,"1,894.6",130.8
"Beaumont-Port Arthur, TX M.S.A.",,"375,242",,,,,,,,,
,"Includes Hardin, Jefferson, and Orange Counties",, ,,,,,,,,
,City of Beaumont,"109,103","1,015",7,75,331,602,"6,404","1,925","4,170",309
,City of Port Arthur,"55,032",403,9,35,126,233,"2,410",957,"1,265",188
,Total area actually reporting,100.0%,"2,033",18,168,599,"1,248","14,501","4,537","8,988",976
,"Rate per 100,000 inhabitants",,541.8,4.8,44.8,159.6,332.6,"3,864.4","1,209.1","2,395.3",260.1
"Bellingham, WA M.S.A.",,"196,614", ,,,,, ,,,
,Includes Whatcom County,,,,,,,,,,
,City of Bellingham,"78,804",181,2,23,59,97,"4,358",641,"3,515",202
,Total area actually reporting,100.0%,444,2,70,87,285,"7,193","1,458","5,361",374
,"Rate per 100,000 inhabitants",,225.8,1.0,35.6,44.2,145.0,"3,658.4",741.6,"2,726.7",190.2
"Bend, OR M.S.A.",,"159,500", ,,,,, ,,,
,Includes Deschutes County,,,,,,,,,,
,City of Bend,"77,898",139,0,25,35,79,"2,513",471,"1,914",128
,Total area actually reporting,100.0%,289,0,53,48,188,"4,723",902,"3,573",248
,"Rate per 100,000 inhabitants",,181.2,0.0,33.2,30.1,117.9,"2,961.1",565.5,"2,240.1",155.5
"Billings, MT M.S.A.2",,"151,343", ,,,,, ,,,
,Includes Carbon and Yellowstone Counties, ,,,,,,,,,
,City of Billings2,"103,196",272,2,40,54,176,"4,261",618,"3,367",276
,Total area actually reporting,100.0%,364,3,54,55,252,"5,189",784,"4,070",335
,"Rate per 100,000 inhabitants",,240.5,2.0,35.7,36.3,166.5,"3,428.6",518.0,"2,689.3",221.4
"Binghamton, NY M.S.A.",,"245,658", ,,,,, ,,,
,Includes Broome and Tioga Counties,,,,,,,,,,
,City of Binghamton,"44,746",276,1,11,84,180,"2,389",342,"2,000",47
,Total area actually reporting,100.0%,582,2,85,131,364,"6,860","1,079","5,636",145
,"Rate per 100,000 inhabitants",,236.9,0.8,34.6,53.3,148.2,"2,792.5",439.2,"2,294.2",59.0
"Birmingham-Hoover, AL M.S.A.",,"1,118,275",,,,,,,,,
,"Includes Bibb, Blount, Chilton, Jefferson, St. Clair, Shelby, and Walker Counties",,,,,,,,,,
,City of Birmingham,"228,314","3,249",82,212,"1,499","1,456","20,054","5,153","12,761","2,140"
,City of Hoover,"70,731",111,2,13,62,34,"2,315",436,"1,761",118
,Total area actually reporting,94.8%,"6,470",113,455,"2,672","3,230","51,376","13,523","33,608","4,245"
,Estimated total,100.0%,"6,644",115,470,"2,719","3,340","52,986","14,019","34,597","4,370"
,"Rate per 100,000 inhabitants",,594.1,10.3,42.0,243.1,298.7,"4,738.2","1,253.6","3,093.8",390.8
"Bismarck, ND M.S.A.",,"104,611", ,,,,, ,,,
,Includes Burleigh and Morton Counties,,,,,,,,,,
,City of Bismarck,"59,988",155,2,16,10,127,"1,629",211,"1,324",94
,Total area actually reporting,100.0%,222,2,46,14,160,"2,270",319,"1,811",140
,"Rate per 100,000 inhabitants",,212.2,1.9,44.0,13.4,152.9,"2,169.9",304.9,"1,731.2",133.8
"Blacksburg-Christiansburg-Radford, VA M.S.A.",,"157,811",,,,,,,,,
,"Includes Giles, Montgomery, and Pulaski Counties and Radford City",,,,,,,,,,
,City of Blacksburg,"41,509",55,0,8,11,36,656,127,503,26
,City of Christiansburg,"19,466",50,2,14,9,25,789,126,632,31
,City of Radford,"16,109",79,1,4,8,66,537,166,356,15
,Total area actually reporting,100.0%,359,6,58,42,253,"4,299",928,"3,177",194
,"Rate per 100,000 inhabitants",,227.5,3.8,36.8,26.6,160.3,"2,724.1",588.0,"2,013.2",122.9
"Bloomington, IN M.S.A.",,"184,646", ,,,,, ,,,
,"Includes Greene, Monroe, and Owen Counties",,,,,,,,,,
,City of Bloomington,"72,337",268,3,31,43,191,"2,782",635,"1,997",150
,Total area actually reporting,83.5%,339,4,42,57,236,"4,203","1,011","2,956",236
,Estimated total,100.0%,379,4,47,66,262,"4,834","1,142","3,414",278
,"Rate per 100,000 inhabitants",,205.3,2.2,25.5,35.7,141.9,"2,618.0",618.5,"1,848.9",150.6
"Boise City-Nampa, ID M.S.A.",,"603,185",,,,,,,,,
,"Includes Ada, Boise, Canyon, Gem, and Owyhee Counties",, ,,,,,,,,
,City of Boise ,"203,770",551,1,81,64,405,"5,896","1,105","4,576",215
,City of Nampa,"83,007",274,0,64,20,190,"2,378",502,"1,714",162
,Total area actually reporting,99.5%,"1,427",5,231,127,"1,064","13,556","2,928","9,949",679
,Estimated total,100.0%,"1,435",5,232,128,"1,070","13,631","2,942","10,006",683
,"Rate per 100,000 inhabitants",,237.9,0.8,38.5,21.2,177.4,"2,259.8",487.7,"1,658.9",113.2
"Boston-Cambridge-Quincy, MA-NH M.S.A.",,"4,513,046",,,,,,,,,
,"Includes the Metropolitan Divisions of Boston-Quincy, MA; Cambridge-Newton-Framingham, MA; and Peabody, MA and Rockingham County-Strafford County, NH",,,,,,,,,,
,"City of Boston, MA","604,465","6,676",62,237,"2,398","3,979","22,429","3,493","16,531","2,405"
,"City of Cambridge, MA","101,362",414,2,14,155,243,"3,138",396,"2,500",242
,"City of Quincy, MA","95,061",347,2,15,105,225,"1,872",598,"1,139",135
,"City of Newton, MA","83,191",117,0,8,19,90,"1,111",186,896,29
,"City of Framingham, MA","64,519",196,1,11,40,144,"1,600",268,"1,166",166
,"City of Waltham, MA","60,459",89,0,9,15,65,848,108,696,44
,"City of Peabody, MA","51,846",144,1,9,22,112,"1,318",171,"1,024",123
,Total area actually reporting,96.9%,"17,505",116,995,"4,912","11,482","99,308","19,903","71,116","8,289"
,Estimated total,100.0%,"17,811",117,"1,026","4,967","11,701","101,998","20,475","73,063","8,460"
,"Rate per 100,000 inhabitants",,394.7,2.6,22.7,110.1,259.3,"2,260.1",453.7,"1,618.9",187.5
"Boston-Quincy, MA M.D.",,"1,874,072",,,,,,,,,
,"Includes Norfolk, Plymouth, and Suffolk Counties",,,,,,,,,,
,Total area actually reporting,95.8%,"10,438",83,507,"3,454","6,394","46,138","8,662","33,278","4,198"
,Estimated total,100.0%,"10,669",84,524,"3,496","6,565","47,760","9,060","34,385","4,315"
,"Rate per 100,000 inhabitants",,569.3,4.5,28.0,186.5,350.3,"2,548.5",483.4,"1,834.8",230.2
"Cambridge-Newton-Framingham, MA M.D.",,"1,482,271",,,,,,,,,
,Includes Middlesex County,,,,,,,,,,
,Total area actually reporting,99.8%,"3,991",15,248,915,"2,813","30,361","6,208","21,969","2,184"
,Estimated total,100.0%,"4,001",15,249,917,"2,820","30,430","6,225","22,016","2,189"
,"Rate per 100,000 inhabitants",,269.9,1.0,16.8,61.9,190.2,"2,052.9",420.0,"1,485.3",147.7
"Peabody, MA M.D.",,"738,226",,,,,,,,,
,Includes Essex County,,,,,,,,,,
,Total area actually reporting,99.5%,"2,589",15,142,474,"1,958","15,983","3,997","10,403","1,583"
,Estimated total,100.0%,"2,599",15,143,476,"1,965","16,052","4,014","10,450","1,588"
,"Rate per 100,000 inhabitants",,352.1,2.0,19.4,64.5,266.2,"2,174.4",543.7,"1,415.6",215.1
"Rockingham County-Strafford County, NH M.D.",,"418,477",,,,,,,,,
,Includes Rockingham and Strafford Counties,,,,,,,,,,
,Total area actually reporting,86.6%,487,3,98,69,317,"6,826","1,036","5,466",324
,Estimated total,100.0%,542,3,110,78,351,"7,756","1,176","6,212",368
,"Rate per 100,000 inhabitants",,129.5,0.7,26.3,18.6,83.9,"1,853.4",281.0,"1,484.4",87.9
"Bowling Green, KY M.S.A.",,"117,583", ,,,,, ,,,
,Includes Edmonson and Warren Counties,,,,,,,,,,
,City of Bowling Green,"54,865",336,0,47,90,199,"2,998",569,"2,313",116
,Total area actually reporting,99.1%,361,0,53,94,214,"3,729",755,"2,820",154
,Estimated total,100.0%,364,0,53,95,216,"3,767",763,"2,848",156
,"Rate per 100,000 inhabitants",,309.6,0.0,45.1,80.8,183.7,"3,203.7",648.9,"2,422.1",132.7
"Bradenton-Sarasota-Venice, FL M.S.A.",,"691,365",,,,,,,,,
,Includes Manatee and Sarasota Counties,,,,,,,,,,
,City of Bradenton,"53,244",483,2,12,160,309,"2,371",553,"1,652",166
,City of Sarasota,"51,818",582,8,22,196,356,"3,666",815,"2,662",189
,City of Venice,"21,086",48,0,1,5,42,679,109,545,25
,Total area actually reporting,100.0%,"4,399",28,192,"1,154","3,025","29,428","7,297","20,619","1,512"
,"Rate per 100,000 inhabitants",,636.3,4.0,27.8,166.9,437.5,"4,256.5","1,055.4","2,982.4",218.7
"Bremerton-Silverdale, WA M.S.A.",,"237,527",,,,,,,,,
,Includes Kitsap County,, ,,,,,,,,
,City of Bremerton,"33,735",308,1,52,53,202,"1,564",383,"1,076",105
,Total area actually reporting,100.0%,"1,103",5,195,112,791,"6,405","1,676","4,416",313
,"Rate per 100,000 inhabitants",,464.4,2.1,82.1,47.2,333.0,"2,696.5",705.6,"1,859.2",131.8
"Bridgeport-Stamford-Norwalk, CT M.S.A.",,"878,111",,,,,,,,,
,Includes Fairfield County,,,,,,,,,,
,City of Bridgeport,"136,327","1,638",20,58,737,823,"6,174","1,269","3,768","1,137"
,City of Stamford,"118,597",390,5,27,172,186,"2,131",325,"1,590",216
,City of Norwalk,"83,503",415,2,12,125,276,"1,915",284,"1,426",205
,City of Danbury,"79,753",109,1,15,41,52,"1,626",275,"1,237",114
,City of Stratford,"48,891",144,2,4,59,79,"1,548",208,"1,159",181
,Total area actually reporting,100.0%,"2,871",34,135,"1,198","1,504","18,285","3,124","13,072","2,089"
,"Rate per 100,000 inhabitants",,327.0,3.9,15.4,136.4,171.3,"2,082.3",355.8,"1,488.7",237.9
"Brownsville-Harlingen, TX M.S.A.",,"394,064",,,,,,,,,
,Includes Cameron County,, ,,,,,,,,
,City of Brownsville,"176,893",634,4,26,173,431,"10,139","1,590","8,205",344
,City of Harlingen,"64,922",455,4,33,88,330,"4,387","1,016","3,181",190
,Total area actually reporting,100.0%,"1,666",13,133,321,"1,199","19,168","4,081","14,323",764
,"Rate per 100,000 inhabitants",,422.8,3.3,33.8,81.5,304.3,"4,864.2","1,035.6","3,634.7",193.9
"Buffalo-Niagara Falls, NY M.S.A.",,"1,122,844",,,,,,,,,
,Includes Erie and Niagara Counties,,,,,,,,,,
,City of Buffalo,"270,289","3,716",37,174,"1,539","1,966","15,474","4,112","9,503","1,859"
,City of Cheektowaga Town,"78,303",208,0,18,73,117,"2,596",408,"2,048",140
,City of Tonawanda,"14,792",19,0,1,6,12,396,41,333,22
,City of Niagara Falls,"51,192",562,3,24,171,364,"2,747",827,"1,759",161
,Total area actually reporting,100.0%,"5,493",44,286,"2,001","3,162","34,924","7,858","24,405","2,661"
,"Rate per 100,000 inhabitants",,489.2,3.9,25.5,178.2,281.6,"3,110.3",699.8,"2,173.5",237.0
"Burlington, NC M.S.A.",,"147,580", ,,,,, ,,,
,Includes Alamance County,,,,,,,,,,
,City of Burlington,"50,058",378,3,15,117,243,"3,300",924,"2,231",145
,Total area actually reporting,98.6%,689,4,32,167,486,"5,861","1,752","3,842",267
,Estimated total,100.0%,697,4,33,169,491,"5,961","1,775","3,914",272
,"Rate per 100,000 inhabitants",,472.3,2.7,22.4,114.5,332.7,"4,039.2","1,202.7","2,652.1",184.3
"Burlington-South Burlington, VT M.S.A.",,"207,874",,,,,,,,,
,"Includes Chittenden, Franklin, and Grand Isle Counties",, ,,,,,,,,
,City of Burlington,"38,370",152,0,19,23,110,"1,654",253,"1,358",43
,City of South Burlington,"17,785",16,0,7,2,7,687,78,590,19
,Total area actually reporting,100.0%,398,1,58,57,282,"7,476","1,444","5,781",251
,"Rate per 100,000 inhabitants",,191.5,0.5,27.9,27.4,135.7,"3,596.4",694.7,"2,781.0",120.7
"Cape Coral-Fort Myers, FL M.S.A.",,"604,488",,,,,,,,,
,Includes Lee County,, ,,,,,,,,
,City of Cape Coral,"163,403",363,7,31,93,232,"5,061","1,353","3,485",223
,City of Fort Myers,"65,107",797,11,35,231,520,"3,342",642,"2,346",354
,Total area actually reporting,100.0%,"2,834",46,157,775,"1,856","21,212","6,199","13,520","1,493"
,"Rate per 100,000 inhabitants",,468.8,7.6,26.0,128.2,307.0,"3,509.1","1,025.5","2,236.6",247.0
"Cape Girardeau-Jackson, MO-IL M.S.A.",,"93,556",,,,,,,,,
,"Includes Alexander County, IL and Bollinger and Cape Girardeau Counties, MO",, ,,,,,,,,
,"City of Cape Girardeau, MO","37,374",177,3,18,56,100,"2,234",338,"1,868",28
,"City of Jackson, MO","13,715",19,0,0,1,18,424,74,334,16
,Total area actually reporting,91.1%,330,4,24,63,239,"3,117",577,"2,480",60
,Estimated total,100.0%,343,4,24,66,249,"3,194",593,"2,537",64
,"Rate per 100,000 inhabitants",,366.6,4.3,25.7,70.5,266.2,"3,414.0",633.8,"2,711.7",68.4
"Carson City, NV M.S.A.",,"54,316", ,,,,, ,,,
,Includes Carson City,,,,,,,,,,
,Total area actually reporting,100.0%,231,0,0,24,207,"1,265",291,874,100
,"Rate per 100,000 inhabitants",,425.3,0.0,0.0,44.2,381.1,"2,329.0",535.8,"1,609.1",184.1
"Casper, WY M.S.A.",,"73,249", ,,,,, ,,,
,Includes Natrona County,,,,,,,,,,
,City of Casper,"53,430",159,1,30,19,109,"2,289",368,"1,805",116
,Total area actually reporting,100.0%,194,1,36,21,136,"2,773",500,"2,121",152
,"Rate per 100,000 inhabitants",,264.9,1.4,49.1,28.7,185.7,"3,785.7",682.6,"2,895.6",207.5
"Cedar Rapids, IA M.S.A.",,"255,214", ,,,,, ,,,
,"Includes Benton, Jones, and Linn Counties",,,,,,,,,,
,City of Cedar Rapids,"126,984",448,3,34,136,275,"5,949","1,252","4,353",344
,Total area actually reporting,96.3%,514,5,47,141,321,"7,370","1,647","5,283",440
,Estimated total,100.0%,529,5,49,142,333,"7,567","1,684","5,435",448
,"Rate per 100,000 inhabitants",,207.3,2.0,19.2,55.6,130.5,"2,965.0",659.8,"2,129.6",175.5
"Charleston, WV M.S.A.",,"303,474", ,,,,, ,,,
,"Includes Boone, Clay, Kanawha, Lincoln, and Putnam Counties",,,,,,,,,,
,City of Charleston,"50,132",592,3,21,125,443,"2,997",608,"2,177",212
,Total area actually reporting,85.8%,"1,179",13,71,209,886,"9,101","2,001","6,352",748
,Estimated total,100.0%,"1,276",14,79,225,958,"10,199","2,248","7,126",825
,"Rate per 100,000 inhabitants",,420.5,4.6,26.0,74.1,315.7,"3,360.7",740.8,"2,348.1",271.9
"Charleston-North Charleston-Summerville, SC M.S.A.",,"643,759",,,,,,,,,
,"Includes Berkeley, Charleston, and Dorchester Counties",, ,,,,,,,,
,City of Charleston,"111,645",800,14,60,288,438,"4,535",724,"3,399",412
