Table 6,,,,,,,,,,,,,,
Crime in the United States,, ,,,,,,,,,,,,
"by Metropolitan Statistical Area, 2006",,,,,,,,,,,,,,
Metropolitan Statistical Area,Counties/principal cities,Population,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,,,
,City of Bremerton,"38,478",346,1,70,76,199,"1,687",407,"1,102",178,,,
,Total area actually reporting,100.0%,"1,014",3,231,125,655,"6,521","1,742","4,178",601,,,
,"Rate per 100,000 inhabitants",,414.2,1.2,94.4,51.1,267.6,"2,663.9",711.6,"1,706.7",245.5,,,
"Brownsville-Harlingen, TX M.S.A.",,"389,032",,,,,,,,,,,,
,Includes Cameron County,,,,,,,,,,,,,
,City of Brownsville,"172,239",867,5,46,168,648,"8,385","1,377","6,483",525,,,
,City of Harlingen,"64,084",353,3,22,67,261,"4,570","1,043","3,255",272,,,
,Total area actually reporting,100.0%,"1,678",12,125,277,"1,264","18,292","3,882","13,316","1,094",,,
,"Rate per 100,000 inhabitants",,431.3,3.1,32.1,71.2,324.9,"4,701.9",997.9,"3,422.9",281.2,,,
"Brunswick, GA M.S.A.",,"101,593", ,,,,, ,,,,,,
,"Includes Brantley, Glynn, and McIntosh Counties",,,,,,,,,,,,,
,City of Brunswick,"16,468",449,2,8,89,350,"1,343",345,930,68,,,
,Total area actually reporting,90.5%,768,4,32,163,569,"4,136",990,"2,904",242,,,
,Estimated total,100.0%,803,5,34,176,588,"4,435","1,069","3,081",285,,,
,"Rate per 100,000 inhabitants",,790.4,4.9,33.5,173.2,578.8,"4,365.5","1,052.2","3,032.7",280.5,,,
"Buffalo-Niagara Falls, NY M.S.A.",,"1,150,784",,,,,,,,,,,,
,Includes Erie and Niagara Counties,,,,,,,,,,,,,
,City of Buffalo,"280,494","3,957",74,174,"1,708","2,001","15,436","4,447","8,864","2,125",,,
,City of Cheektowaga Town,"80,995",221,2,14,75,130,"2,419",415,"1,867",137,,,
,City of Tonawanda,"15,376",49,0,5,12,32,425,42,367,16,,,
,City of Niagara Falls,"53,008",643,4,35,201,403,"2,788",791,"1,802",195,,,
,Total area actually reporting,100.0%,"5,899",86,331,"2,249","3,233","33,709","8,261","22,475","2,973",,,
,"Rate per 100,000 inhabitants", ,512.6,7.5,28.8,195.4,280.9,"2,929.2",717.9,"1,953.0",258.3,,,
"Burlington, NC M.S.A.",,"143,337", ,,,, , ,,,,,,
,Includes Alamance County,,,,,,,,,,,,,
,City of Burlington,"48,542",445,4,17,110,314,"3,118",692,"2,251",175,,,
,Total area actually reporting,98.6%,749,6,30,144,569,"5,670","1,425","3,885",360,,,
,Estimated total,100.0%,759,6,31,147,575,"5,778","1,451","3,961",366,,,
,"Rate per 100,000 inhabitants",,529.5,4.2,21.6,102.6,401.2,"4,031.1","1,012.3","2,763.4",255.3,,,
"Cape Coral-Fort Myers, FL M.S.A.",,"553,945",,,,, ,,,,,,,
,Includes Lee County,,,,,,,,,,,,,
,City of Cape Coral,"142,371",406,6,52,83,265,"4,908","1,462","3,115",331,,,
,City of Fort Myers,"59,413",937,15,38,327,557,"2,910",561,"1,691",658,,,
,Total area actually reporting,100.0%,"3,157",48,196,866,"2,047","20,043","5,736","11,998","2,309",,,
,"Rate per 100,000 inhabitants",,569.9,8.7,35.4,156.3,369.5,"3,618.2","1,035.5","2,165.9",416.8,,,
"Carson City, NV M.S.A.",,"57,936", ,,,,, ,,,,,,
,Includes Carson City,,,,,,,,,,,,,
,Total area actually reporting,100.0%,195,2,2,22,169,"1,247",291,819,137,,,
,"Rate per 100,000 inhabitants",,336.6,3.5,3.5,38.0,291.7,"2,152.4",502.3,"1,413.6",236.5,,,
"Casper, WY M.S.A.",,"70,582", ,,,,, ,,,,,,
,Includes Natrona County,,,,,,,,,,,,,
,City of Casper,"52,318",130,0,20,12,98,"2,581",441,"2,023",117,,,
,Total area actually reporting,100.0%,169,2,21,16,130,"3,186",592,"2,451",143,,,
,"Rate per 100,000 inhabitants",,239.4,2.8,29.8,22.7,184.2,"4,513.9",838.7,"3,472.6",202.6,,,
"Cedar Rapids, IA M.S.A.",,"247,720", ,,,,, ,,,,,,
,"Includes Benton, Jones, and Linn Counties",,,,,,,,,,,,,
,City of Cedar Rapids,"123,773",401,6,39,136,220,"5,872","1,114","4,460",298,,,
,Total area actually reporting,96.1%,513,7,57,139,310,"7,193","1,443","5,375",375,,,
,Estimated total,100.0%,531,7,59,141,324,"7,441","1,484","5,571",386,,,
,"Rate per 100,000 inhabitants",,214.4,2.8,23.8,56.9,130.8,"3,003.8",599.1,"2,248.9",155.8,,,
"Charleston, WV M.S.A.",,"306,706", , ,,,,,,,,,,
,"Includes Boone, Clay, Kanawha, Lincoln, and Putnam Counties",,,,,,,,,,,,,
,City of Charleston,"51,221",508,2,19,112,375,"3,559",729,"2,603",227,,,
,Total area actually reporting,87.5%,"1,131",22,75,207,827,"10,414","2,403","7,040",971,,,
,Estimated total,100.0%,"1,220",23,82,218,897,"11,336","2,627","7,653","1,056",,,
,"Rate per 100,000 inhabitants",,397.8,7.5,26.7,71.1,292.5,"3,696.0",856.5,"2,495.2",344.3,,,
"Charleston-North Charleston, SC M.S.A.",,"604,149",,,,,,,,,,,,
,"Includes Berkeley, Charleston, and Dorchester Counties",,,,,,,,,,,,,
,City of Charleston,"108,371",960,23,45,245,647,"4,358",707,"3,108",543,,,
,City of North Charleston,"87,655","1,481",28,81,544,828,"7,470","1,331","5,040","1,099",,,
,Total area actually reporting,100.0%,"5,017",76,291,"1,226","3,424","26,263","5,390","17,713","3,160",,,
,"Rate per 100,000 inhabitants",,830.4,12.6,48.2,202.9,566.7,"4,347.1",892.2,"2,931.9",523.0,,,
"Charlotte-Gastonia-Concord, NC-SC M.S.A.2",,"1,550,796", ,,,,, ,,,,,,
,"Includes Anson, Cabarrus, Gaston, Mecklenburg, and Union2 Counties, NC and York County, SC",,,,,,,,,,,,,
,"City of Charlotte-Mecklenburg, NC","699,398","7,532",83,346,"3,207","3,896","48,886","13,582","28,154","7,150",,,
,"City of Gastonia, NC","70,340",710,4,30,220,456,"5,816","1,271","4,056",489,,,
,"City of Concord, NC","62,311",280,3,14,98,165,"2,924",459,"2,149",316,,,
,"City of Rock Hill, SC","60,480",747,6,32,113,596,"2,716",484,"2,015",217,,,
,Total area actually reporting,97.6%,,127,557,"4,131",,"79,394","21,319","48,536","9,539",,,
,Estimated total,100.0%,,128,569,"4,180",,"81,387","21,797","49,944","9,646",,,
,"Rate per 100,000 inhabitants",,,8.3,36.7,269.5,,"5,248.1","1,405.5","3,220.5",622.0,,,
"Charlottesville, VA M.S.A.",,"190,302", ,,,,, ,,,,,,
,"Includes Albemarle, Fluvanna, Greene, and Nelson Counties and Charlottesville City",,,,,,,,,,,,,
,City of Charlottesville,"40,840",322,3,30,77,212,"2,174",316,"1,675",183,,,
,Total area actually reporting,100.0%,539,4,61,129,345,"5,517",853,"4,230",434,,,
,"Rate per 100,000 inhabitants",,283.2,2.1,32.1,67.8,181.3,"2,899.1",448.2,"2,222.8",228.1,,,
"Chattanooga, TN-GA M.S.A.",,"501,115", ,,,,, , ,,,,,
,"Includes Catoosa, Dade, and Walker Counties, GA and Hamilton, Marion, and Sequatchie Counties, TN",,,,,,,,,,,,,
,"City of Chattanooga, TN","156,730","1,935",17,118,532,"1,268","12,275","2,273","8,876","1,126",,,
,Total area actually reporting,100.0%,"3,004",26,187,646,"2,145","21,287","4,307","15,132","1,848",,,
,"Rate per 100,000 inhabitants",,599.5,5.2,37.3,128.9,428.0,"4,247.9",859.5,"3,019.7",368.8,,,
"Cheyenne, WY M.S.A.",,"86,117", ,,,,, ,,,,,,
,Includes Laramie County,,,,,,,,,,,,,
,City of Cheyenne,"56,356",117,2,29,23,63,"2,364",266,"1,975",123,,,
,Total area actually reporting,100.0%,168,2,38,29,99,"2,914",401,"2,356",157,,,
,"Rate per 100,000 inhabitants",,195.1,2.3,44.1,33.7,115.0,"3,383.8",465.6,"2,735.8",182.3,,,
"Chico, CA M.S.A.",,"216,114", ,,,,, ,,,,,,
,Includes Butte County,,,,,,,,,,,,,
,City of Chico,"72,070",337,1,66,92,178,"2,658",741,"1,559",358,,,
,Total area actually reporting,100.0%,787,11,113,144,519,"7,107","2,085","4,012","1,010",,,
,"Rate per 100,000 inhabitants",,364.2,5.1,52.3,66.6,240.2,"3,288.5",964.8,"1,856.4",467.3,,,
"Cincinnati-Middletown, OH-KY-IN M.S.A.",,"2,076,054",,,,,, ,,,,,,
,"Includes Dearborn, Franklin, and Ohio Counties, IN; Boone, Bracken, Campbell, Gallatin, Grant, Kenton, and Pendleton Counties, KY; and Brown, Butler, Clermont, Hamilton, and Warren Counties, OH ",,,,,,,,,,,,,
