Table 6,,,,,,,,,,,
Crime in the United States,,,,,,,,,,,
"by Metropolitan Statistical Area, 2013",,,,,,,,,,,
Metropolitan Statistical Area,Counties/principal cities,Population,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft"
,City of Port Arthur,"54,032",359,5,18,121,215,"2,390",726,"1,537",127
,Total area actually reporting,100.0%,"2,177",35,116,628,"1,398","13,641","4,075","8,811",755
,"Rate per 100,000 inhabitants",,536.1,8.6,28.6,154.7,344.3,"3,359.4","1,003.6","2,169.9",185.9
"Bend-Redmond, OR M.S.A.",,"164,183", ,,,,, ,,,
,Includes Deschutes County,,,,,,,,,,
,City of Bend,"79,926",182,1,21,22,138,"2,267",267,"1,913",87
,City of Redmond,"27,153",87,0,11,15,61,"1,067",157,867,43
,Total area actually reporting,100.0%,364,3,46,41,274,"4,252",632,"3,443",177
,"Rate per 100,000 inhabitants",,221.7,1.8,28.0,25.0,166.9,"2,589.8",384.9,"2,097.1",107.8
"Billings, MT M.S.A.",,"164,846", ,,,,, ,,,
,"Includes Carbon, Golden Valley, and Yellowstone Counties",,,,,,,,,,
,City of Billings,"107,802",360,4,39,81,236,"5,604",989,"4,074",541
,Total area actually reporting,100.0%,439,4,49,84,302,"6,591","1,206","4,733",652
,"Rate per 100,000 inhabitants",,266.3,2.4,29.7,51.0,183.2,"3,998.3",731.6,"2,871.2",395.5
"Binghamton, NY M.S.A.",,"247,869", ,,,,, ,,,
,Includes Broome and Tioga Counties,,,,,,,,,,
,City of Binghamton,"46,304",284,3,19,101,161,"2,349",525,"1,767",57
,Total area actually reporting,100.0%,536,8,55,158,315,"6,791","1,323","5,313",155
,"Rate per 100,000 inhabitants",,216.2,3.2,22.2,63.7,127.1,"2,739.8",533.7,"2,143.5",62.5
"Birmingham-Hoover, AL M.S.A.",,"1,138,940",,,,,,,,,
,"Includes Bibb, Blount, Chilton, Jefferson, St. Clair, Shelby, and Walker Counties",,,,,,,,,,
,City of Birmingham,"212,001","2,852",63,178,969,"1,642","14,157","4,018","8,661","1,478"
,City of Hoover,"84,139",74,2,9,34,29,"2,596",344,"2,144",108
,Total area actually reporting,94.4%,"5,822",91,481,"1,671","3,579","40,624","10,890","26,788","2,946"
,Estimated total,100.0%,"6,034",93,506,"1,712","3,723","42,397","11,366","27,971","3,060"
,"Rate per 100,000 inhabitants",,529.8,8.2,44.4,150.3,326.9,"3,722.5",997.9,"2,455.9",268.7
"Bismarck, ND M.S.A.",,"124,238", ,,,,, ,,,
,"Includes Burleigh, Morton, Oliver, and Sioux Counties",,,,,,,,,,
,City of Bismarck,"65,850",194,1,26,15,152,"1,730",334,"1,289",107
,Total area actually reporting,100.0%,494,3,72,22,397,"2,862",560,"2,081",221
,"Rate per 100,000 inhabitants",,397.6,2.4,58.0,17.7,319.5,"2,303.6",450.7,"1,675.0",177.9
"Blacksburg-Christiansburg-Radford, VA M.S.A.",,"179,521",,,,,,,,,
,"Includes Floyd, Giles, Montgomery, and Pulaski Counties and Radford City",,,,,,,,,,
,City of Blacksburg,"42,603",31,0,7,4,20,523,91,417,15
,City of Christiansburg,"21,581",30,1,13,3,13,545,53,478,14
,City of Radford,"16,810",91,0,11,7,73,407,75,321,11
,Total area actually reporting,100.0%,314,2,79,20,213,"3,456",558,"2,795",103
,"Rate per 100,000 inhabitants",,174.9,1.1,44.0,11.1,118.6,"1,925.1",310.8,"1,556.9",57.4
"Bloomington, IL M.S.A.",,"189,408",,,,,,,,,
,Includes DeWitt and McLean Counties,, ,,,,,,,,
,City of Bloomington,"78,060",399,2,57,59,281,"1,901",402,"1,446",53
,Total area actually reporting,93.3%,583,4,88,94,397,"3,699",809,"2,801",89
,Estimated total,100.0%,610,4,91,102,413,"3,946",852,"2,995",99
,"Rate per 100,000 inhabitants",,322.1,2.1,48.0,53.9,218.0,"2,083.3",449.8,"1,581.2",52.3
"Bloomington, IN M.S.A.",,"163,596", ,,,,, ,,,
,Includes Monroe and Owen Counties,,,,,,,,,,
,City of Bloomington,"82,415",275,2,34,78,161,"2,606",516,"1,942",148
,Total area actually reporting,86.9%,407,3,56,87,261,"4,135",860,"3,062",213
,Estimated total,100.0%,426,3,59,90,274,"4,406",935,"3,239",232
,"Rate per 100,000 inhabitants",,260.4,1.8,36.1,55.0,167.5,"2,693.2",571.5,"1,979.9",141.8
"Bloomsburg-Berwick, PA M.S.A.",,"85,071",,,,,,,,,
,Includes Columbia and Montour Counties,, ,,,,,,,,
,City of Bloomsburg Town,"14,563",41,0,9,3,29,231,56,173,2
,City of Berwick,"10,326",33,0,1,3,29,401,106,284,11
,Total area actually reporting,100.0%,214,1,18,11,184,"1,492",331,"1,129",32
,"Rate per 100,000 inhabitants",,251.6,1.2,21.2,12.9,216.3,"1,753.8",389.1,"1,327.1",37.6
"Boise City, ID M.S.A.",,"647,858",,,,,,,,,
,"Includes Ada, Boise, Canyon, Gem, and Owyhee Counties",, ,,,,,,,,
,City of Boise ,"214,330",600,3,123,45,429,"4,741",825,"3,703",213
,Total area actually reporting,99.9%,"1,452",6,313,84,"1,049","11,009","2,301","8,179",529
,Estimated total,100.0%,"1,453",6,313,84,"1,050","11,018","2,303","8,186",529
,"Rate per 100,000 inhabitants",,224.3,0.9,48.3,13.0,162.1,"1,700.7",355.5,"1,263.5",81.7
"Boston-Cambridge-Newton, MA-NH M.S.A.",,"4,679,143",,,,,,,,,
,"Includes the Metropolitan Divisions of Boston, MA; Cambridge-Newton-Framingham, MA; and Rockingham County-Strafford County, NH",,,,,,,,,,
,"City of Boston, MA","643,799","5,037",39,279,"1,868","2,851","17,853","3,096","13,147","1,610"
,"City of Cambridge, MA","107,282",361,2,24,114,221,"2,907",401,"2,402",104
,"City of Newton, MA","86,867",74,0,11,18,45,807,205,584,18
,"City of Framingham, MA","70,753",172,0,4,23,145,"1,025",217,735,73
,"City of Waltham, MA","62,446",141,1,22,28,90,952,212,694,46
,Total area actually reporting,98.5%,"16,394",85,"1,286","4,427","10,596","87,219","16,118","65,135","5,966"
,Estimated total,100.0%,"16,586",86,"1,308","4,464","10,728","88,451","16,370","66,047","6,034"
,"Rate per 100,000 inhabitants",,354.5,1.8,28.0,95.4,229.3,"1,890.3",349.9,"1,411.5",129.0
"Boston, MA M.D.",,"1,942,405",,,,,,,,,
,"Includes Norfolk, Plymouth, and Suffolk Counties",,,,,,,,,,
,Total area actually reporting,97.3%,"9,600",61,640,"2,900","5,999","39,680","7,689","29,226","2,765"
,Estimated total,100.0%,"9,770",62,656,"2,933","6,119","40,647","7,902","29,920","2,825"
,"Rate per 100,000 inhabitants",,503.0,3.2,33.8,151.0,315.0,"2,092.6",406.8,"1,540.4",145.4
"Cambridge-Newton-Framingham, MA M.D.",,"2,313,211",,,,,,,,,
,Includes Essex and Middlesex Counties,,,,,,,,,,
,Total area actually reporting,100.0%,"6,103",21,456,"1,400","4,226","39,326","7,234","29,160","2,932"
,"Rate per 100,000 inhabitants",,263.8,0.9,19.7,60.5,182.7,"1,700.1",312.7,"1,260.6",126.8
"Rockingham County-Strafford County, NH M.D.",,"423,527",,,,,,,,,
,Includes Rockingham and Strafford Counties,,,,,,,,,,
,Total area actually reporting,96.1%,691,3,190,127,371,"8,213","1,195","6,749",269
,Estimated total,100.0%,713,3,196,131,383,"8,478","1,234","6,967",277
,"Rate per 100,000 inhabitants",,168.3,0.7,46.3,30.9,90.4,"2,001.8",291.4,"1,645.0",65.4
"Boulder, CO M.S.A.",,"310,333", ,,,,, ,,,
,Includes Boulder County,,,,,,,,,,
,City of Boulder,"102,828",218,0,38,40,140,"2,948",612,"2,236",100
,Total area actually reporting,79.5%,544,0,136,65,343,"6,211","1,038","4,922",251
,Estimated total,100.0%,658,2,162,74,420,"7,079","1,232","5,514",333
,"Rate per 100,000 inhabitants",,212.0,0.6,52.2,23.8,135.3,"2,281.1",397.0,"1,776.8",107.3
"Bowling Green, KY M.S.A.",,"163,437", ,,,,, ,,,
,"Includes Allen, Butler, Edmonson, and Warren Counties",,,,,,,,,,
,City of Bowling Green,"61,130",201,2,59,69,71,"2,852",455,"2,272",125
,Total area actually reporting,100.0%,236,2,72,76,86,"3,789",775,"2,837",177
,"Rate per 100,000 inhabitants",,144.4,1.2,44.1,46.5,52.6,"2,318.3",474.2,"1,735.8",108.3
"Bremerton-Silverdale, WA M.S.A.",,"256,890",,,,,,,,,
,Includes Kitsap County,, ,,,,,,,,
,City of Bremerton,"39,754",227,1,35,55,136,"1,946",452,"1,354",140
,Total area actually reporting,100.0%,707,2,119,105,481,"7,569","1,931","5,126",512
,"Rate per 100,000 inhabitants",,275.2,0.8,46.3,40.9,187.2,"2,946.4",751.7,"1,995.4",199.3
"Bridgeport-Stamford-Norwalk, CT M.S.A.",,"921,059",,,,,,,,,
,Includes Fairfield County,,,,,,,,,,
,City of Bridgeport,"147,076","1,397",11,82,584,720,"4,464","1,191","2,610",663
,City of Stamford,"125,876",334,1,28,160,145,"1,938",354,"1,435",149
,City of Norwalk,"87,590",239,0,14,61,164,"1,728",245,"1,377",106
,City of Danbury,"83,363",108,2,25,53,28,"1,257",221,972,64
,City of Stratford,"52,285",74,0,8,41,25,"1,429",251,"1,042",136
,Total area actually reporting,100.0%,"2,252",14,175,943,"1,120","14,918","2,955","10,644","1,319"
,"Rate per 100,000 inhabitants",,244.5,1.5,19.0,102.4,121.6,"1,619.7",320.8,"1,155.6",143.2
"Brownsville-Harlingen, TX M.S.A.",,"419,944",,,,,,,,,
,Includes Cameron County,, ,,,,,,,,
,City of Brownsville,"181,590",473,1,61,136,275,"7,838","1,140","6,441",257
,City of Harlingen,"65,885",264,2,21,59,182,"2,584",496,"2,012",76
,Total area actually reporting,100.0%,"1,009",6,126,244,633,"14,844","2,761","11,587",496
,"Rate per 100,000 inhabitants",,240.3,1.4,30.0,58.1,150.7,"3,534.8",657.5,"2,759.2",118.1
"Brunswick, GA M.S.A.2",,"113,744", ,,,,, ,,,
,"Includes Brantley, Glynn,2 and McIntosh Counties",,,,,,,,,,
,City of Brunswick,"15,709",162,3,4,38,117,"1,110",331,732,47
,Total area actually reporting,98.4%,,7,19,111,,"4,346","1,195","2,989",162
,Estimated total,100.0%,,7,19,113,,"4,421","1,209","3,045",167
,"Rate per 100,000 inhabitants",,,6.2,16.7,99.3,,"3,886.8","1,062.9","2,677.1",146.8
"Buffalo-Cheektowaga-Niagara Falls, NY M.S.A.",,"1,135,074",,,,,,,,,
,Includes Erie and Niagara Counties,,,,,,,,,,
,City of Buffalo,"258,789","3,249",47,145,"1,322","1,735","12,491","3,458","8,076",957
,City of Cheektowaga Town,"78,361",158,0,11,48,99,"2,689",345,"2,271",73
,City of Niagara Falls,"49,574",584,3,12,166,403,"2,807",746,"1,949",112
,Total area actually reporting,100.0%,"4,883",59,241,"1,744","2,839","31,044","6,525","23,046","1,473"
,"Rate per 100,000 inhabitants",,430.2,5.2,21.2,153.6,250.1,"2,735.0",574.9,"2,030.4",129.8
"Burlington, NC M.S.A.",,"155,214", ,,,,, ,,,
,Includes Alamance County,,,,,,,,,,
,City of Burlington,"51,401",362,0,16,100,246,"2,635",546,"1,977",112
,Total area actually reporting,100.0%,593,3,33,147,410,"4,969","1,311","3,433",225
,"Rate per 100,000 inhabitants",,382.1,1.9,21.3,94.7,264.2,"3,201.4",844.6,"2,211.8",145.0
"California-Lexington Park, MD M.S.A.",,"110,294",,,,,,,,,
,Includes St. Mary's County,, ,,,,,,,,
,Total area actually reporting,100.0%,242,3,6,62,171,"2,489",640,"1,730",119
,"Rate per 100,000 inhabitants",,219.4,2.7,5.4,56.2,155.0,"2,256.7",580.3,"1,568.5",107.9
"Canton-Massillon, OH M.S.A.",,"404,048",,,,,,,,,
,Includes Carroll and Stark Counties,, ,,,,,,,,
,City of Canton,"72,598",673,11,72,357,233,"4,253","1,218","2,597",438
,City of Massillon,"32,159",69,0,14,31,24,975,249,695,31
,Total area actually reporting,98.6%,"1,073",12,137,479,445,"10,670","2,651","7,321",698
,Estimated total,100.0%,"1,080",12,138,482,448,"10,817","2,680","7,434",703
,"Rate per 100,000 inhabitants",,267.3,3.0,34.2,119.3,110.9,"2,677.2",663.3,"1,839.9",174.0
"Cape Coral-Fort Myers, FL M.S.A.",,"656,243",,,,,,,,,
,Includes Lee County,, ,,,,,,,,
,City of Cape Coral,"163,461",197,3,7,40,147,"3,375",803,"2,427",145
,City of Fort Myers,"66,835",752,10,45,185,512,"2,279",392,"1,726",161
,Total area actually reporting,100.0%,"2,184",25,150,577,"1,432","14,400","3,779","9,808",813
,"Rate per 100,000 inhabitants",,332.8,3.8,22.9,87.9,218.2,"2,194.3",575.9,"1,494.6",123.9
"Cape Girardeau, MO-IL M.S.A.",,"97,510",,,,,,,,,
,"Includes Alexander County, IL and Bollinger and Cape Girardeau Counties, MO",, ,,,,,,,,
,"City of Cape Girardeau, MO","38,716",258,5,12,85,156,"1,990",446,"1,487",57
,Total area actually reporting,100.0%,478,7,23,100,348,"2,981",738,"2,136",107
,"Rate per 100,000 inhabitants",,490.2,7.2,23.6,102.6,356.9,"3,057.1",756.8,"2,190.5",109.7
"Carbondale-Marion, IL M.S.A.",,"126,687", ,,,,, ,,,
,Includes Jackson and Williamson Counties,,,,,,,,,,
,City of Carbondale,"26,248",244,2,14,41,187,"1,031",272,731,28
,City of Marion,"17,347",7,0,0,7,0,194,150,6,38
,Total area actually reporting,90.4%,351,3,24,60,264,"3,015","1,004","1,880",131
,Estimated total,100.0%,377,3,27,68,279,"3,251","1,045","2,065",141
,"Rate per 100,000 inhabitants",,297.6,2.4,21.3,53.7,220.2,"2,566.2",824.9,"1,630.0",111.3
"Carson City, NV M.S.A.",,"54,937", ,,,,, ,,,
,Includes Carson City,,,,,,,,,,
,Total area actually reporting,100.0%,133,4,0,17,112,924,202,654,68
,"Rate per 100,000 inhabitants",,242.1,7.3,0.0,30.9,203.9,"1,681.9",367.7,"1,190.5",123.8
"Casper, WY M.S.A.",,"79,993", ,,,,, ,,,
,Includes Natrona County,,,,,,,,,,
,City of Casper,"58,688",88,2,7,15,64,"2,036",294,"1,657",85
