Table 6,,,,,,,,,,,
Crime in the United States,,,,,,,,,,,
"by Metropolitan Statistical Area, 2010",,,,,,,,,,,
Metropolitan Statistical Area,Counties/principal cities,Population,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft
,Total area actually reporting,94.4%,948,9,34,200,705,"6,766","1,795","4,653",318
,Estimated total,100.0%,993,9,36,206,742,"7,149","1,873","4,944",332
,"Rate per 100,000 inhabitants",,638.0,5.8,23.1,132.3,476.7,"4,592.9","1,203.3","3,176.3",213.3
"Allentown-Bethlehem-Easton, PA-NJ M.S.A.",,"828,068",,,,,,,,,
,"Includes Warren County, NJ and Carbon, Lehigh, and Northampton Counties, PA",,,,,,,,,,
,"City of Allentown, PA","108,473",732,9,67,460,196,"5,089","1,327","3,345",417
,"City of Bethlehem, PA","73,634",234,0,18,110,106,"2,069",445,"1,522",102
,Total area actually reporting,99.6%,"1,883",29,168,773,913,"18,967","3,569","14,508",890
,Estimated total,100.0%,"1,890",29,168,775,918,"19,029","3,579","14,558",892
,"Rate per 100,000 inhabitants",,228.2,3.5,20.3,93.6,110.9,"2,298.0",432.2,"1,758.1",107.7
"Altoona, PA M.S.A.",,"126,459", ,,,,, ,,,
,Includes Blair County,,,,,,,,,,
,City of Altoona,"46,213",167,0,29,51,87,947,294,616,37
,Total area actually reporting,100.0%,308,1,48,63,196,"2,291",538,"1,667",86
,"Rate per 100,000 inhabitants",,243.6,0.8,38.0,49.8,155.0,"1,811.7",425.4,"1,318.2",68.0
"Amarillo, TX M.S.A.",,"247,721", ,,,,, ,,,
,"Includes Armstrong, Carson, Potter, and Randall Counties",,,,,,,,,,
,City of Amarillo,"190,393","1,184",10,91,238,845,"11,064","2,590","7,827",647
,Total area actually reporting,100.0%,"1,271",14,101,245,911,"11,922","2,817","8,399",706
,"Rate per 100,000 inhabitants",,513.1,5.7,40.8,98.9,367.8,"4,812.7","1,137.2","3,390.5",285.0
"Ames, IA M.S.A.",,"88,803", ,,,,, ,,,
,Includes Story County,,,,,,,,,,
,City of Ames,"57,817",177,1,24,10,142,"1,556",289,"1,217",50
,Total area actually reporting,100.0%,266,1,37,11,217,"2,245",425,"1,746",74
,"Rate per 100,000 inhabitants",,299.5,1.1,41.7,12.4,244.4,"2,528.1",478.6,"1,966.1",83.3
"Anchorage, AK M.S.A.",,"313,181", ,,,,, ,,,
,Includes Anchorage Municipality and Matanuska-Susitna Borough,,,,,,,,,,
,City of Anchorage,"290,334","2,432",13,264,454,"1,701","10,214","1,223","8,178",813
,Total area actually reporting,100.0%,"2,546",13,269,465,"1,799","10,981","1,303","8,811",867
,"Rate per 100,000 inhabitants",,812.9,4.2,85.9,148.5,574.4,"3,506.3",416.1,"2,813.4",276.8
"Anderson, IN M.S.A.",,"131,703", ,,,,, ,,,
,Includes Madison County,,,,,,,,,,
,City of Anderson,"57,156",199,3,32,85,79,"3,072",753,"2,095",224
,Total area actually reporting,100.0%,271,3,44,93,131,"4,417","1,117","3,022",278
,"Rate per 100,000 inhabitants",,205.8,2.3,33.4,70.6,99.5,"3,353.8",848.1,"2,294.6",211.1
"Anderson, SC M.S.A.",,"187,031", ,,,,, ,,,
,Includes Anderson County,,,,,,,,,,
,City of Anderson,"27,325",200,6,15,36,143,"1,924",466,"1,342",116
,Total area actually reporting,100.0%,"1,096",10,68,142,876,"8,805","2,427","5,689",689
,"Rate per 100,000 inhabitants",,586.0,5.3,36.4,75.9,468.4,"4,707.8","1,297.6","3,041.7",368.4
"Ann Arbor, MI M.S.A.",,"346,839", ,,,,, ,,,
,Includes Washtenaw County,,,,,,,,,,
,City of Ann Arbor,"111,745",284,0,43,76,165,"2,937",524,"2,284",129
,Total area actually reporting,100.0%,"1,174",5,150,242,777,"9,412","2,288","6,519",605
,"Rate per 100,000 inhabitants",,338.5,1.4,43.2,69.8,224.0,"2,713.7",659.7,"1,879.5",174.4
"Anniston-Oxford, AL M.S.A.1",,"115,376",,,,,,,,,
,Includes Calhoun County,, ,,,,,,,,
,City of Anniston1,"23,703",,3,23,76,,"2,038",831,"1,107",100
,City of Oxford1,"18,397",,3,1,,49,"1,079",162,867,50
,Total area actually reporting,100.0%,,6,40,,,"4,616","1,437","2,995",184
,"Rate per 100,000 inhabitants",,,5.2,34.7,,,"4,000.8","1,245.5","2,595.9",159.5
"Appleton, WI M.S.A.",,"224,034", ,,,,, ,,,
,Includes Calumet and Outagamie Counties,,,,,,,,,,
,City of Appleton,"70,975",202,0,17,13,172,"1,716",305,"1,379",32
,Total area actually reporting,100.0%,349,0,48,31,270,"4,787",848,"3,827",112
,"Rate per 100,000 inhabitants",,155.8,0.0,21.4,13.8,120.5,"2,136.7",378.5,"1,708.2",50.0
"Asheville, NC M.S.A.",,"417,415", ,,,,, ,,,
,"Includes Buncombe, Haywood, Henderson, and Madison Counties",,,,,,,,,,
,City of Asheville,"77,067",432,2,31,165,234,"3,671",743,"2,638",290
,Total area actually reporting,99.5%,952,8,91,248,605,"10,158","3,108","6,343",707
,Estimated total,100.0%,959,8,91,250,610,"10,247","3,129","6,407",711
,"Rate per 100,000 inhabitants",,229.7,1.9,21.8,59.9,146.1,"2,454.9",749.6,"1,534.9",170.3
"Athens-Clarke County, GA M.S.A.",,"188,596", ,,,,, ,,,
,"Includes Clarke, Madison, Oconee, and Oglethorpe Counties",,,,,,,,,,
,City of Athens-Clarke County,"112,851",371,5,29,110,227,"4,931","1,334","3,299",298
,Total area actually reporting,99.3%,701,8,37,131,525,"7,193","1,909","4,840",444
,Estimated total,100.0%,707,8,37,133,529,"7,249","1,920","4,881",448
,"Rate per 100,000 inhabitants",,374.9,4.2,19.6,70.5,280.5,"3,843.7","1,018.0","2,588.1",237.5
"Atlanta-Sandy Springs-Marietta, GA M.S.A.",,"5,432,336",,,,,,,,,
,"Includes Barrow, Bartow, Butts, Carroll, Cherokee, Clayton, Cobb, Coweta, Dawson, DeKalb, Douglas, Fayette, Forsyth, Fulton, Gwinnett, Haralson, Heard, Henry, Jasper, Lamar, Meriwether, Newton, Paulding, Pickens, Pike, Rockdale, Spalding, and Walton Counties",,,,,,,,,,
,City of Atlanta,"536,472","5,749",93,89,"2,162","3,405","30,800","8,016","17,741","5,043"
,City of Sandy Springs,"82,898",189,7,18,115,49,"2,666",718,"1,756",192
,City of Marietta,"65,318",462,2,10,136,314,"2,857",723,"1,968",166
,Total area actually reporting,99.6%,"22,390",333,"1,128","8,107","12,822","187,204","51,803","115,363","20,038"
,Estimated total,100.0%,"22,481",334,"1,133","8,134","12,880","188,099","51,985","116,017","20,097"
,"Rate per 100,000 inhabitants",,413.8,6.1,20.9,149.7,237.1,"3,462.6",957.0,"2,135.7",370.0
"Atlantic City-Hammonton, NJ M.S.A.",,"275,382", ,,,,, ,,,
,Includes Atlantic County,,,,,,,,,,
,City of Atlantic City,"39,787",783,11,27,434,311,"2,969",492,"2,344",133
,City of Hammonton ,"13,603",20,1,2,4,13,254,72,175,7
,Total area actually reporting,100.0%,"1,459",22,52,676,709,"9,777","2,042","7,396",339
,"Rate per 100,000 inhabitants",,529.8,8.0,18.9,245.5,257.5,"3,550.3",741.5,"2,685.7",123.1
"Augusta-Richmond County, GA-SC M.S.A.",,"531,786", ,,,,, ,,,
,"Includes Burke, Columbia, McDuffie, and Richmond Counties, GA and Aiken and Edgefield Counties, SC",,,,,,,,,,
,Total area actually reporting,99.8%,"2,192",54,199,832,"1,107","25,559","7,196","16,119","2,244"
,Estimated total,100.0%,"2,196",54,199,833,"1,110","25,607","7,206","16,154","2,247"
,"Rate per 100,000 inhabitants",,412.9,10.2,37.4,156.6,208.7,"4,815.3","1,355.1","3,037.7",422.5
"Austin-Round Rock-San Marcos, TX M.S.A.",,"1,752,518",,,,,,,,,
,"Includes Bastrop, Caldwell, Hays, Travis, and Williamson Counties",, ,,,,,,,,
,City of Austin,"796,310","3,790",38,265,"1,231","2,256","45,826","8,749","34,827","2,250"
,City of Round Rock,"111,099",116,0,26,35,55,"3,016",464,"2,452",100
,City of San Marcos,"55,100",152,1,13,34,104,"1,726",263,"1,390",73
,Total area actually reporting,100.0%,"5,746",60,432,"1,472","3,782","66,456","13,219","50,243","2,994"
,"Rate per 100,000 inhabitants",,327.9,3.4,24.7,84.0,215.8,"3,792.0",754.3,"2,866.9",170.8
"Bakersfield-Delano, CA M.S.A.",,"822,752", ,,,,, ,,,
,Includes Kern County,,,,,,,,,,
,City of Bakersfield,"333,458","2,104",33,34,641,"1,396","15,197","4,235","8,507","2,455"
,City of Delano,"54,298",247,0,6,55,186,"1,651",773,446,432
,Total area actually reporting,100.0%,"4,879",74,164,"1,221","3,420","30,550","9,445","15,892","5,213"
,"Rate per 100,000 inhabitants",,593.0,9.0,19.9,148.4,415.7,"3,713.1","1,148.0","1,931.6",633.6
"Baltimore-Towson, MD M.S.A.",,"2,720,381",,,,,,,,,
,"Includes Anne Arundel, Baltimore, Carroll, Harford, Howard, and Queen Anne's Counties and Baltimore City",,,,,,,,,,
,City of Baltimore,"639,929","9,316",223,265,"3,336","5,492","28,280","7,573","16,298","4,409"
,Total area actually reporting,100.0%,"18,642",279,641,"5,833","11,889","84,079","17,669","58,094","8,316"
,"Rate per 100,000 inhabitants",,685.3,10.3,23.6,214.4,437.0,"3,090.7",649.5,"2,135.5",305.7
"Bangor, ME M.S.A.",,"150,537", ,,,,, ,,,
,Includes Penobscot County,,,,,,,,,,
,City of Bangor,"31,587",52,3,4,30,15,"1,730",198,"1,485",47
,Total area actually reporting,100.0%,103,3,19,41,40,"4,664",863,"3,657",144
,"Rate per 100,000 inhabitants",,68.4,2.0,12.6,27.2,26.6,"3,098.2",573.3,"2,429.3",95.7
"Barnstable Town, MA M.S.A.",,"218,615", ,,,,, ,,,
,Includes Barnstable County,,,,,,,,,,
,City of Barnstable ,"45,599",355,0,29,46,280,"1,325",428,833,64
,Total area actually reporting,100.0%,950,1,79,126,744,"6,499","2,441","3,858",200
,"Rate per 100,000 inhabitants",,434.6,0.5,36.1,57.6,340.3,"2,972.8","1,116.6","1,764.7",91.5
"Battle Creek, MI M.S.A.",,"134,169", ,,,,, ,,,
,Includes Calhoun County,,,,,,,,,,
,City of Battle Creek,"60,386",702,5,63,120,514,"3,134","1,075","1,910",149
,Total area actually reporting,98.7%,930,6,100,146,678,"4,922","1,527","3,202",193
,Estimated total,100.0%,936,6,101,147,682,"4,969","1,537","3,235",197
,"Rate per 100,000 inhabitants",,697.6,4.5,75.3,109.6,508.3,"3,703.5","1,145.6","2,411.1",146.8
"Bay City, MI M.S.A.",,"106,214", ,,,,, ,,,
,Includes Bay County,,,,,,,,,,
,City of Bay City,"33,200",250,1,53,45,151,"1,056",340,681,35
,Total area actually reporting,98.1%,350,1,82,53,214,"2,572",636,"1,849",87
,Estimated total,100.0%,356,1,83,54,218,"2,626",648,"1,887",91
,"Rate per 100,000 inhabitants",,335.2,0.9,78.1,50.8,205.2,"2,472.4",610.1,"1,776.6",85.7
"Beaumont-Port Arthur, TX M.S.A.",,"376,711",,,,,,,,,
,"Includes Hardin, Jefferson, and Orange Counties",, ,,,,,,,,
,City of Beaumont,"109,430",900,10,65,312,513,"5,941","1,611","4,041",289
,City of Port Arthur,"56,424",419,6,26,169,218,"2,752","1,020","1,567",165
,Total area actually reporting,100.0%,"1,877",21,142,595,"1,119","14,561","4,358","9,374",829
,"Rate per 100,000 inhabitants",,498.3,5.6,37.7,157.9,297.0,"3,865.3","1,156.9","2,488.4",220.1
"Bellingham, WA M.S.A.",,"203,393", ,,,,, ,,,
,Includes Whatcom County,,,,,,,,,,
,City of Bellingham,"81,139",282,2,37,73,170,"3,653",589,"2,931",133
,Total area actually reporting,100.0%,543,5,91,103,344,"6,504","1,412","4,826",266
,"Rate per 100,000 inhabitants",,267.0,2.5,44.7,50.6,169.1,"3,197.8",694.2,"2,372.7",130.8
"Bend, OR M.S.A.2",,"162,019", ,,,,, ,,,
,Includes Deschutes County2,,,,,,,,,,
,City of Bend2,"79,556",247,5,14,31,197,"2,410",387,"1,951",72
,Total area actually reporting,100.0%,494,7,47,50,390,"4,818",806,"3,824",188
,"Rate per 100,000 inhabitants",,304.9,4.3,29.0,30.9,240.7,"2,973.7",497.5,"2,360.2",116.0
"Billings, MT M.S.A.",,"157,205", ,,,,, ,,,
,Includes Carbon and Yellowstone Counties, ,,,,,,,,,
,City of Billings,"108,039",280,2,25,42,211,"5,021",848,"3,811",362
,Total area actually reporting,100.0%,343,3,31,45,264,"5,978","1,026","4,517",435
,"Rate per 100,000 inhabitants",,218.2,1.9,19.7,28.6,167.9,"3,802.7",652.7,"2,873.3",276.7
"Binghamton, NY M.S.A.",,"241,233", ,,,,, ,,,
,Includes Broome and Tioga Counties,,,,,,,,,,
,City of Binghamton,"43,628",266,4,18,70,174,"2,085",423,"1,644",18
,Total area actually reporting,100.0%,534,6,49,123,356,"6,047","1,094","4,855",98
,"Rate per 100,000 inhabitants",,221.4,2.5,20.3,51.0,147.6,"2,506.7",453.5,"2,012.6",40.6
"Bismarck, ND M.S.A.",,"111,613", ,,,,, ,,,
,Includes Burleigh and Morton Counties,,,,,,,,,,
,City of Bismarck,"64,142",197,1,21,17,158,"1,508",182,"1,250",76
,Total area actually reporting,100.0%,255,2,37,19,197,"1,981",245,"1,622",114
,"Rate per 100,000 inhabitants",,228.5,1.8,33.2,17.0,176.5,"1,774.9",219.5,"1,453.2",102.1
"Blacksburg-Christiansburg-Radford, VA M.S.A.",,"161,019",,,,,,,,,
,"Includes Giles, Montgomery, and Pulaski Counties and Radford City",,,,,,,,,,
,City of Blacksburg,"43,355",38,0,14,9,15,687,117,547,23
,City of Christiansburg,"19,997",38,1,9,9,19,677,76,581,20
,City of Radford,"16,277",64,1,6,6,51,458,103,340,15
,Total area actually reporting,100.0%,278,5,46,41,186,"4,082",804,"3,144",134
,"Rate per 100,000 inhabitants",,172.7,3.1,28.6,25.5,115.5,"2,535.1",499.3,"1,952.6",83.2
"Bloomington, IN M.S.A.",,"187,290", ,,,,, ,,,
,"Includes Greene, Monroe, and Owen Counties",,,,,,,,,,
,City of Bloomington,"72,286",306,1,31,72,202,"3,143",815,"2,203",125
,Total area actually reporting,86.7%,451,4,52,86,309,"5,230","1,294","3,708",228
,Estimated total,100.0%,478,4,55,91,328,"5,627","1,390","3,984",253
,"Rate per 100,000 inhabitants",,255.2,2.1,29.4,48.6,175.1,"3,004.4",742.2,"2,127.2",135.1
"Bloomington-Normal, IL M.S.A.2",,"167,701",,,,,,,,,
,Includes McLean County2,, ,,,,,,,,
,City of Bloomington2,"74,304",385,1,43,75,266,"1,960",493,"1,414",53
,City of Normal2,"53,014",146,0,11,38,97,"1,497",350,"1,109",38
,Total area actually reporting,95.8%,606,1,74,121,410,"3,894",965,"2,819",110
,Estimated total,100.0%,622,1,76,125,420,"4,047",993,"2,937",117
,"Rate per 100,000 inhabitants",,370.9,0.6,45.3,74.5,250.4,"2,413.2",592.1,"1,751.3",69.8
"Boise City-Nampa, ID M.S.A.",,"619,814",,,,,,,,,
,"Includes Ada, Boise, Canyon, Gem, and Owyhee Counties",, ,,,,,,,,
,City of Boise ,"205,902",539,3,89,58,389,"5,707",888,"4,660",159
,City of Nampa,"84,179",275,2,51,17,205,"2,299",450,"1,721",128
,Total area actually reporting,98.8%,"1,332",10,208,113,"1,001","12,717","2,456","9,774",487
,Estimated total,100.0%,"1,341",10,209,113,"1,009","12,811","2,482","9,838",491
,"Rate per 100,000 inhabitants",,216.4,1.6,33.7,18.2,162.8,"2,066.9",400.4,"1,587.3",79.2
"Boston-Cambridge-Quincy, MA-NH M.S.A.",,"4,558,433",,,,,,,,,
,"Includes the Metropolitan Divisions of Boston-Quincy, MA; Cambridge-Newton-Framingham, MA; and Peabody, MA and Rockingham County-Strafford County, NH",,,,,,,,,,
,"City of Boston, MA","644,064","5,819",73,256,"1,926","3,564","20,628","3,587","15,004","2,037"
,"City of Cambridge, MA","108,356",476,0,22,171,283,"3,232",483,"2,569",180
,"City of Quincy, MA","90,304",414,11,22,112,269,"1,782",505,"1,152",125
,"City of Newton, MA","83,781",86,0,6,15,65,"1,212",170,"1,016",26
,"City of Framingham, MA","66,493",189,0,5,25,159,"1,409",313,"1,025",71
,"City of Waltham, MA","60,106",151,2,13,24,112,"1,032",200,759,73
,"City of Peabody, MA","51,517",111,0,15,15,81,"1,216",136,"1,025",55
,Total area actually reporting,98.5%,"18,382",158,"1,016","4,648","12,560","98,607","20,653","70,596","7,358"
,Estimated total,100.0%,"18,508",158,"1,030","4,671","12,649","99,807","20,899","71,492","7,416"
,"Rate per 100,000 inhabitants",,406.0,3.5,22.6,102.5,277.5,"2,189.5",458.5,"1,568.3",162.7
"Boston-Quincy, MA M.D.",,"1,908,436",,,,,,,,,
,"Includes Norfolk, Plymouth, and Suffolk Counties",,,,,,,,,,
,Total area actually reporting,99.6%,"10,760",111,511,"3,106","7,032","45,800","9,425","32,663","3,712"
,Estimated total,100.0%,"10,787",111,513,"3,111","7,052","45,964","9,466","32,775","3,723"
,"Rate per 100,000 inhabitants",,565.2,5.8,26.9,163.0,369.5,"2,408.5",496.0,"1,717.4",195.1
"Cambridge-Newton-Framingham, MA M.D.",,"1,492,762",,,,,,,,,
,Includes Middlesex County,,,,,,,,,,
,Total area actually reporting,99.4%,"4,393",20,254,914,"3,205","29,038","6,135","21,197","1,706"
,Estimated total,100.0%,"4,421",20,256,919,"3,226","29,215","6,179","21,318","1,718"
,"Rate per 100,000 inhabitants",,296.2,1.3,17.1,61.6,216.1,"1,957.1",413.9,"1,428.1",115.1
"Peabody, MA M.D.",,"736,478",,,,,,,,,
,Includes Essex County,,,,,,,,,,
,Total area actually reporting,99.1%,"2,669",21,156,525,"1,967","16,056","3,781","10,594","1,681"
,Estimated total,100.0%,"2,691",21,157,529,"1,984","16,192","3,815","10,687","1,690"
,"Rate per 100,000 inhabitants",,365.4,2.9,21.3,71.8,269.4,"2,198.6",518.0,"1,451.1",229.5
"Rockingham County-Strafford County, NH M.D.",,"420,757",,,,,,,,,
,Includes Rockingham and Strafford Counties,,,,,,,,,,
,Total area actually reporting,89.3%,560,6,95,103,356,"7,713","1,312","6,142",259
,Estimated total,100.0%,609,6,104,112,387,"8,436","1,439","6,712",285
,"Rate per 100,000 inhabitants",,144.7,1.4,24.7,26.6,92.0,"2,005.0",342.0,"1,595.2",67.7
"Boulder, CO M.S.A.",,"302,365", ,,,,, ,,,
,Includes Boulder County,,,,,,,,,,
,City of Boulder,"99,255",210,4,33,29,144,"2,722",478,"2,155",89
,Total area actually reporting,100.0%,598,7,57,71,463,"6,903","1,172","5,448",283
,"Rate per 100,000 inhabitants",,197.8,2.3,18.9,23.5,153.1,"2,283.0",387.6,"1,801.8",93.6
"Bowling Green, KY M.S.A.",,"122,243", ,,,,, ,,,
,Includes Edmonson and Warren Counties,,,,,,,,,,
,City of Bowling Green,"57,308",152,0,39,55,58,"2,662",512,"2,022",128
,Total area actually reporting,99.3%,185,0,48,59,78,"3,402",788,"2,450",164
,Estimated total,100.0%,187,0,48,60,79,"3,430",794,"2,471",165
,"Rate per 100,000 inhabitants",,153.0,0.0,39.3,49.1,64.6,"2,805.9",649.5,"2,021.4",135.0
"Bremerton-Silverdale, WA M.S.A.",,"240,976",,,,,,,,,
,Includes Kitsap County,, ,,,,,,,,
,City of Bremerton,"34,897",263,0,52,50,161,"1,786",414,"1,263",109
,Total area actually reporting,100.0%,"1,019",1,165,116,737,"6,618","1,707","4,532",379
,"Rate per 100,000 inhabitants",,422.9,0.4,68.5,48.1,305.8,"2,746.3",708.4,"1,880.7",157.3
"Bridgeport-Stamford-Norwalk, CT M.S.A.",,"895,941",,,,,,,,,
,Includes Fairfield County,,,,,,,,,,
,City of Bridgeport,"138,810","1,412",22,57,561,772,"4,683","1,448","2,377",858
,City of Stamford,"122,933",351,2,19,152,178,"1,969",348,"1,429",192
,City of Norwalk,"84,944",343,6,12,129,196,"1,878",323,"1,379",176
,City of Danbury,"81,242",116,2,21,46,47,"1,515",258,"1,177",80
,City of Stratford,"49,469",148,1,15,43,89,"1,312",188,"1,004",120
,Total area actually reporting,100.0%,"2,531",34,143,991,"1,363","15,971","3,323","10,986","1,662"
,"Rate per 100,000 inhabitants",,282.5,3.8,16.0,110.6,152.1,"1,782.6",370.9,"1,226.2",185.5
"Brownsville-Harlingen, TX M.S.A.",,"401,641",,,,,,,,,
,Includes Cameron County,, ,,,,,,,,
,City of Brownsville,"180,040",563,7,31,165,360,"9,316","1,286","7,784",246
,City of Harlingen,"65,765",399,3,34,87,275,"4,405",850,"3,375",180
,Total area actually reporting,100.0%,"1,344",11,101,316,916,"18,479","3,572","14,254",653
,"Rate per 100,000 inhabitants",,334.6,2.7,25.1,78.7,228.1,"4,600.9",889.4,"3,548.9",162.6
"Brunswick, GA M.S.A.",,"101,534", ,,,,, ,,,
,"Includes Brantley, Glynn, and McIntosh Counties",,,,,,,,,,
,City of Brunswick,"15,871",238,2,8,76,152,"1,418",406,960,52
,Total area actually reporting,100.0%,577,6,26,152,393,"5,384","1,553","3,652",179
,"Rate per 100,000 inhabitants",,568.3,5.9,25.6,149.7,387.1,"5,302.7","1,529.5","3,596.8",176.3
"Buffalo-Niagara Falls, NY M.S.A.",,"1,106,808",,,,,,,,,
,Includes Erie and Niagara Counties,,,,,,,,,,
,City of Buffalo,"265,128","3,599",55,157,"1,466","1,921","14,753","4,296","9,027","1,430"
,City of Cheektowaga Town,"76,671",155,1,17,52,85,"2,748",431,"2,221",96
,City of Tonawanda,"14,475",21,0,1,2,18,312,32,271,9
,City of Niagara Falls,"50,321",610,5,23,185,397,"2,924",956,"1,834",134
,Total area actually reporting,100.0%,"5,354",67,287,"1,929","3,071","34,306","8,227","24,000","2,079"
,"Rate per 100,000 inhabitants",,483.7,6.1,25.9,174.3,277.5,"3,099.5",743.3,"2,168.4",187.8
"Burlington, NC M.S.A.",,"152,475", ,,,,, ,,,
,Includes Alamance County,,,,,,,,,,
,City of Burlington,"52,210",395,3,11,69,312,"3,519",794,"2,599",126
,Total area actually reporting,100.0%,620,9,23,96,492,"5,840","1,590","4,014",236
,"Rate per 100,000 inhabitants",,406.6,5.9,15.1,63.0,322.7,"3,830.1","1,042.8","2,632.6",154.8
"Canton-Massillon, OH M.S.A.",,"407,101",,,,,,,,,
,Includes Carroll and Stark Counties,, ,,,,,,,,
,City of Canton,"77,938",652,2,54,324,272,"4,129","1,523","2,337",269
,City of Massillon,"32,768",39,3,4,21,11,833,210,601,22
,Total area actually reporting,98.6%,996,10,124,435,427,"10,242","3,054","6,700",488
,Estimated total,100.0%,"1,005",10,125,439,431,"10,399","3,086","6,819",494
,"Rate per 100,000 inhabitants",,246.9,2.5,30.7,107.8,105.9,"2,554.4",758.0,"1,675.0",121.3
"Cape Coral-Fort Myers, FL M.S.A.",,"603,092",,,,,,,,,
,Includes Lee County,, ,,,,,,,,
,City of Cape Coral,"160,432",276,3,23,64,186,"3,787","1,083","2,595",109
,City of Fort Myers,"66,053",698,7,29,152,510,"2,699",628,"1,877",194
,Total area actually reporting,100.0%,"2,327",27,136,604,"1,560","16,208","4,949","10,348",911
,"Rate per 100,000 inhabitants",,385.8,4.5,22.6,100.2,258.7,"2,687.5",820.6,"1,715.8",151.1
"Cape Girardeau-Jackson, MO-IL M.S.A.2",,"93,412",,,,,,,,,
,"Includes Alexander County, IL2 and Bollinger and Cape Girardeau Counties, MO",, ,,,,,,,,
,"City of Cape Girardeau, MO","37,627",238,1,13,54,170,"2,463",414,"1,985",64
,"City of Jackson, MO","14,043",17,0,2,1,14,358,50,298,10
,Total area actually reporting,94.9%,499,1,28,66,404,"3,405",689,"2,606",110
,Estimated total,100.0%,506,1,29,67,409,"3,474",709,"2,652",113
,"Rate per 100,000 inhabitants",,541.7,1.1,31.0,71.7,437.8,"3,719.0",759.0,"2,839.0",121.0
"Carson City, NV M.S.A.",,"55,119", ,,,,, ,,,
,Includes Carson City,,,,,,,,,,
,Total area actually reporting,100.0%,162,0,1,20,141,"1,133",281,768,84
,"Rate per 100,000 inhabitants",,293.9,0.0,1.8,36.3,255.8,"2,055.6",509.8,"1,393.3",152.4
"Casper, WY M.S.A.",,"77,252", ,,,,, ,,,
,Includes Natrona County,,,,,,,,,,
,City of Casper,"56,813",108,2,6,20,80,"2,405",382,"1,934",89
,Total area actually reporting,100.0%,145,3,10,24,108,"2,848",512,"2,201",135
,"Rate per 100,000 inhabitants",,187.7,3.9,12.9,31.1,139.8,"3,686.6",662.8,"2,849.1",174.8
"Cedar Rapids, IA M.S.A.",,"260,733", ,,,,, ,,,
,"Includes Benton, Jones, and Linn Counties",,,,,,,,,,
,City of Cedar Rapids,"129,605",379,1,33,123,222,"4,966","1,026","3,701",239
