Table 6,,,,,,,,,,,
Crime in the United States,,,,,,,,,,,
"by Metropolitan Statistical Area, 2009",,,,,,,,,,,
Metropolitan Statistical Area,Counties/principal cities,Population,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft
,"Rate per 100,000 inhabitants",,853.6,4.6,94.7,177.9,576.5,"3,672.0",564.7,"2,807.2",300.0
"Anderson, IN M.S.A.",,"131,524", ,,,,, ,,,
,Includes Madison County,,,,,,,,,,
,City of Anderson,"57,020",170,1,34,64,71,"3,085",722,"2,148",215
,Total area actually reporting,100.0%,204,1,38,78,87,"4,649","1,147","3,220",282
,"Rate per 100,000 inhabitants",,155.1,0.8,28.9,59.3,66.1,"3,534.7",872.1,"2,448.2",214.4
"Anderson, SC M.S.A.",,"185,794", ,,,,, ,,,
,Includes Anderson County,,,,,,,,,,
,City of Anderson,"27,144",205,1,8,57,139,"1,879",408,"1,361",110
,Total area actually reporting,99.5%,"1,209",9,68,184,948,"7,816","2,112","5,054",650
,Estimated total,100.0%,"1,214",9,68,185,952,"7,856","2,120","5,084",652
,"Rate per 100,000 inhabitants",,653.4,4.8,36.6,99.6,512.4,"4,228.3","1,141.0","2,736.4",350.9
"Ann Arbor, MI M.S.A.1",,"348,606", ,,,,, ,,,
,Includes Washtenaw County1,,,,,,,,,,
,City of Ann Arbor1,"114,367",270,1,29,63,177,"2,950",609,"2,216",125
,Total area actually reporting,100.0%,"1,122",6,158,223,735,"9,348","2,400","6,400",548
,"Rate per 100,000 inhabitants",,321.9,1.7,45.3,64.0,210.8,"2,681.5",688.5,"1,835.9",157.2
"Anniston-Oxford, AL M.S.A.",,"114,155",,,,,,,,,
,Includes Calhoun County,, ,,,,,,,,
,City of Anniston,"23,598",584,5,27,113,439,"4,603","2,379",966,"1,258"
,City of Oxford,"18,038",117,0,8,32,77,"1,237",215,964,58
,Total area actually reporting,100.0%,829,6,63,172,588,"5,466","1,832","3,365",269
,"Rate per 100,000 inhabitants",,726.2,5.3,55.2,150.7,515.1,"4,788.2","1,604.8","2,947.7",235.6
"Appleton, WI M.S.A.",,"221,608", ,,,,, ,,,
,Includes Calumet and Outagamie Counties,,,,,,,,,,
,City of Appleton,"70,294",165,1,21,18,125,"1,884",327,"1,521",36
,Total area actually reporting,98.7%,253,3,38,28,184,"4,377",619,"3,621",137
,Estimated total,100.0%,256,3,38,29,186,"4,447",628,"3,680",139
,"Rate per 100,000 inhabitants",,115.5,1.4,17.1,13.1,83.9,"2,006.7",283.4,"1,660.6",62.7
"Asheville, NC M.S.A.",,"413,556", ,,,,, ,,,
,"Includes Buncombe, Haywood, Henderson, and Madison Counties",,,,,,,,,,
,City of Asheville,"74,923",415,2,24,178,211,"3,701",821,"2,576",304
,Total area actually reporting,99.5%,940,11,91,260,578,"10,068","3,059","6,276",733
,Estimated total,100.0%,948,11,92,262,583,"10,164","3,081","6,346",737
,"Rate per 100,000 inhabitants",,229.2,2.7,22.2,63.4,141.0,"2,457.7",745.0,"1,534.5",178.2
"Athens-Clarke County, GA M.S.A.",,"191,096", ,,,,, ,,,
,"Includes Clarke, Madison, Oconee, and Oglethorpe Counties",,,,,,,,,,
,City of Athens-Clarke County,"114,540",472,10,42,155,265,"5,644","1,917","3,453",274
,Total area actually reporting,98.7%,720,11,53,170,486,"7,562","2,346","4,852",364
,Estimated total,100.0%,732,11,54,174,493,"7,671","2,369","4,930",372
,"Rate per 100,000 inhabitants",,383.1,5.8,28.3,91.1,258.0,"4,014.2","1,239.7","2,579.9",194.7
"Atlanta-Sandy Springs-Marietta, GA M.S.A.",,"5,494,398",,,,,,,,,
,"Includes Barrow, Bartow, Butts, Carroll, Cherokee, Clayton, Cobb, Coweta, Dawson, DeKalb, Douglas, Fayette, Forsyth, Fulton, Gwinnett, Haralson, Heard, Henry, Jasper, Lamar, Meriwether, Newton, Paulding, Pickens, Pike, Rockdale, Spalding, and Walton Counties",,,,,,,,,,
,City of Atlanta,"552,901","6,359",80,135,"2,725","3,419","34,349","9,112","19,511","5,726"
,City of Sandy Springs,"82,435",189,4,19,124,42,"2,975",848,"1,865",262
,City of Marietta,"68,037",433,2,17,194,220,"2,530",610,"1,725",195
,Total area actually reporting,99.9%,"24,131",325,"1,168","9,669","12,969","194,248","54,131","118,083","22,034"
,Estimated total,100.0%,"24,161",325,"1,170","9,678","12,988","194,529","54,190","118,285","22,054"
,"Rate per 100,000 inhabitants",,439.7,5.9,21.3,176.1,236.4,"3,540.5",986.3,"2,152.8",401.4
"Atlantic City-Hammonton, NJ M.S.A.",,"272,593", ,,,,, ,,,
,Includes Atlantic County,,,,,,,,,,
,City of Atlantic City,"39,295",825,10,32,404,379,"2,500",379,"1,987",134
,City of Hammonton ,"13,517",27,0,0,5,22,168,54,104,10
,Total area actually reporting,100.0%,"1,465",24,60,625,756,"9,298","1,776","7,148",374
,"Rate per 100,000 inhabitants",,537.4,8.8,22.0,229.3,277.3,"3,410.9",651.5,"2,622.2",137.2
"Auburn-Opelika, AL M.S.A.2",,"135,710",,,,,,,,,
,Includes Lee County,, ,,,,,,,,
,City of Auburn2,"57,342",139,3,8,43,85,,,"1,779",38
,City of Opelika2,"27,087",,3,22,83,,,389,"1,213",
,Total area actually reporting,100.0%,,9,55,148,,,,"3,929",
,"Rate per 100,000 inhabitants",,,6.6,40.5,109.1, ,,,"2,895.1",
"Augusta-Richmond County, GA-SC M.S.A.",,"537,765", ,,,,, ,,,
,"Includes Burke, Columbia, McDuffie, and Richmond Counties, GA and Aiken and Edgefield Counties, SC",,,,,,,,,,
,Total area actually reporting,99.8%,"2,227",42,212,"1,010",963,"24,936","6,679","15,855","2,402"
,Estimated total,100.0%,"2,232",42,212,"1,012",966,"24,987","6,690","15,891","2,406"
,"Rate per 100,000 inhabitants",,415.1,7.8,39.4,188.2,179.6,"4,646.5","1,244.0","2,955.0",447.4
"Austin-Round Rock-San Marcos, TX M.S.A.",,"1,705,541",,,,,,,,,
,"Includes Bastrop, Caldwell, Hays, Travis, and Williamson Counties",, ,,,,,,,,
,City of Austin,"768,970","4,024",22,265,"1,415","2,322","48,026","8,753","37,054","2,219"
,City of Round Rock,"110,531",128,1,23,32,72,"2,772",412,"2,255",105
,City of San Marcos,"55,187",182,1,3,46,132,"1,702",300,"1,317",85
,Total area actually reporting,100.0%,"6,074",41,455,"1,670","3,908","68,644","13,403","52,199","3,042"
,"Rate per 100,000 inhabitants",,356.1,2.4,26.7,97.9,229.1,"4,024.8",785.9,"3,060.6",178.4
"Bakersfield-Delano, CA M.S.A.",,"814,516", ,,,,, ,,,
,Includes Kern County,,,,,,,,,,
,City of Bakersfield,"330,897","2,099",27,49,704,"1,319","15,605","3,888","9,341","2,376"
,City of Delano,"54,801",238,2,3,46,187,"1,895",886,527,482
,Total area actually reporting,100.0%,"4,892",75,205,"1,331","3,281","31,445","9,413","17,034","4,998"
,"Rate per 100,000 inhabitants",,600.6,9.2,25.2,163.4,402.8,"3,860.6","1,155.7","2,091.3",613.6
"Baltimore-Towson, MD M.S.A.",,"2,693,099",,,,,,,,,
,"Includes Anne Arundel, Baltimore, Carroll, Harford, Howard, and Queen Anne's Counties and Baltimore City",,,,,,,,,,
,City of Baltimore,"638,755","9,664",238,158,"3,707","5,561","29,163","7,798","16,741","4,624"
,Total area actually reporting,100.0%,"19,456",298,552,"6,492","12,114","88,764","18,191","61,555","9,018"
,"Rate per 100,000 inhabitants",,722.4,11.1,20.5,241.1,449.8,"3,296.0",675.5,"2,285.7",334.9
"Bangor, ME M.S.A.",,"148,774", ,,,,, ,,,
,Includes Penobscot County,,,,,,,,,,
,City of Bangor,"31,789",65,1,10,35,19,"2,210",284,"1,884",42
,Total area actually reporting,100.0%,124,4,21,56,43,"5,027",946,"3,954",127
,"Rate per 100,000 inhabitants",,83.3,2.7,14.1,37.6,28.9,"3,379.0",635.9,"2,657.7",85.4
"Barnstable Town, MA M.S.A.",,"224,302", ,,,,, ,,,
,Includes Barnstable County,,,,,,,,,,
,City of Barnstable ,"48,042",369,2,23,52,292,"1,324",480,791,53
,Total area actually reporting,100.0%,"1,044",4,76,139,825,"7,006","2,704","4,088",214
,"Rate per 100,000 inhabitants",,465.4,1.8,33.9,62.0,367.8,"3,123.5","1,205.5","1,822.5",95.4
"Baton Rouge, LA M.S.A.",,"787,715", ,,,,, ,,,
,"Includes Ascension, East Baton Rouge, East Feliciana, Iberville, Livingston, Pointe Coupee, St. Helena, West Baton Rouge, and West Feliciana Parishes",,,,,,,,,,
,City of Baton Rouge,"223,187","2,823",75,55,"1,135","1,558","13,656","4,268","8,459",929
,Total area actually reporting,98.3%,"5,398",109,157,"1,577","3,555","33,045","8,791","22,294","1,960"
,Estimated total,100.0%,"5,493",110,160,"1,589","3,634","33,701","8,920","22,796","1,985"
,"Rate per 100,000 inhabitants",,697.3,14.0,20.3,201.7,461.3,"4,278.3","1,132.4","2,893.9",252.0
"Battle Creek, MI M.S.A.1",,"135,076", ,,,,, ,,,
,Includes Calhoun County1,,,,,,,,,,
,City of Battle Creek1,"61,139",636,8,53,137,438,"3,263","1,166","1,964",133
,Total area actually reporting,100.0%,927,14,87,169,657,"5,343","1,666","3,478",199
,"Rate per 100,000 inhabitants",,686.3,10.4,64.4,125.1,486.4,"3,955.6","1,233.4","2,574.8",147.3
"Bay City, MI M.S.A.1",,"106,777", ,,,,, ,,,
,Includes Bay County1,,,,,,,,,,
,City of Bay City1,"33,572",218,2,33,43,140,"1,067",294,733,40
,Total area actually reporting,100.0%,337,3,73,58,203,"2,595",601,"1,887",107
,"Rate per 100,000 inhabitants",,315.6,2.8,68.4,54.3,190.1,"2,430.3",562.9,"1,767.2",100.2
"Beaumont-Port Arthur, TX M.S.A.",,"377,984",,,,,,,,,
,"Includes Hardin, Jefferson, and Orange Counties",, ,,,,,,,,
,City of Beaumont,"110,237","1,002",5,73,332,592,"6,331","1,665","4,385",281
,City of Port Arthur,"55,725",433,7,31,165,230,"2,644",980,"1,471",193
,Total area actually reporting,100.0%,"2,021",19,165,639,"1,198","14,918","4,363","9,658",897
,"Rate per 100,000 inhabitants",,534.7,5.0,43.7,169.1,316.9,"3,946.7","1,154.3","2,555.1",237.3
"Bellingham, WA M.S.A.",,"201,195", ,,,,, ,,,
,Includes Whatcom County,,,,,,,,,,
,City of Bellingham,"80,243",171,2,37,48,84,"4,341",651,"3,547",143
,Total area actually reporting,100.0%,443,8,76,90,269,"6,989","1,400","5,323",266
,"Rate per 100,000 inhabitants",,220.2,4.0,37.8,44.7,133.7,"3,473.7",695.8,"2,645.7",132.2
"Bend, OR M.S.A.",,"163,637", ,,,,, ,,,
,Includes Deschutes County,,,,,,,,,,
,City of Bend,"80,550",150,0,14,19,117,"2,036",316,"1,642",78
,Total area actually reporting,100.0%,346,2,38,32,274,"4,089",770,"3,149",170
,"Rate per 100,000 inhabitants",,211.4,1.2,23.2,19.6,167.4,"2,498.8",470.6,"1,924.4",103.9
"Billings, MT M.S.A.",,"153,443", ,,,,, ,,,
,Includes Carbon and Yellowstone Counties, ,,,,,,,,,
,City of Billings,"105,427",259,2,28,71,158,"4,597",752,"3,592",253
,Total area actually reporting,100.0%,355,3,34,76,242,"5,662",956,"4,387",319
,"Rate per 100,000 inhabitants",,231.4,2.0,22.2,49.5,157.7,"3,690.0",623.0,"2,859.0",207.9
"Binghamton, NY M.S.A.",,"244,367", ,,,,, ,,,
,Includes Broome and Tioga Counties,,,,,,,,,,
,City of Binghamton,"44,455",215,14,11,56,134,"2,074",286,"1,744",44
,Total area actually reporting,100.0%,481,17,46,93,325,"6,166",944,"5,100",122
,"Rate per 100,000 inhabitants",,196.8,7.0,18.8,38.1,133.0,"2,523.3",386.3,"2,087.0",49.9
"Birmingham-Hoover, AL M.S.A.",,"1,130,745",,,,,,,,,
,"Includes Bibb, Blount, Chilton, Jefferson, St. Clair, Shelby, and Walker Counties",,,,,,,,,,
,City of Birmingham,"227,373","2,812",65,198,"1,150","1,399","18,159","5,019","11,546","1,594"
,City of Hoover,"71,919",88,2,9,44,33,"2,288",439,"1,762",87
,Total area actually reporting,97.7%,"5,922",103,427,"2,144","3,248","50,124","13,657","33,003","3,464"
,Estimated total,100.0%,"6,045",105,433,"2,186","3,321","51,286","13,947","33,805","3,534"
,"Rate per 100,000 inhabitants",,534.6,9.3,38.3,193.3,293.7,"4,535.6","1,233.4","2,989.6",312.5
"Bismarck, ND M.S.A.",,"106,952", ,,,,, ,,,
,Includes Burleigh and Morton Counties,,,,,,,,,,
,City of Bismarck,"60,923",157,2,17,12,126,"1,583",204,"1,277",102
,Total area actually reporting,100.0%,221,3,36,13,169,"2,239",308,"1,771",160
,"Rate per 100,000 inhabitants",,206.6,2.8,33.7,12.2,158.0,"2,093.5",288.0,"1,655.9",149.6
"Blacksburg-Christiansburg-Radford, VA M.S.A.",,"159,705",,,,,,,,,
,"Includes Giles, Montgomery, and Pulaski Counties and Radford City",,,,,,,,,,
,City of Blacksburg,"42,047",50,0,15,11,24,700,165,507,28
,City of Christiansburg,"19,755",35,2,9,7,17,722,107,600,15
,City of Radford,"16,216",80,1,15,8,56,514,167,335,12
,Total area actually reporting,100.0%,319,8,65,53,193,"4,142",901,"3,114",127
,"Rate per 100,000 inhabitants",,199.7,5.0,40.7,33.2,120.8,"2,593.5",564.2,"1,949.8",79.5
"Bloomington, IN M.S.A.",,"185,191", ,,,,, ,,,
,"Includes Greene, Monroe, and Owen Counties",,,,,,,,,,
,City of Bloomington,"71,845",366,3,44,74,245,"3,215",883,"2,185",147
,Total area actually reporting,83.5%,472,3,54,85,330,"4,804","1,386","3,163",255
,Estimated total,100.0%,512,3,58,93,358,"5,383","1,511","3,582",290
,"Rate per 100,000 inhabitants",,276.5,1.6,31.3,50.2,193.3,"2,906.7",815.9,"1,934.2",156.6
"Boise City-Nampa, ID M.S.A.",,"614,020",,,,,,,,,
,"Includes Ada, Boise, Canyon, Gem, and Owyhee Counties",, ,,,,,,,,
,City of Boise ,"206,437",538,7,70,62,399,"5,757","1,046","4,537",174
,City of Nampa,"83,875",274,0,39,21,214,"1,996",470,"1,423",103
,Total area actually reporting,98.8%,"1,427",10,213,126,"1,078","12,113","2,618","9,005",490
,Estimated total,100.0%,"1,440",10,215,127,"1,088","12,208","2,645","9,068",495
,"Rate per 100,000 inhabitants",,234.5,1.6,35.0,20.7,177.2,"1,988.2",430.8,"1,476.8",80.6
"Boston-Cambridge-Quincy, MA-NH M.S.A.",,"4,586,485",,,,,,,,,
,"Includes the Metropolitan Divisions of Boston-Quincy, MA; Cambridge-Newton-Framingham, MA; and Peabody, MA and Rockingham County-Strafford County, NH",,,,,,,,,,
,"City of Boston, MA","624,222","6,192",50,269,"2,277","3,596","20,749","2,955","15,507","2,287"
,"City of Cambridge, MA","102,866",497,2,21,179,295,"3,149",434,"2,524",191
,"City of Quincy, MA","96,580",384,5,20,96,263,"1,759",478,"1,145",136
,"City of Newton, MA","84,427",94,1,9,18,66,971,187,753,31
,"City of Framingham, MA","65,478",204,2,8,33,161,"1,443",253,"1,058",132
,"City of Waltham, MA","61,357",115,0,8,24,83,878,166,653,59
,"City of Peabody, MA","52,483",124,0,6,27,91,"1,337",161,"1,087",89
,Total area actually reporting,98.6%,"18,250",111,983,"5,094","12,062","97,494","19,006","70,699","7,789"
,Estimated total,100.0%,"18,357",111,996,"5,113","12,137","98,609","19,216","71,548","7,845"
,"Rate per 100,000 inhabitants",,400.2,2.4,21.7,111.5,264.6,"2,150.0",419.0,"1,560.0",171.0
"Boston-Quincy, MA M.D.",,"1,912,393",,,,,,,,,
,"Includes Norfolk, Plymouth, and Suffolk Counties",,,,,,,,,,
,Total area actually reporting,99.1%,"11,015",75,534,"3,522","6,884","45,722","8,402","33,260","4,060"
,Estimated total,100.0%,"11,068",75,538,"3,532","6,923","46,053","8,482","33,489","4,082"
,"Rate per 100,000 inhabitants",,578.8,3.9,28.1,184.7,362.0,"2,408.1",443.5,"1,751.2",213.4
"Cambridge-Newton-Framingham, MA M.D.",,"1,504,293",,,,,,,,,
,Includes Middlesex County,,,,,,,,,,
,Total area actually reporting,99.8%,"4,210",18,228,943,"3,021","28,247","5,887","20,384","1,976"
,Estimated total,100.0%,"4,221",18,229,945,"3,029","28,315","5,903","20,431","1,981"
,"Rate per 100,000 inhabitants",,280.6,1.2,15.2,62.8,201.4,"1,882.3",392.4,"1,358.2",131.7
"Peabody, MA M.D.",,"747,294",,,,,,,,,
,Includes Essex County,,,,,,,,,,
,Total area actually reporting,100.0%,"2,572",15,134,549,"1,874","16,109","3,550","11,111","1,448"
,"Rate per 100,000 inhabitants",,344.2,2.0,17.9,73.5,250.8,"2,155.6",475.0,"1,486.8",193.8
"Rockingham County-Strafford County, NH M.D.",,"422,505",,,,,,,,,
,Includes Rockingham and Strafford Counties,,,,,,,,,,
,Total area actually reporting,89.2%,453,3,87,80,283,"7,416","1,167","5,944",305
,Estimated total,100.0%,496,3,95,87,311,"8,132","1,281","6,517",334
,"Rate per 100,000 inhabitants",,117.4,0.7,22.5,20.6,73.6,"1,924.7",303.2,"1,542.5",79.1
"Boulder, CO M.S.A.",,"296,153", ,,,,, ,,,
,Includes Boulder County,,,,,,,,,,
,City of Boulder,"100,035",245,5,32,51,157,"2,776",564,"2,093",119
,Total area actually reporting,100.0%,719,7,67,117,528,"7,134","1,367","5,447",320
,"Rate per 100,000 inhabitants",,242.8,2.4,22.6,39.5,178.3,"2,408.9",461.6,"1,839.3",108.1
"Bowling Green, KY M.S.A.1",,"119,746", ,,,,, ,,,
,Includes Edmonson and Warren Counties1,,,,,,,,,,
,City of Bowling Green1,"55,754",230,3,51,72,104,"3,088",543,"2,400",145
,Total area actually reporting,99.3%,259,3,58,72,126,"3,894",842,"2,870",182
,Estimated total,100.0%,261,3,58,73,127,"3,922",848,"2,891",183
,"Rate per 100,000 inhabitants",,218.0,2.5,48.4,61.0,106.1,"3,275.3",708.2,"2,414.3",152.8
"Bremerton-Silverdale, WA M.S.A.",,"242,027",,,,,,,,,
,Includes Kitsap County,, ,,,,,,,,
,City of Bremerton,"35,888",250,0,46,46,158,"1,696",362,"1,222",112
,Total area actually reporting,100.0%,"1,069",4,169,107,789,"6,156","1,499","4,309",348
,"Rate per 100,000 inhabitants",,441.7,1.7,69.8,44.2,326.0,"2,543.5",619.4,"1,780.4",143.8
"Bridgeport-Stamford-Norwalk, CT M.S.A.",,"878,051",,,,,,,,,
,Includes Fairfield County,,,,,,,,,,
,City of Bridgeport,"136,049","1,527",12,58,680,777,"5,615","1,276","3,375",964
,City of Stamford,"119,507",353,2,31,151,169,"2,143",370,"1,600",173
,City of Norwalk,"83,198",425,1,10,157,257,"1,786",314,"1,269",203
,City of Danbury,"79,729",130,2,25,50,53,"1,536",219,"1,219",98
,City of Stratford,"48,726",162,0,11,74,77,"1,425",215,"1,057",153
,Total area actually reporting,100.0%,"2,792",18,154,"1,181","1,439","17,241","3,217","12,144","1,880"
,"Rate per 100,000 inhabitants",,318.0,2.0,17.5,134.5,163.9,"1,963.6",366.4,"1,383.1",214.1
"Brownsville-Harlingen, TX M.S.A.",,"399,958",,,,,,,,,
,Includes Cameron County,, ,,,,,,,,
,City of Brownsville,"179,491",454,4,26,152,272,"9,778","1,576","7,865",337
,City of Harlingen,"65,552",300,1,32,70,197,"4,433",799,"3,435",199
,Total area actually reporting,100.0%,"1,337",8,95,297,937,"19,074","3,736","14,544",794
,"Rate per 100,000 inhabitants",,334.3,2.0,23.8,74.3,234.3,"4,769.0",934.1,"3,636.4",198.5
"Brunswick, GA M.S.A.",,"103,525", ,,,,, ,,,
,"Includes Brantley, Glynn, and McIntosh Counties",,,,,,,,,,
,City of Brunswick,"16,348",349,2,10,71,266,"1,414",375,968,71
,Total area actually reporting,97.3%,774,16,37,149,572,"4,759","1,291","3,257",211
,Estimated total,100.0%,801,16,37,152,596,"4,819","1,318","3,290",211
,"Rate per 100,000 inhabitants",,773.7,15.5,35.7,146.8,575.7,"4,654.9","1,273.1","3,178.0",203.8
"Buffalo-Niagara Falls, NY M.S.A.",,"1,119,104",,,,,,,,,
,Includes Erie and Niagara Counties,,,,,,,,,,
,City of Buffalo,"268,655","3,920",60,141,"1,636","2,083","14,481","3,954","8,947","1,580"
,City of Cheektowaga Town,"77,772",210,0,15,81,114,"2,570",334,"2,134",102
,City of Tonawanda,"14,683",37,0,4,9,24,400,53,336,11
,City of Niagara Falls,"50,909",609,6,28,166,409,"2,810",805,"1,877",128
,Total area actually reporting,100.0%,"5,759",75,260,"2,155","3,269","33,998","7,608","24,108","2,282"
,"Rate per 100,000 inhabitants",,514.6,6.7,23.2,192.6,292.1,"3,038.0",679.8,"2,154.2",203.9
"Burlington, NC M.S.A.",,"150,252", ,,,,, ,,,
,Includes Alamance County,,,,,,,,,,
,City of Burlington,"51,440",401,1,26,115,259,"3,364",794,"2,425",145
,Total area actually reporting,98.7%,670,4,48,161,457,"5,712","1,600","3,841",271
,Estimated total,100.0%,677,4,48,163,462,"5,802","1,621","3,906",275
,"Rate per 100,000 inhabitants",,450.6,2.7,31.9,108.5,307.5,"3,861.5","1,078.9","2,599.6",183.0
"Burlington-South Burlington, VT M.S.A.",,"209,200",,,,,,,,,
,"Includes Chittenden, Franklin, and Grand Isle Counties",, ,,,,,,,,
,City of Burlington,"38,794",118,0,12,14,92,"1,760",235,"1,493",32
,City of South Burlington,"17,893",28,0,7,1,20,612,59,541,12
,Total area actually reporting,100.0%,332,1,58,39,234,"6,417","1,148","5,102",167
,"Rate per 100,000 inhabitants",,158.7,0.5,27.7,18.6,111.9,"3,067.4",548.8,"2,438.8",79.8
"Cape Coral-Fort Myers, FL M.S.A.",,"607,216",,,,,,,,,
,Includes Lee County,, ,,,,,,,,
,City of Cape Coral,"164,344",332,3,16,92,221,"4,233","1,267","2,792",174
,City of Fort Myers,"67,031",819,17,23,226,553,"2,831",710,"1,821",300
,Total area actually reporting,100.0%,"2,561",40,121,725,"1,675","17,940","5,858","10,844","1,238"
,"Rate per 100,000 inhabitants",,421.8,6.6,19.9,119.4,275.8,"2,954.5",964.7,"1,785.9",203.9
"Cape Girardeau-Jackson, MO-IL M.S.A.",,"93,713",,,,,,,,,
,"Includes Alexander County, IL and Bollinger and Cape Girardeau Counties, MO",, ,,,,,,,,
