Table 4,,,,,,,,,,,
Crime in the United States,,,,,,,,,,,
"by Metropolitan Statistical Area, 2016",,,,,,,,,,,
Metropolitan Statistical Area,Counties/principal cities,Population,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft"
,"Rate per 100,000 inhabitants",,289.7,2.0,38.9,68.7,180.0,"2,009.5",281.5,"1,646.0",82.0
"Albuquerque, NM M.S.A.",,"907,140", ,,,,, ,,,
,"Includes Bernalillo, Sandoval, Torrance, and Valencia Counties",,,,,,,,,,
,City of Albuquerque,"561,560"," 6,245 ", 61 , 381 ," 1,957 "," 3,846 "," 38,528 "," 6,236 "," 24,582 "," 7,710 "
,Total area actually reporting,100.0%," 8,173 ", 75 , 520 ," 2,165 "," 5,413 "," 47,976 "," 8,628 "," 30,113 "," 9,235 "
,"Rate per 100,000 inhabitants",,901.0,8.3,57.3,238.7,596.7,"5,288.7",951.1,"3,319.6","1,018.0"
"Alexandria, LA M.S.A.",,"154,032", ,,,,, ,,,
,Includes Grant and Rapides Parishes,,,,,,,,,,
,City of Alexandria,"47,936", 883 , 11 , 25 , 154 , 693 ," 4,091 "," 1,057 "," 2,765 ", 269 
,Total area actually reporting,98.8%," 1,414 ", 12 , 76 , 179 ," 1,147 "," 7,168 "," 1,946 "," 4,740 ", 482 
,Estimated total,100.0%," 1,422 ", 12 , 77 , 180 ," 1,153 "," 7,236 "," 1,958 "," 4,793 ", 485 
,"Rate per 100,000 inhabitants",,923.2,7.8,50.0,116.9,748.5,"4,697.7","1,271.2","3,111.7",314.9
"Allentown-Bethlehem-Easton, PA-NJ M.S.A.3, 4",,"831,770",,,,,,,,,
,"Includes Warren County, NJ and Carbon, Lehigh, and Northampton Counties, PA",,,,,,,,,,
,"City of Allentown, PA","120,615", 552 , 10 , 55 , 274 , 213 ," 3,337 ", 668 ," 2,387 ", 282 
,"City of Bethlehem, PA3","74,869",, 4 , 21 , 58 ,," 1,487 ", 213 ," 1,226 ", 48 
,Total area actually reporting,99.6%,, 22 , 160 , 483 ,,," 2,195 ",, 739 
,Estimated total,100.0%,, 22 , 161 , 485 ,,," 2,202 ",, 741 
,"Rate per 100,000 inhabitants",,,2.6,19.4,58.3,,,264.7,,89.1
"Altoona, PA M.S.A.",,"124,942", ,,,,, ,,,
,Includes Blair County,,,,,,,,,,
,City of Altoona,"45,158", 156 , 1 , 23 , 37 , 95 , 821 , 169 , 619 , 33 
,Total area actually reporting,100.0%, 266 , 1 , 40 , 46 , 179 ," 1,698 ", 238 ," 1,405 ", 55 
,"Rate per 100,000 inhabitants",,212.9,0.8,32.0,36.8,143.3,"1,359.0",190.5,"1,124.5",44.0
"Amarillo, TX M.S.A.2",,"263,223", ,,,,, ,,,
,"Includes Armstrong, Carson, Oldham, Potter, and Randall Counties",,,,,,,,,,
,City of Amarillo,"200,141"," 1,414 ", 11 , 162 , 260 , 981 ," 9,472 "," 1,797 "," 6,756 ", 919 
,Total area actually reporting,100.0%," 1,560 ", 14 , 188 , 269 ," 1,089 "," 10,352 "," 2,004 "," 7,321 "," 1,027 "
,"Rate per 100,000 inhabitants",,592.7,5.3,71.4,102.2,413.7,"3,932.8",761.3,"2,781.3",390.2
"Ames, IA M.S.A.",,"97,202", ,,,,, ,,,
,Includes Story County,,,,,,,,,,
,City of Ames,"66,333", 107 , 1 , 39 , 15 , 52 ," 1,077 ", 164 , 867 , 46 
,Total area actually reporting,93.0%, 141 , 1 , 51 , 16 , 73 ," 1,517 ", 235 ," 1,203 ", 79 
,Estimated total,100.0%, 158 , 1 , 54 , 17 , 86 ," 1,640 ", 262 ," 1,293 ", 85 
,"Rate per 100,000 inhabitants",,162.5,1.0,55.6,17.5,88.5,"1,687.2",269.5,"1,330.2",87.4
"Anchorage, AK M.S.A.",,"315,641", ,,,,, ,,,
,Includes Anchorage Municipality and Matanuska-Susitna Borough,,,,,,,,,,
,City of Anchorage,"299,097"," 3,422 ", 28 , 542 , 695 ," 2,157 "," 14,649 "," 2,008 "," 10,599 "," 2,042 "
,Total area actually reporting,100.0%," 3,519 ", 28 , 548 , 709 ," 2,234 "," 15,626 "," 2,070 "," 11,413 "," 2,143 "
,"Rate per 100,000 inhabitants",,"1,114.9",8.9,173.6,224.6,707.8,"4,950.6",655.8,"3,615.8",678.9
"Ann Arbor, MI M.S.A.",,"361,440", ,,,,, ,,,
,Includes Washtenaw County,,,,,,,,,,
,City of Ann Arbor,"117,688", 213 , 1 , 44 , 43 , 125 ," 2,051 ", 242 ," 1,697 ", 112 
,Total area actually reporting,100.0%," 1,147 ", 2 , 190 , 186 , 769 ," 5,956 ", 921 ," 4,597 ", 438 
,"Rate per 100,000 inhabitants",,317.3,0.6,52.6,51.5,212.8,"1,647.9",254.8,"1,271.9",121.2
"Anniston-Oxford-Jacksonville, AL M.S.A.",,"114,790",,,,,,,,,
,Includes Calhoun County,, ,,,,,,,,
,City of Anniston,"22,205", 735 , 7 , 39 , 87 , 602 ," 1,712 ", 712 , 888 , 112 
,City of Oxford,"17,066", 63 , 0 , 0 , 7 , 56 , 763 , 127 , 615 , 21 
,City of Jacksonville,"12,150", 123 , 0 , 6 , 16 , 101 , 501 , 140 , 335 , 26 
,Total area actually reporting,99.3%," 1,023 ", 8 , 59 , 123 , 833 ," 3,743 "," 1,263 "," 2,298 ", 182 
,Estimated total,100.0%," 1,027 ", 8 , 59 , 124 , 836 ," 3,768 "," 1,268 "," 2,316 ", 184 
,"Rate per 100,000 inhabitants",,894.7,7.0,51.4,108.0,728.3,"3,282.5","1,104.6","2,017.6",160.3
"Appleton, WI M.S.A.",,"234,069", ,,,,, ,,,
,Includes Calumet and Outagamie Counties,,,,,,,,,,
,City of Appleton,"74,439", 208 , 2 , 30 , 20 , 156 ," 1,294 ", 175 ," 1,080 ", 39 
,Total area actually reporting,100.0%, 354 , 4 , 60 , 31 , 259 ," 3,110 ", 404 ," 2,605 ", 101 
,"Rate per 100,000 inhabitants",,151.2,1.7,25.6,13.2,110.7,"1,328.7",172.6,"1,112.9",43.1
"Asheville, NC M.S.A.3",,"451,305", ,,,,, ,,,
,"Includes Buncombe, Haywood, Henderson, and Madison Counties",,,,,,,,,,
,City of Asheville,"89,546", 537 , 10 , 48 , 144 , 335 ," 4,357 ", 752 ," 3,345 ", 260 
,Total area actually reporting,99.5%," 1,079 ", 23 , 98 , 245 , 713 ,,," 6,866 ", 722 
,Estimated total,100.0%," 1,085 ", 23 , 98 , 247 , 717 ,,," 6,918 ", 725 
,"Rate per 100,000 inhabitants",,240.4,5.1,21.7,54.7,158.9,,,"1,532.9",160.6
"Athens-Clarke County, GA M.S.A.",,"205,004", ,,,,, ,,,
,"Includes Clarke, Madison, Oconee, and Oglethorpe Counties",,,,,,,,,,
,City of Athens-Clarke County,"123,934", 533 , 4 , 53 , 163 , 313 ," 4,100 ", 822 ," 3,054 ", 224 
,Total area actually reporting,100.0%, 700 , 6 , 78 , 176 , 440 ," 5,757 "," 1,145 "," 4,301 ", 311 
,"Rate per 100,000 inhabitants",,341.5,2.9,38.0,85.9,214.6,"2,808.2",558.5,"2,098.0",151.7
"Atlanta-Sandy Springs-Roswell, GA M.S.A.",,"5,790,619",,,,,,,,,
,"Includes Barrow, Bartow, Butts, Carroll, Cherokee, Clayton, Cobb, Coweta, Dawson, DeKalb, Douglas, Fayette, Forsyth, Fulton, Gwinnett, Haralson, Heard, Henry, Jasper, Lamar, Meriwether, Morgan, Newton, Paulding, Pickens, Pike, Rockdale, Spalding, and Walton Counties",,,,,,,,,,
,City of Atlanta,"472,579"," 5,121 ", 111 , 136 ," 2,070 "," 2,804 "," 24,804 "," 4,411 "," 16,400 "," 3,993 "
,City of Sandy Springs,"107,685", 117 , 3 , 14 , 66 , 34 ," 2,837 ", 532 ," 2,091 ", 214 
,City of Roswell,"95,684", 143 , 2 , 23 , 42 , 76 ," 1,702 ", 228 ," 1,391 ", 83 
,City of Alpharetta,"64,943", 35 , 1 , 5 , 20 , 9 ," 1,308 ", 135 ," 1,129 ", 44 
,City of Marietta,"59,516", 233 , 1 , 12 , 117 , 103 ," 2,282 ", 307 ," 1,825 ", 150 
,Total area actually reporting,99.7%," 23,275 ", 395 ," 1,385 "," 8,324 "," 13,171 "," 173,043 "," 33,252 "," 121,238 "," 18,553 "
,Estimated total,100.0%," 23,345 ", 396 ," 1,390 "," 8,346 "," 13,213 "," 173,620 "," 33,364 "," 121,651 "," 18,605 "
,"Rate per 100,000 inhabitants",,403.2,6.8,24.0,144.1,228.2,"2,998.3",576.2,"2,100.8",321.3
"Auburn-Opelika, AL M.S.A",,"160,071",,,,,,,,,
,Includes Lee County,,,,,,,,,,
,City of Auburn,"63,871", 210 , 4 , 12 , 31 , 163 ," 1,125 ", 203 , 844 , 78 
,City of Opelika,"30,180", 221 , 7 , 18 , 35 , 161 ," 1,476 ", 233 ," 1,158 ", 85 
,Total area actually reporting,100.0%, 916 , 22 , 56 , 94 , 744 ," 4,137 ", 885 ," 2,959 ", 293 
,"Rate per 100,000 inhabitants",,572.2,13.7,35.0,58.7,464.8,"2,584.5",552.9,"1,848.6",183.0
"Augusta-Richmond County, GA-SC M.S.A.",,"595,180", ,,,,, ,,,
,"Includes Burke, Columbia, Lincoln, McDuffie, and Richmond Counties, GA and Aiken and Edgefield Counties, SC",,,,,,,,,,
,Total area actually reporting,99.9%," 2,039 ", 44 , 214 , 503 ," 1,278 "," 18,754 "," 3,644 "," 13,931 "," 1,179 "
,Estimated total,100.0%," 2,040 ", 44 , 214 , 503 ," 1,279 "," 18,761 "," 3,645 "," 13,937 "," 1,179 "
,"Rate per 100,000 inhabitants",,342.8,7.4,36.0,84.5,214.9,"3,152.2",612.4,"2,341.6",198.1
"Austin-Round Rock, TX M.S.A.",,"2,054,651",,,,,,,,,
,"Includes Bastrop, Caldwell, Hays, Travis, and Williamson Counties",, ,,,,,,,,
,City of Austin,"956,911"," 3,903 ", 39 , 751 ," 1,048 "," 2,065 "," 33,545 "," 5,232 "," 26,125 "," 2,188 "
,City of Round Rock,"119,308", 173 , 0 , 31 , 44 , 98 ," 2,653 ", 303 ," 2,270 ", 80 
,Total area actually reporting,99.9%," 6,510 ", 70 ," 1,180 "," 1,411 "," 3,849 "," 52,484 "," 8,665 "," 40,428 "," 3,391 "
,Estimated total,100.0%," 6,511 ", 70 ," 1,180 "," 1,411 "," 3,850 "," 52,501 "," 8,668 "," 40,441 "," 3,392 "
,"Rate per 100,000 inhabitants",,316.9,3.4,57.4,68.7,187.4,"2,555.2",421.9,"1,968.3",165.1
"Bakersfield, CA M.S.A.",,"884,443", ,,,,, ,,,
,Includes Kern County,,,,,,,,,,
,City of Bakersfield,"378,788"," 1,821 ", 32 , 67 , 614 ," 1,108 "," 17,138 "," 3,887 "," 10,203 "," 3,048 "
,Total area actually reporting,100.0%," 5,128 ", 88 , 307 ," 1,166 "," 3,567 "," 32,570 "," 8,351 "," 17,742 "," 6,477 "
,"Rate per 100,000 inhabitants",,579.8,9.9,34.7,131.8,403.3,"3,682.5",944.2,"2,006.0",732.3
"Baltimore-Columbia-Towson, MD M.S.A.",,"2,797,991",,,,,,,,,
,"Includes Anne Arundel, Baltimore, Carroll, Harford, Howard, and Queen Anne's Counties and Baltimore City",,,,,,,,,,
,City of Baltimore,"618,385"," 11,010 ", 318 , 299 ," 5,236 "," 5,157 "," 29,547 "," 7,375 "," 16,855 "," 5,317 "
,Total area actually reporting,100.0%," 19,873 ", 395 , 909 ," 7,743 "," 10,826 "," 78,076 "," 14,986 "," 54,549 "," 8,541 "
,"Rate per 100,000 inhabitants",,710.3,14.1,32.5,276.7,386.9,"2,790.4",535.6,"1,949.6",305.3
"Bangor, ME M.S.A.",,"152,658", ,,,,, ,,,
,Includes Penobscot County,,,,,,,,,,
,City of Bangor,"32,264", 75 , 0 , 15 , 30 , 30 ," 1,340 ", 180 ," 1,123 ", 37 
,Total area actually reporting,100.0%, 146 , 0 , 43 , 41 , 62 ," 2,964 ", 584 ," 2,296 ", 84 
,"Rate per 100,000 inhabitants",,95.6,0.0,28.2,26.9,40.6,"1,941.6",382.6,"1,504.0",55.0
"Barnstable Town, MA M.S.A.4",,"213,081", ,,,,, ,,,
,Includes Barnstable County,,,,,,,,,,
,City of Barnstable ,"43,974", 199 , 1 , 16 , 15 , 167 , 711 , 133 , 558 , 20 
,Total area actually reporting,100.0%,, 1 , 73 , 35 ,," 3,329 ", 850 ," 2,346 ", 133 
,"Rate per 100,000 inhabitants",,,0.5,34.3,16.4,,"1,562.3",398.9,"1,101.0",62.4
"Baton Rouge, LA M.S.A.",,"833,146", ,,,,, ,,,
,"Includes Ascension, East Baton Rouge, East Feliciana, Iberville, Livingston, Pointe Coupee, St. Helena, West Baton Rouge, and West Feliciana Parishes",,,,,,,,,,
,City of Baton Rouge,"228,389"," 2,143 ", 47 , 123 , 824 ," 1,149 "," 9,934 "," 2,364 "," 6,907 ", 663 
,Total area actually reporting,99.7%," 4,198 ", 79 , 278 ," 1,166 "," 2,675 "," 28,229 "," 5,994 "," 20,831 "," 1,404 "
,Estimated total,100.0%," 4,207 ", 79 , 279 ," 1,167 "," 2,682 "," 28,310 "," 6,008 "," 20,894 "," 1,408 "
,"Rate per 100,000 inhabitants",,505.0,9.5,33.5,140.1,321.9,"3,398.0",721.1,"2,507.8",169.0
"Battle Creek, MI M.S.A",,"133,914", ,,,,, ,,,
,Includes Calhoun County,,,,,,,,,,
,City of Battle Creek,"60,904", 594 , 3 , 83 , 64 , 444 ," 2,325 ", 607 ," 1,629 ", 89 
,Total area actually reporting,100.0%," 1,000 ", 7 , 178 , 89 , 726 ," 4,205 "," 1,065 "," 2,979 ", 161 
,"Rate per 100,000 inhabitants",,746.7,5.2,132.9,66.5,542.1,"3,140.1",795.3,"2,224.6",120.2
"Bay City, MI M.S.A.",,"105,209", ,,,,, ,,,
,Includes Bay County,,,,,,,,,,
,City of Bay City,"33,725", 205 , 1 , 50 , 25 , 129 , 925 , 291 , 600 , 34 
,Total area actually reporting,100.0%, 389 , 3 , 109 , 32 , 245 ," 1,950 ", 505 ," 1,358 ", 87 
,"Rate per 100,000 inhabitants",,369.7,2.9,103.6,30.4,232.9,"1,853.5",480.0,"1,290.8",82.7
"Beaumont-Port Arthur, TX M.S.A.2",,"408,167",,,,,,,,,
,"Includes Hardin, Jefferson, Newton, and Orange Counties",, ,,,,,,,,
,City of Beaumont,"118,283"," 1,316 ", 14 , 86 , 379 , 837 ," 5,065 "," 1,460 "," 3,299 ", 306 
,City of Port Arthur,"55,510", 362 , 5 , 18 , 105 , 234 ," 1,829 ", 580 ," 1,123 ", 126 
,Total area actually reporting,97.1%," 2,308 ", 27 , 167 , 573 ," 1,541 "," 10,979 "," 3,034 "," 7,111 ", 834 
,Estimated total,100.0%," 2,342 ", 27 , 171 , 581 ," 1,563 "," 11,185 "," 3,083 "," 7,246 ", 856 
,"Rate per 100,000 inhabitants",,573.8,6.6,41.9,142.3,382.9,"2,740.3",755.3,"1,775.3",209.7
"Beckley, WV M.S.A",,"121,287", ,,,,, ,,,
,Includes Fayette and Raleigh Counties,,,,,,,,,,
,City of Beckley,"16,940", 214 , 3 , 14 , 38 , 159 ," 1,278 ", 246 , 984 , 48 
,Total area actually reporting,95.7%, 491 , 12 , 34 , 57 , 388 ," 3,144 ", 836 ," 2,161 ", 147 
,Estimated total,100.0%, 506 , 12 , 36 , 59 , 399 ," 3,323 ", 865 ," 2,301 ", 157 
,"Rate per 100,000 inhabitants",,417.2,9.9,29.7,48.6,329.0,"2,739.8",713.2,"1,897.2",129.4
"Bellingham, WA M.S.A",,"215,331", ,,,,, ,,,
,Includes Whatcom County,,,,,,,,,,
,City of Bellingham,"86,005", 224 , 0 , 61 , 47 , 116 ," 4,743 ", 751 ," 3,709 ", 283 
,Total area actually reporting,100.0%, 483 , 4 , 124 , 69 , 286 ," 6,997 "," 1,388 "," 5,182 ", 427 
,"Rate per 100,000 inhabitants",,224.3,1.9,57.6,32.0,132.8,"3,249.4",644.6,"2,406.5",198.3
"Bend-Redmond, OR M.S.A.",,"180,071", ,,,,, ,,,
,Includes Deschutes County,,,,,,,,,,
,City of Bend,"89,244", 96 , 0 , 17 , 20 , 59 ," 2,010 ", 178 ," 1,740 ", 92 
,City of Redmond,"29,164", 80 , 1 , 13 , 9 , 57 , 973 , 84 , 801 , 88 
,Total area actually reporting,100.0%, 273 , 2 , 47 , 30 , 194 ," 3,909 ", 438 ," 3,229 ", 242 
,"Rate per 100,000 inhabitants",,151.6,1.1,26.1,16.7,107.7,"2,170.8",243.2,"1,793.2",134.4
"Billings, MT M.S.A.",,"170,245", ,,,,, ,,,
,"Includes Carbon, Golden Valley, and Yellowstone Counties",,,,,,,,,,
,City of Billings,"111,447", 514 , 0 , 61 , 81 , 372 ," 5,216 ", 723 ," 3,698 ", 795 
,Total area actually reporting,99.7%, 641 , 3 , 79 , 92 , 467 ," 6,141 ", 912 ," 4,316 ", 913 
,Estimated total,100.0%, 642 , 3 , 79 , 92 , 468 ," 6,156 ", 913 ," 4,329 ", 914 
,"Rate per 100,000 inhabitants",,377.1,1.8,46.4,54.0,274.9,"3,616.0",536.3,"2,542.8",536.9
"Binghamton, NY M.S.A.",,"243,328", ,,,,, ,,,
,Includes Broome and Tioga Counties,,,,,,,,,,
,City of Binghamton,"45,780", 353 , 4 , 41 , 93 , 215 ," 1,844 ", 436 ," 1,306 ", 102 
,Total area actually reporting,99.7%, 703 , 6 , 153 , 146 , 398 ," 5,165 "," 1,066 "," 3,890 ", 209 
,Estimated total,100.0%, 704 , 6 , 153 , 146 , 399 ," 5,177 "," 1,068 "," 3,900 ", 209 
,"Rate per 100,000 inhabitants",,289.3,2.5,62.9,60.0,164.0,"2,127.6",438.9,"1,602.8",85.9
"Bismarck, ND M.S.A.",,"129,489", ,,,,, ,,,
,"Includes Burleigh, Morton, Oliver, and Sioux Counties",,,,,,,,,,
,City of Bismarck,"73,248", 212 , 2 , 35 , 29 , 146 ," 2,472 ", 468 ," 1,715 ", 289 
,Total area actually reporting,100.0%, 380 , 3 , 62 , 34 , 281 ," 3,676 ", 704 ," 2,523 ", 449 
,"Rate per 100,000 inhabitants",,293.5,2.3,47.9,26.3,217.0,"2,838.9",543.7,"1,948.4",346.7
"Blacksburg-Christiansburg-Radford, VA M.S.A.",,"181,407",,,,,,,,,
,"Includes Floyd, Giles, Montgomery, and Pulaski Counties and Radford City",,,,,,,,,,
,City of Blacksburg,"44,528", 43 , 0 , 19 , 3 , 21 , 409 , 62 , 333 , 14 
,City of Christiansburg,"22,134", 35 , 0 , 12 , 3 , 20 , 575 , 62 , 505 , 8 
,City of Radford,"17,504", 83 , 1 , 22 , 8 , 52 , 316 , 60 , 244 , 12 
,Total area actually reporting,100.0%, 359 , 5 , 115 , 27 , 212 ," 3,051 ", 470 ," 2,474 ", 107 
,"Rate per 100,000 inhabitants",,197.9,2.8,63.4,14.9,116.9,"1,681.9",259.1,"1,363.8",59.0
"Bloomington, IL M.S.A.",,"189,092",,,,,,,,,
,Includes DeWitt and McLean Counties,, ,,,,,,,,
,City of Bloomington,"78,604", 307 , 0 , 42 , 59 , 206 ," 1,347 ", 224 ," 1,064 ", 59 
,Total area actually reporting,94.7%, 503 , 3 , 89 , 91 , 320 ," 2,720 ", 464 ," 2,163 ", 93 
,Estimated total,100.0%, 524 , 3 , 92 , 97 , 332 ," 2,890 ", 491 ," 2,297 ", 102 
,"Rate per 100,000 inhabitants",,277.1,1.6,48.7,51.3,175.6,"1,528.4",259.7,"1,214.8",53.9
"Bloomington, IN M.S.A.",,"166,354", ,,,,, ,,,
,Includes Monroe and Owen Counties,,,,,,,,,,
,City of Bloomington,"84,772", 378 , 2 , 46 , 70 , 260 ," 2,703 ", 546 ," 2,011 ", 146 
,Total area actually reporting,87.6%, 491 , 4 , 71 , 81 , 335 ," 3,967 ", 773 ," 2,950 ", 244 
,Estimated total,100.0%, 520 , 5 , 75 , 85 , 355 ," 4,207 ", 833 ," 3,106 ", 268 
,"Rate per 100,000 inhabitants",,312.6,3.0,45.1,51.1,213.4,"2,528.9",500.7,"1,867.1",161.1
"Boise City, ID M.S.A.",,"693,703",,,,,,,,,
,"Includes Ada, Boise, Canyon, Gem, and Owyhee Counties",, ,,,,,,,,
,City of Boise ,"220,749", 657 , 6 , 143 , 51 , 457 ," 5,134 ", 732 ," 4,066 ", 336 
,Total area actually reporting,100.0%," 1,693 ", 17 , 349 , 103 ," 1,224 "," 12,282 "," 2,193 "," 9,139 ", 950 
,"Rate per 100,000 inhabitants",,244.1,2.5,50.3,14.8,176.4,"1,770.5",316.1,"1,317.4",136.9
"Boston-Cambridge-Newton, MA-NH M.S.A.4",,"4,798,657",,,,,,,,,
,"Includes the Metropolitan Divisions of Boston, MA; Cambridge-Newton-Framingham, MA; and Rockingham County-Strafford County, NH",,,,,,,,,,
,"City of Boston, MA","673,880"," 4,767 ", 49 , 278 ," 1,530 "," 2,910 "," 14,489 "," 1,837 "," 11,429 "," 1,223 "
,"City of Cambridge, MA","111,030", 294 , 2 , 28 , 76 , 188 ," 2,369 ", 326 ," 1,924 ", 119 
,"City of Newton, MA","89,116", 46 , 0 , 3 , 11 , 32 , 642 , 80 , 544 , 18 
,"City of Framingham, MA","71,422", 211 , 0 , 8 , 18 , 185 , 831 , 122 , 655 , 54 
,"City of Waltham, MA","63,613", 99 , 1 , 12 , 8 , 78 , 688 , 109 , 550 , 29 
,Total area actually reporting,98.0%,, 88 ," 1,263 "," 3,399 ",," 65,828 "," 9,496 "," 51,258 "," 5,074 "
,Estimated total,100.0%,, 89 ," 1,291 "," 3,445 ",," 67,153 "," 9,729 "," 52,254 "," 5,170 "
,"Rate per 100,000 inhabitants",,,1.9,26.9,71.8,,"1,399.4",202.7,"1,088.9",107.7
"Boston, MA M.D.4",,"1,994,514",,,,,,,,,
,"Includes Norfolk, Plymouth, and Suffolk Counties",,,,,,,,,,
,Total area actually reporting,95.7%,, 58 , 632 ," 2,260 ",," 30,970 "," 4,471 "," 24,142 "," 2,357 "
,Estimated total,100.0%,, 59 , 657 ," 2,302 ",," 32,158 "," 4,682 "," 25,032 "," 2,444 "
,"Rate per 100,000 inhabitants",,,3.0,32.9,115.4,,"1,612.3",234.7,"1,255.0",122.5
"Cambridge-Newton-Framingham, MA M.D.",,"2,373,065",,,,,,,,,
,Includes Essex and Middlesex Counties,,,,,,,,,,
,Total area actually reporting,99.7%," 5,562 ", 25 , 451 ," 1,060 "," 4,026 "," 29,097 "," 4,291 "," 22,354 "," 2,452 "
,Estimated total,100.0%," 5,582 ", 25 , 453 ," 1,063 "," 4,041 "," 29,193 "," 4,308 "," 22,426 "," 2,459 "
,"Rate per 100,000 inhabitants",,235.2,1.1,19.1,44.8,170.3,"1,230.2",181.5,945.0,103.6
"Rockingham County-Strafford County, NH M.D.",,"431,078",,,,,,,,,
,Includes Rockingham and Strafford Counties,,,,,,,,,,
,Total area actually reporting,99.2%, 632 , 5 , 180 , 79 , 368 ," 5,761 ", 734 ," 4,762 ", 265 
,Estimated total,100.0%, 637 , 5 , 181 , 80 , 371 ," 5,802 ", 739 ," 4,796 ", 267 
,"Rate per 100,000 inhabitants",,147.8,1.2,42.0,18.6,86.1,"1,345.9",171.4,"1,112.6",61.9
"Boulder, CO M.S.A.",,"324,108", ,,,,, ,,,
,Includes Boulder County,,,,,,,,,,
,City of Boulder,"109,189", 258 , 0 , 52 , 30 , 176 ," 3,275 ", 559 ," 2,497 ", 219 
,Total area actually reporting,100.0%, 766 , 1 , 222 , 82 , 461 ," 7,501 "," 1,128 "," 5,875 ", 498 
,"Rate per 100,000 inhabitants",,236.3,0.3,68.5,25.3,142.2,"2,314.4",348.0,"1,812.7",153.7
"Bowling Green, KY M.S.A.",,"170,204", ,,,,, ,,,
,"Includes Allen, Butler, Edmonson, and Warren Counties",,,,,,,,,,
,City of Bowling Green,"64,561", 204 , 4 , 51 , 85 , 64 ," 2,773 ", 379 ," 2,236 ", 158 
,Total area actually reporting,100.0%, 280 , 6 , 74 , 91 , 109 ," 3,664 ", 691 ," 2,740 ", 233 
,"Rate per 100,000 inhabitants",,164.5,3.5,43.5,53.5,64.0,"2,152.7",406.0,"1,609.8",136.9
"Bremerton-Silverdale, WA M.S.A.",,"262,877",,,,,,,,,
,Includes Kitsap County,, ,,,,,,,,
,City of Bremerton,"39,862", 198 , 0 , 29 , 38 , 131 ," 1,576 ", 257 ," 1,159 ", 160 
