Table 6,,,,,,,,,,,
Crime in the United States,,,,,,,,,,,
"by Metropolitan Statistical Area, 2012",,,,,,,,,,,
Metropolitan Statistical Area,Counties/principal cities,Population,"Violent
crime","Murder and
nonnegligent
manslaughter","Forcible
rape",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft"
,"Rate per 100,000 inhabitants",,266.8,2.6,18.1,79.7,166.4,"2,463.6",479.9,"1,908.4",75.3
"Albuquerque, NM M.S.A.2",,"900,072", ,,,,, ,,,
,"Includes Bernalillo, Sandoval, Torrance, and Valencia2 Counties",,,,,,,,,,
,City of Albuquerque,"553,684","4,151",41,278,"1,092","2,740","29,718","6,677","20,298","2,743"
,Total area actually reporting,99.1%,"5,769",53,368,"1,226","4,122",,,,"3,427"
,Estimated total,100.0%,"5,806",53,371,"1,229","4,153",,,,"3,446"
,"Rate per 100,000 inhabitants",,645.1,5.9,41.2,136.5,461.4,,,,382.9
"Alexandria, LA M.S.A.2",,"155,419", ,,,,, ,,,
,Includes Grant and Rapides2 Parishes,,,,,,,,,,
,City of Alexandria,"48,449",815,9,14,142,650,"3,630",974,"2,472",184
,Total area actually reporting,94.9%,,9,44,169,,,"1,820","4,386",
,Estimated total,100.0%,,9,46,175,,,"1,879","4,636",
,"Rate per 100,000 inhabitants",,,5.8,29.6,112.6,,,"1,209.0","2,982.9",
"Allentown-Bethlehem-Easton, PA-NJ M.S.A.1",,"826,611",,,,,,,,,
,"Includes Warren County, NJ and Carbon, Lehigh, and Northampton Counties, PA",,,,,,,,,,
,"City of Allentown, PA1","119,334",653,15,54,374,210,"4,603","1,248","2,987",368
,"City of Bethlehem, PA","75,388",238,2,19,121,96,"1,948",377,"1,488",83
,Total area actually reporting,99.3%,"1,732",34,155,701,842,"18,195","3,507","13,819",869
,Estimated total,100.0%,"1,743",34,156,704,849,"18,304","3,525","13,906",873
,"Rate per 100,000 inhabitants",,210.9,4.1,18.9,85.2,102.7,"2,214.3",426.4,"1,682.3",105.6
"Altoona, PA M.S.A.",,"127,305", ,,,,, ,,,
,Includes Blair County,,,,,,,,,,
,City of Altoona,"46,404",163,2,31,32,98,903,226,641,36
,Total area actually reporting,100.0%,321,6,44,38,233,"2,113",387,"1,647",79
,"Rate per 100,000 inhabitants",,252.2,4.7,34.6,29.8,183.0,"1,659.8",304.0,"1,293.7",62.1
"Amarillo, TX M.S.A.",,"259,729", ,,,,, ,,,
,"Includes Armstrong, Carson, Oldham, Potter, and Randall Counties",,,,,,,,,,
,City of Amarillo,"196,576","1,278",10,110,278,880,"8,900","2,087","6,184",629
,Total area actually reporting,100.0%,"1,366",11,118,280,957,"9,716","2,346","6,685",685
,"Rate per 100,000 inhabitants",,525.9,4.2,45.4,107.8,368.5,"3,740.8",903.2,"2,573.8",263.7
"Ames, IA M.S.A.",,"90,011", ,,,,, ,,,
,Includes Story County,,,,,,,,,,
,City of Ames,"59,271",78,0,32,7,39,"1,454",291,"1,132",31
,Total area actually reporting,100.0%,132,0,46,8,78,"2,031",448,"1,534",49
,"Rate per 100,000 inhabitants",,146.6,0.0,51.1,8.9,86.7,"2,256.4",497.7,"1,704.2",54.4
"Anchorage, AK M.S.A.1",,"313,529", ,,,,, ,,,
,Includes Anchorage Municipality and Matanuska-Susitna Borough,,,,,,,,,,
,City of Anchorage,"299,143","2,479",15,303,488,"1,673","10,543","1,158","8,554",831
,Total area actually reporting,100.0%,"2,543",15,307,496,"1,725","11,344","1,236","9,235",873
,"Rate per 100,000 inhabitants",,811.1,4.8,97.9,158.2,550.2,"3,618.2",394.2,"2,945.5",278.4
"Ann Arbor, MI M.S.A.",,"348,215", ,,,,, ,,,
,Includes Washtenaw County,,,,,,,,,,
,City of Ann Arbor,"115,008",227,1,35,50,141,"2,726",714,"1,898",114
,Total area actually reporting,100.0%,"1,026",5,148,187,686,"8,487","2,334","5,713",440
,"Rate per 100,000 inhabitants",,294.6,1.4,42.5,53.7,197.0,"2,437.3",670.3,"1,640.7",126.4
"Anniston-Oxford-Jacksonville, AL M.S.A.",,"118,270",,,,,,,,,
,Includes Calhoun County,, ,,,,,,,,
,City of Anniston,"23,051",504,5,14,92,393,"2,484",912,"1,501",71
,City of Oxford,"17,170",62,1,7,23,31,"1,007",179,791,37
,City of Jacksonville,"12,532",43,0,1,11,31,484,138,327,19
,Total area actually reporting,100.0%,678,6,37,131,504,"5,339","1,710","3,482",147
,"Rate per 100,000 inhabitants",,573.3,5.1,31.3,110.8,426.1,"4,514.2","1,445.8","2,944.1",124.3
"Appleton, WI M.S.A.",,"227,986", ,,,,, ,,,
,Includes Calumet and Outagamie Counties,,,,,,,,,,
,City of Appleton,"73,431",213,0,28,22,163,"1,392",254,"1,111",27
,Total area actually reporting,100.0%,351,1,40,37,273,"3,519",516,"2,920",83
,"Rate per 100,000 inhabitants",,154.0,0.4,17.5,16.2,119.7,"1,543.5",226.3,"1,280.8",36.4
"Asheville, NC M.S.A.",,"433,267", ,,,,, ,,,
,"Includes Buncombe, Haywood, Henderson, and Madison Counties",,,,,,,,,,
,City of Asheville,"85,295",423,6,33,141,243,"4,910",742,"3,832",336
,Total area actually reporting,99.2%,965,20,98,233,614,"12,010","3,199","7,995",816
,Estimated total,100.0%,976,20,99,236,621,"12,143","3,229","8,093",821
,"Rate per 100,000 inhabitants",,225.3,4.6,22.8,54.5,143.3,"2,802.7",745.3,"1,867.9",189.5
"Athens-Clarke County, GA M.S.A.",,"195,380", ,,,,, ,,,
,"Includes Clarke, Madison, Oconee, and Oglethorpe Counties",,,,,,,,,,
,City of Athens-Clarke County,"117,457",455,5,48,158,244,"4,601","1,149","3,210",242
,Total area actually reporting,99.4%,621,6,69,177,369,"6,602","1,559","4,699",344
,Estimated total,100.0%,626,6,69,179,372,"6,650","1,568","4,734",348
,"Rate per 100,000 inhabitants",,320.4,3.1,35.3,91.6,190.4,"3,403.6",802.5,"2,423.0",178.1
"Atlanta-Sandy Springs-Roswell, GA M.S.A.",,"5,434,540",,,,,,,,,
,"Includes Barrow, Bartow, Butts, Carroll, Cherokee, Clayton, Cobb, Coweta, Dawson, DeKalb, Douglas, Fayette, Forsyth, Fulton, Gwinnett, Haralson, Heard, Henry, Jasper, Lamar, Meriwether, Morgan, Newton, Paulding, Pickens, Pike, Rockdale, Spalding, and Walton Counties",,,,,,,,,,
,City of Atlanta,"437,041","6,027",83,113,"2,276","3,555","28,554","6,192","17,212","5,150"
,City of Sandy Springs,"97,890",187,3,5,98,81,"2,750",709,"1,871",170
,City of Roswell,"92,141",132,1,7,63,61,"1,721",399,"1,228",94
,City of Alpharetta,"60,031",42,1,6,18,17,"1,230",127,"1,076",27
,City of Marietta,"57,969",474,1,12,132,329,"2,548",496,"1,865",187
,Total area actually reporting,99.9%,"22,181",333,"1,091","8,373","12,384","183,592","47,331","115,896","20,365"
,Estimated total,100.0%,"22,207",333,"1,093","8,382","12,399","183,871","47,384","116,101","20,386"
,"Rate per 100,000 inhabitants",,408.6,6.1,20.1,154.2,228.2,"3,383.4",871.9,"2,136.4",375.1
"Atlantic City-Hammonton, NJ M.S.A.3",,"275,689", ,,,,, ,,,
,Includes Atlantic County,,,,,,,,,,
,City of Atlantic City,"39,722",699,19,35,322,323,"2,453",481,"1,884",88
,City of Hammonton ,"14,852",15,0,0,1,14,186,60,118,8
,Total area actually reporting,96.6%,,30,73,469,,"8,226","1,751","6,186",289
,Estimated total,100.0%,,30,74,477,,"8,404","1,791","6,312",301
,"Rate per 100,000 inhabitants",,,10.9,26.8,173.0,,"3,048.4",649.6,"2,289.5",109.2
"Auburn-Opelika, AL M.S.A.",,"144,044",,,,,,,,,
,Includes Lee County,, ,,,,,,,,
,City of Auburn,"54,785",132,3,13,25,91,"1,919",418,"1,450",51
,City of Opelika,"27,201",207,5,11,43,148,"1,681",428,"1,204",49
,Total area actually reporting,100.0%,372,8,26,77,261,"4,023",954,"2,941",128
,"Rate per 100,000 inhabitants",,258.3,5.6,18.1,53.5,181.2,"2,792.9",662.3,"2,041.7",88.9
"Augusta-Richmond County, GA-SC M.S.A.",,"575,582", ,,,,, ,,,
,"Includes Burke, Columbia, Lincoln, McDuffie, and Richmond Counties, GA and Aiken and Edgefield Counties, SC",,,,,,,,,,
,Total area actually reporting,97.7%,"1,757",47,161,699,850,"22,565","5,735","14,885","1,945"
,Estimated total,100.0%,"1,802",47,164,715,876,"23,040","5,844","15,212","1,984"
,"Rate per 100,000 inhabitants",,313.1,8.2,28.5,124.2,152.2,"4,002.9","1,015.3","2,642.9",344.7
"Austin-Round Rock, TX M.S.A.",,"1,810,230",,,,,,,,,
,"Includes Bastrop, Caldwell, Hays, Travis, and Williamson Counties",, ,,,,,,,,
,City of Austin,"832,901","3,405",31,209,978,"2,187","43,472","7,244","33,913","2,315"
,City of Round Rock,"106,232",141,0,32,45,64,"2,636",336,"2,222",78
,Total area actually reporting,100.0%,"5,299",39,453,"1,195","3,612","62,113","11,173","47,929","3,011"
,"Rate per 100,000 inhabitants",,292.7,2.2,25.0,66.0,199.5,"3,431.2",617.2,"2,647.7",166.3
"Bakersfield, CA M.S.A.",,"859,608", ,,,,, ,,,
,Includes Kern County,,,,,,,,,,
,City of Bakersfield,"355,696","1,929",34,57,697,"1,141","17,754","4,994","9,540","3,220"
,Total area actually reporting,100.0%,"4,976",65,174,"1,313","3,424","34,761","10,931","17,584","6,246"
,"Rate per 100,000 inhabitants",,578.9,7.6,20.2,152.7,398.3,"4,043.8","1,271.6","2,045.6",726.6
"Baltimore-Columbia-Towson, MD M.S.A.",,"2,755,459",,,,,,,,,
,"Includes Anne Arundel, Baltimore, Carroll, Harford, Howard, and Queen Anne's Counties and Baltimore City",,,,,,,,,,
,City of Baltimore,"625,474","8,789",218,315,"3,605","4,651","29,149","7,770","17,397","3,982"
,Total area actually reporting,100.0%,"17,117",262,671,"5,901","10,283","82,232","17,483","57,582","7,167"
,"Rate per 100,000 inhabitants",,621.2,9.5,24.4,214.2,373.2,"2,984.3",634.5,"2,089.7",260.1
"Bangor, ME M.S.A.",,"153,902", ,,,,, ,,,
,Includes Penobscot County,,,,,,,,,,
,City of Bangor,"33,036",76,6,7,40,23,"1,842",253,"1,543",46
,Total area actually reporting,100.0%,139,8,19,61,51,"4,623",912,"3,573",138
,"Rate per 100,000 inhabitants",,90.3,5.2,12.3,39.6,33.1,"3,003.9",592.6,"2,321.6",89.7
"Barnstable Town, MA M.S.A.",,"217,689", ,,,,, ,,,
,Includes Barnstable County,,,,,,,,,,
,City of Barnstable ,"45,570",283,1,22,29,231,"1,269",378,847,44
,Total area actually reporting,100.0%,901,1,62,78,760,"5,835","2,224","3,455",156
,"Rate per 100,000 inhabitants",,413.9,0.5,28.5,35.8,349.1,"2,680.4","1,021.6","1,587.1",71.7
"Baton Rouge, LA M.S.A.2",,"813,022", ,,,,, ,,,
,"Includes Ascension,2 East Baton Rouge, East Feliciana, Iberville, Livingston, Pointe Coupee, St. Helena, West Baton Rouge, and West Feliciana2 Parishes",,,,,,,,,,
,City of Baton Rouge,"231,500","2,507",66,64,"1,033","1,344","12,059","3,826","7,751",482
,Total area actually reporting,98.3%,,95,134,"1,449",,,"8,039","22,520",
,Estimated total,100.0%,,96,137,"1,460",,,"8,142","22,952",
,"Rate per 100,000 inhabitants",,,11.8,16.9,179.6,,,"1,001.4","2,823.0",
"Bay City, MI M.S.A.",,"107,188", ,,,,, ,,,
,Includes Bay County,,,,,,,,,,
,City of Bay City,"34,742",215,1,42,29,143,791,199,553,39
,Total area actually reporting,100.0%,321,1,68,41,211,"2,090",441,"1,560",89
,"Rate per 100,000 inhabitants",,299.5,0.9,63.4,38.3,196.9,"1,949.8",411.4,"1,455.4",83.0
"Beaumont-Port Arthur, TX M.S.A.",,"411,053",,,,,,,,,
,"Includes Hardin, Jefferson, Newton, and Orange Counties",, ,,,,,,,,
,City of Beaumont,"120,323","1,242",13,76,408,745,"5,824","1,828","3,717",279
,City of Port Arthur,"54,745",344,4,19,121,200,"2,406",854,"1,428",124
,Total area actually reporting,100.0%,"2,175",24,137,613,"1,401","13,352","4,037","8,516",799
,"Rate per 100,000 inhabitants",,529.1,5.8,33.3,149.1,340.8,"3,248.2",982.1,"2,071.8",194.4
"Beckley, WV M.S.A.",,"124,829", ,,,,, ,,,
,Includes Fayette and Raleigh Counties,,,,,,,,,,
,City of Beckley,"17,675",189,6,21,55,107,"1,588",335,"1,221",32
,Total area actually reporting,95.7%,477,14,45,120,298,"4,352","1,336","2,831",185
,Estimated total,100.0%,492,14,46,123,309,"4,533","1,367","2,976",190
,"Rate per 100,000 inhabitants",,394.1,11.2,36.9,98.5,247.5,"3,631.4","1,095.1","2,384.1",152.2
"Bellingham, WA M.S.A.",,"205,660", ,,,,, ,,,
,Includes Whatcom County,,,,,,,,,,
,City of Bellingham,"82,665",220,0,29,53,138,"3,975",614,"3,223",138
,Total area actually reporting,100.0%,488,4,101,65,318,"6,318","1,332","4,751",235
,"Rate per 100,000 inhabitants",,237.3,1.9,49.1,31.6,154.6,"3,072.1",647.7,"2,310.1",114.3
"Billings, MT M.S.A.",,"162,082", ,,,,, ,,,
,"Includes Carbon, Golden Valley, and Yellowstone Counties",,,,,,,,,,
,City of Billings,"106,371",370,3,38,68,261,"4,812",793,"3,608",411
,Total area actually reporting,100.0%,461,3,43,69,346,"5,755",999,"4,262",494
,"Rate per 100,000 inhabitants",,284.4,1.9,26.5,42.6,213.5,"3,550.7",616.4,"2,629.5",304.8
"Binghamton, NY M.S.A.1",,"251,424", ,,,,, ,,,
,Includes Broome and Tioga Counties1,,,,,,,,,,
,City of Binghamton1,"47,250",315,3,15,81,216,"2,336",558,"1,732",46
,Total area actually reporting,100.0%,632,7,59,142,424,"6,851","1,400","5,310",141
,"Rate per 100,000 inhabitants",,251.4,2.8,23.5,56.5,168.6,"2,724.9",556.8,"2,112.0",56.1
"Birmingham-Hoover, AL M.S.A.",,"1,136,805",,,,,,,,,
,"Includes Bibb, Blount, Chilton, Jefferson, St. Clair, Shelby, and Walker Counties",,,,,,,,,,
,City of Birmingham,"213,266","3,237",67,152,983,"2,035","14,788","4,704","9,042","1,042"
,City of Hoover,"82,332",86,2,13,46,25,"2,180",393,"1,702",85
,Total area actually reporting,97.7%,"6,301",105,357,"1,741","4,098","42,101","12,503","27,199","2,399"
,Estimated total,100.0%,"6,424",107,363,"1,769","4,185","43,172","12,756","27,958","2,458"
,"Rate per 100,000 inhabitants",,565.1,9.4,31.9,155.6,368.1,"3,797.7","1,122.1","2,459.3",216.2
"Bismarck, ND M.S.A.",,"119,673", ,,,,, ,,,
,"Includes Burleigh, Morton, Oliver, and Sioux Counties",,,,,,,,,,
,City of Bismarck,"64,103",218,1,31,16,170,"1,945",320,"1,522",103
,Total area actually reporting,100.0%,424,4,60,27,333,"2,897",515,"2,180",202
,"Rate per 100,000 inhabitants",,354.3,3.3,50.1,22.6,278.3,"2,420.8",430.3,"1,821.6",168.8
"Blacksburg-Christiansburg-Radford, VA M.S.A.",,"179,827",,,,,,,,,
,"Includes Floyd, Giles, Montgomery, and Pulaski Counties and Radford City",,,,,,,,,,
,City of Blacksburg,"43,070",39,0,12,11,16,475,80,377,18
,City of Christiansburg,"21,262",30,0,7,4,19,675,87,576,12
,City of Radford,"16,595",78,1,9,9,59,457,102,336,19
,Total area actually reporting,100.0%,297,2,57,36,202,"3,914",734,"3,052",128
,"Rate per 100,000 inhabitants",,165.2,1.1,31.7,20.0,112.3,"2,176.5",408.2,"1,697.2",71.2
"Bloomington, IL M.S.A.",,"187,221",,,,,,,,,
,Includes DeWitt and McLean Counties,, ,,,,,,,,
,City of Bloomington,"77,107",372,1,42,45,284,"1,797",357,"1,396",44
,Total area actually reporting,91.1%,565,1,74,85,405,"3,689",778,"2,823",88
,Estimated total,100.0%,602,1,78,95,428,"4,052",849,"3,100",103
,"Rate per 100,000 inhabitants",,321.5,0.5,41.7,50.7,228.6,"2,164.3",453.5,"1,655.8",55.0
"Bloomington, IN M.S.A.",,"161,803", ,,,,, ,,,
,Includes Monroe and Owen Counties,,,,,,,,,,
,City of Bloomington,"81,636",243,3,18,42,180,"3,244",622,"2,471",151
,Total area actually reporting,86.7%,372,4,53,53,262,"4,846",942,"3,653",251
,Estimated total,100.0%,392,4,56,55,277,"5,142","1,022","3,850",270
,"Rate per 100,000 inhabitants",,242.3,2.5,34.6,34.0,171.2,"3,177.9",631.6,"2,379.4",166.9
"Bloomsburg-Berwick, PA M.S.A.",,"85,911",,,,,,,,,
,Includes Columbia and Montour Counties,, ,,,,,,,,
,City of Bloomsburg Town,"15,135",20,0,1,2,17,266,51,211,4
,City of Berwick,"10,480",25,0,9,6,10,490,148,335,7
,Total area actually reporting,96.2%,134,2,31,10,91,"1,738",365,"1,342",31
,Estimated total,100.0%,140,2,31,12,95,"1,800",375,"1,392",33
,"Rate per 100,000 inhabitants",,163.0,2.3,36.1,14.0,110.6,"2,095.2",436.5,"1,620.3",38.4
"Boise City, ID M.S.A.",,"631,917",,,,,,,,,
,"Includes Ada, Boise, Canyon, Gem, and Owyhee Counties",, ,,,,,,,,
,City of Boise ,"211,569",567,1,75,64,427,"5,342",913,"4,272",157
,Total area actually reporting,99.9%,"1,334",7,193,117,"1,017","12,450","2,627","9,396",427
,Estimated total,100.0%,"1,335",7,193,117,"1,018","12,461","2,629","9,405",427
,"Rate per 100,000 inhabitants",,211.3,1.1,30.5,18.5,161.1,"1,971.9",416.0,"1,488.3",67.6
"Boston-Cambridge-Newton, MA-NH M.S.A.1",,"4,629,025",,,,,,,,,
,"Includes the Metropolitan Divisions of Boston, MA; Cambridge-Newton-Framingham, MA; and Rockingham County-Strafford County, NH",,,,,,,,,,
,"City of Boston, MA","630,648","5,266",57,249,"1,910","3,050","18,349","3,325","13,400","1,624"
,"City of Cambridge, MA","106,981",431,1,20,135,275,"3,091",502,"2,482",107
,"City of Newton, MA","86,710",76,0,5,17,54,894,185,693,16
,"City of Framingham, MA1","69,605",154,0,7,21,126,"1,238",254,884,100
,"City of Waltham, MA","61,725",146,0,12,24,110,849,191,610,48
,Total area actually reporting,97.6%,"16,085",95,"1,010","4,241","10,739","89,455","17,892","65,570","5,993"
,Estimated total,100.0%,"16,444",95,"1,039","4,312","10,998","91,833","18,439","67,269","6,125"
,"Rate per 100,000 inhabitants",,355.2,2.1,22.4,93.2,237.6,"1,983.9",398.3,"1,453.2",132.3
"Boston, MA M.D.1",,"1,920,886",,,,,,,,,
,"Includes Norfolk, Plymouth, and Suffolk Counties",,,,,,,,,,
,Total area actually reporting,97.7%,"9,389",71,499,"2,840","5,979","40,999","8,495","29,629","2,875"
,Estimated total,100.0%,"9,532",71,509,"2,869","6,083","41,866","8,705","30,235","2,926"
,"Rate per 100,000 inhabitants",,496.2,3.7,26.5,149.4,316.7,"2,179.5",453.2,"1,574.0",152.3
"Cambridge-Newton-Framingham, MA M.D.1",,"2,287,271",,,,,,,,,
,Includes Essex and Middlesex Counties,,,,,,,,,,
,Total area actually reporting,97.4%,"6,104",15,385,"1,315","4,389","39,674","8,055","28,791","2,828"
,Estimated total,100.0%,"6,298",15,399,"1,354","4,530","40,850","8,340","29,612","2,898"
,"Rate per 100,000 inhabitants",,275.3,0.7,17.4,59.2,198.1,"1,786.0",364.6,"1,294.6",126.7
"Rockingham County-Strafford County, NH M.D.",,"420,868",,,,,,,,,
,Includes Rockingham and Strafford Counties,,,,,,,,,,
,Total area actually reporting,95.0%,592,9,126,86,371,"8,782","1,342","7,150",290
,Estimated total,100.0%,614,9,131,89,385,"9,117","1,394","7,422",301
,"Rate per 100,000 inhabitants",,145.9,2.1,31.1,21.1,91.5,"2,166.2",331.2,"1,763.5",71.5
"Boulder, CO M.S.A.",,"303,520", ,,,,, ,,,
,Includes Boulder County,,,,,,,,,,
,City of Boulder,"100,257",249,0,32,48,169,"2,937",472,"2,337",128
,Total area actually reporting,93.3%,567,0,66,95,406,"6,583","1,091","5,200",292
,Estimated total,100.0%,611,0,73,102,436,"7,107","1,169","5,609",329
,"Rate per 100,000 inhabitants",,201.3,0.0,24.1,33.6,143.6,"2,341.5",385.1,"1,848.0",108.4
"Bowling Green, KY M.S.A.",,"160,980", ,,,,, ,,,
,"Includes Allen, Butler, Edmonson, and Warren Counties",,,,,,,,,,
,City of Bowling Green,"59,043",189,4,36,75,74,"3,025",547,"2,322",156
,Total area actually reporting,100.0%,231,4,45,83,99,"4,003",909,"2,887",207
,"Rate per 100,000 inhabitants",,143.5,2.5,28.0,51.6,61.5,"2,486.6",564.7,"1,793.4",128.6
"Bremerton-Silverdale, WA M.S.A.",,"257,130",,,,,,,,,
,Includes Kitsap County,, ,,,,,,,,
,City of Bremerton,"39,434",230,1,38,44,147,"2,123",444,"1,487",192
,Total area actually reporting,100.0%,696,5,105,110,476,"8,127","2,080","5,421",626
,"Rate per 100,000 inhabitants",,270.7,1.9,40.8,42.8,185.1,"3,160.7",808.9,"2,108.3",243.5
"Bridgeport-Stamford-Norwalk, CT M.S.A.",,"910,707",,,,,,,,,
,Includes Fairfield County,,,,,,,,,,
,City of Bridgeport,"146,030","1,760",22,388,606,744,"5,153","1,377","2,908",868
,City of Stamford,"124,201",351,5,25,145,176,"1,932",290,"1,472",170
,City of Norwalk,"86,693",272,3,9,68,192,"1,713",250,"1,352",111
,City of Danbury,"81,891",109,1,23,45,40,"1,562",287,"1,201",74
,City of Stratford,"52,041",104,0,15,28,61,"1,413",245,"1,070",98
,Total area actually reporting,100.0%,"2,736",33,482,946,"1,275","16,256","3,205","11,536","1,515"
,"Rate per 100,000 inhabitants",,300.4,3.6,52.9,103.9,140.0,"1,785.0",351.9,"1,266.7",166.4
"Brownsville-Harlingen, TX M.S.A.",,"420,325",,,,,,,,,
,Includes Cameron County,, ,,,,,,,,
,City of Brownsville,"181,102",473,3,38,125,307,"8,337","1,145","6,986",206
,City of Harlingen,"67,112",271,4,23,62,182,"3,272",606,"2,555",111
,Total area actually reporting,100.0%,"1,080",13,98,237,732,"16,754","3,092","13,186",476
,"Rate per 100,000 inhabitants",,256.9,3.1,23.3,56.4,174.2,"3,986.0",735.6,"3,137.1",113.2
"Brunswick, GA M.S.A.",,"114,128", ,,,,, ,,,
,"Includes Brantley, Glynn, and McIntosh Counties",,,,,,,,,,
,City of Brunswick,"15,691",220,4,3,61,152,"1,113",294,788,31
,Total area actually reporting,98.3%,519,8,22,134,355,"4,630","1,332","3,163",135
,Estimated total,100.0%,527,8,22,137,360,"4,713","1,348","3,224",141
,"Rate per 100,000 inhabitants",,461.8,7.0,19.3,120.0,315.4,"4,129.6","1,181.1","2,824.9",123.5
"Buffalo-Cheektowaga-Niagara Falls, NY M.S.A.1",,"1,140,160",,,,,,,,,
,Includes Erie and Niagara Counties1,,,,,,,,,,
,City of Buffalo1,"262,434","3,382",48,138,"1,388","1,808","13,454","3,976","8,371","1,107"
,City of Cheektowaga Town1,"79,178",175,0,19,66,90,"2,821",338,"2,396",87
,City of Niagara Falls1,"50,356",619,3,26,171,419,"2,963",750,"2,083",130
,Total area actually reporting,100.0%,"5,045",54,258,"1,811","2,922","33,364","7,461","24,194","1,709"
,"Rate per 100,000 inhabitants",,442.5,4.7,22.6,158.8,256.3,"2,926.3",654.4,"2,122.0",149.9
"Burlington, NC M.S.A.",,"154,810", ,,,,, ,,,
,Includes Alamance County,,,,,,,,,,
,City of Burlington,"51,430",406,2,17,105,282,"2,792",671,"1,998",123
,Total area actually reporting,100.0%,674,4,35,138,497,"5,218","1,438","3,530",250
,"Rate per 100,000 inhabitants",,435.4,2.6,22.6,89.1,321.0,"3,370.6",928.9,"2,280.2",161.5
"California-Lexington Park, MD M.S.A.",,"108,522",,,,,,,,,
,Includes St. Mary's County,, ,,,,,,,,
,Total area actually reporting,100.0%,257,0,12,51,194,"2,778",753,"1,938",87
,"Rate per 100,000 inhabitants",,236.8,0.0,11.1,47.0,178.8,"2,559.8",693.9,"1,785.8",80.2
"Canton-Massillon, OH M.S.A.",,"403,843",,,,,,,,,
,Includes Carroll and Stark Counties,, ,,,,,,,,
,City of Canton,"72,914",729,10,64,414,241,"4,722","1,590","2,671",461
,City of Massillon,"32,104",66,0,14,31,21,"1,097",353,713,31
,Total area actually reporting,98.6%,"1,189",13,121,586,469,"11,805","3,698","7,377",730
,Estimated total,100.0%,"1,197",13,122,589,473,"11,957","3,729","7,493",735
,"Rate per 100,000 inhabitants",,296.4,3.2,30.2,145.8,117.1,"2,960.8",923.4,"1,855.4",182.0
"Cape Coral-Fort Myers, FL M.S.A.",,"639,944",,,,,,,,,
,Includes Lee County,, ,,,,,,,,
,City of Cape Coral,"159,625",229,4,16,41,168,"3,521",860,"2,547",114
,City of Fort Myers,"64,379",754,24,26,172,532,"2,346",507,"1,639",200
,Total area actually reporting,100.0%,"2,234",45,109,553,"1,527","15,021","4,171","9,927",923
,"Rate per 100,000 inhabitants",,349.1,7.0,17.0,86.4,238.6,"2,347.2",651.8,"1,551.2",144.2
"Cape Girardeau, MO-IL M.S.A.",,"97,195",,,,,,,,,
