Table 6,,,,,,,,,,,
Crime in the United States,,,,,,,,,,,
"by Metropolitan Statistical Area, 2018",,,,,,,,,,,
Metropolitan Statistical Area,Counties/principal cities,Population,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft"
,City of Appleton,"74,931", 165 , 0 , 26 , 23 , 116 ," 1,151 ", 131 , 973 , 47 
,Total area actually reporting,100.0%, 341 , 2 , 67 , 28 , 244 ," 2,491 ", 277 ," 2,104 ", 110 
,"Rate per 100,000 inhabitants",,143.4,0.8,28.2,11.8,102.6,"1,047.9",116.5,885.1,46.3
"Asheville, NC M.S.A.3",,"460,823", ,,,,, ,,,
,"Includes Buncombe, Haywood, Henderson, and Madison Counties3",,,,,,,,,,
,City of Asheville3,"93,186",, 12 ,, 148 , 392 ," 4,798 ", 691 ," 3,707 ", 400 
,Total area actually reporting,99.2%," 1,221 ", 16 , 118 , 218 , 869 ," 10,211 "," 2,289 "," 7,023 ", 899 
,Estimated total,100.0%," 1,227 ", 16 , 118 , 218 , 875 ," 10,320 "," 2,312 "," 7,104 ", 904 
,"Rate per 100,000 inhabitants",,266.3,3.5,25.6,47.3,189.9,"2,239.5",501.7,"1,541.6",196.2
"Atlanta-Sandy Springs-Alpharetta, GA M.S.A.2",,"5,962,282",,,,,,,,,
,"Includes Barrow, Bartow, Butts, Carroll, Cherokee, Clayton, Cobb, Coweta,2 Dawson, DeKalb, Douglas, Fayette, Forsyth, Fulton, Gwinnett, Haralson, Heard, Henry, Jasper, Lamar, Meriwether, Morgan, Newton, Paulding, Pickens, Pike, Rockdale, Spalding, and Walton Counties",,,,,,,,,,
,City of Atlanta,"496,106"," 3,814 ", 88 , 245 ," 1,099 "," 2,382 "," 23,091 "," 3,082 "," 16,701 "," 3,308 "
,City of Sandy Springs,"108,654", 128 , 2 , 10 , 43 , 73 ," 2,015 ", 301 ," 1,553 ", 161 
,City of Alpharetta,"67,051", 42 , 1 , 10 , 16 , 15 ," 1,204 ", 103 ," 1,060 ", 41 
,City of Marietta,"61,675", 214 , 3 , 27 , 74 , 110 ," 1,948 ", 228 ," 1,554 ", 166 
,Total area actually reporting,97.8%," 18,890 ", 340 ," 1,553 "," 5,577 "," 11,420 "," 151,018 "," 23,109 "," 111,517 "," 16,392 "
,Estimated total,100.0%," 19,120 ", 341 ," 1,558 "," 5,611 "," 11,610 "," 153,531 "," 23,483 "," 113,475 "," 16,573 "
,"Rate per 100,000 inhabitants",,320.7,5.7,26.1,94.1,194.7,"2,575.0",393.9,"1,903.2",278.0
"Atlantic City-Hammonton, NJ M.S.A.",,"265,451", ,,,,, ,,,
,Includes Atlantic County,,,,,,,,,,
,City of Atlantic City,"38,271", 276 , 7 , 11 , 131 , 127 ," 1,181 ", 116 , 994 , 71 
,City of Hammonton,"14,311", 9 , 0 , 0 , 5 , 4 , 149 , 30 , 111 , 8 
,Total area actually reporting,100.0%, 692 , 16 , 46 , 234 , 396 ," 5,895 ", 884 ," 4,814 ", 197 
,"Rate per 100,000 inhabitants",,260.7,6.0,17.3,88.2,149.2,"2,220.7",333.0,"1,813.5",74.2
"Auburn-Opelika, AL M.S.A",,"164,783",,,,,,,,,
,Includes Lee County,,,,,,,,,,
,City of Auburn,"65,585", 240 , 4 , 16 , 29 , 191 ," 1,396 ", 115 ," 1,206 ", 75 
,City of Opelika,"30,822", 168 , 5 , 13 , 31 , 119 ," 1,214 ", 143 , 991 , 80 
,Total area actually reporting,100.0%, 859 , 12 , 59 , 80 , 708 ," 3,812 ", 556 ," 2,947 ", 309 
,"Rate per 100,000 inhabitants",,521.3,7.3,35.8,48.5,429.7,"2,313.3",337.4,"1,788.4",187.5
"Augusta-Richmond County, GA-SC M.S.A.4",,"604,618", ,,,,, ,,,
,"Includes Burke, Columbia, Lincoln, McDuffie, and Richmond Counties, GA and Aiken and Edgefield Counties, SC",,,,,,,,,,
,Total area actually reporting,96.5%," 1,619 ", 63 , 184 , 354 ," 1,018 ",," 2,947 ",," 1,237 "
,Estimated total,100.0%," 1,696 ", 63 , 192 , 363 ," 1,078 ",," 3,042 ",," 1,261 "
,"Rate per 100,000 inhabitants",,280.5,10.4,31.8,60.0,178.3,,503.1,,208.6
"Austin-Round Rock-Georgetown, TX M.S.A.2",,"2,172,348",,,,,,,,,
,"Includes Bastrop, Caldwell, Hays, Travis, and Williamson2 Counties",, ,,,,,,,,
,City of Austin,"973,344"," 3,720 ", 32 , 787 ," 1,021 "," 1,880 "," 33,655 "," 4,549 "," 26,568 "," 2,538 "
,City of Round Rock,"127,354", 154 , 1 , 34 , 29 , 90 ," 2,494 ", 288 ," 2,148 ", 58 
,City of Georgetown,"74,709", 78 , 0 , 22 , 10 , 46 , 731 , 92 , 595 , 44 
,City of San Marcos2,"66,157", 263 , 1 , 83 , 42 , 137 ," 1,415 ", 270 ," 1,044 ", 101 
,Total area actually reporting,99.9%," 6,329 ", 53 ," 1,322 "," 1,279 "," 3,675 "," 50,376 "," 7,371 "," 39,508 "," 3,497 "
,Estimated total,100.0%," 6,330 ", 53 ," 1,322 "," 1,279 "," 3,676 "," 50,389 "," 7,374 "," 39,517 "," 3,498 "
,"Rate per 100,000 inhabitants",,291.4,2.4,60.9,58.9,169.2,"2,319.6",339.4,"1,819.1",161.0
"Bakersfield, CA M.S.A.",,"893,851", ,,,,, ,,,
,Includes Kern County,,,,,,,,,,
,City of Bakersfield,"385,609"," 1,895 ", 31 , 113 , 811 , 940 ," 16,097 "," 4,025 "," 9,295 "," 2,777 "
,Total area actually reporting,100.0%," 5,289 ", 101 , 382 ," 1,365 "," 3,441 "," 30,268 "," 7,993 "," 16,221 "," 6,054 "
,"Rate per 100,000 inhabitants",,591.7,11.3,42.7,152.7,385.0,"3,386.2",894.2,"1,814.7",677.3
"Baltimore-Columbia-Towson, MD M.S.A.",,"2,799,376",,,,,,,,,
,"Includes Anne Arundel, Baltimore, Carroll, Harford, Howard, and Queen Anne's Counties and Baltimore City",,,,,,,,,,
,City of Baltimore,"605,436"," 11,100 ", 309 , 361 ," 5,066 "," 5,364 "," 27,217 "," 6,048 "," 16,794 "," 4,375 "
,Total area actually reporting,100.0%," 20,179 ", 373 ," 1,073 "," 7,234 "," 11,499 "," 69,161 "," 11,192 "," 50,513 "," 7,456 "
,"Rate per 100,000 inhabitants",,720.8,13.3,38.3,258.4,410.8,"2,470.6",399.8,"1,804.4",266.3
"Bangor, ME M.S.A.",,"151,827", ,,,,, ,,,
,Includes Penobscot County,,,,,,,,,,
,City of Bangor,"31,746", 56 , 4 , 4 , 15 , 33 ," 1,300 ", 89 ," 1,151 ", 60 
,Total area actually reporting,100.0%, 112 , 5 , 20 , 29 , 58 ," 2,476 ", 275 ," 2,106 ", 95 
,"Rate per 100,000 inhabitants",,73.8,3.3,13.2,19.1,38.2,"1,630.8",181.1,"1,387.1",62.6
"Barnstable Town, MA M.S.A.",,"213,058", ,,,,, ,,,
,Includes Barnstable County,,,,,,,,,,
,City of Barnstable ,"44,015", 166 , 1 , 20 , 8 , 137 , 462 , 85 , 363 , 14 
,Total area actually reporting,100.0%, 677 , 2 , 113 , 28 , 534 ," 2,345 ", 502 ," 1,752 ", 91 
,"Rate per 100,000 inhabitants",,317.8,0.9,53.0,13.1,250.6,"1,100.6",235.6,822.3,42.7
"Baton Rouge, LA M.S.A.",,"852,689", ,,,,, ,,,
,"Includes Ascension, Assumption, East Baton Rouge, East Feliciana, Iberville, Livingston, Pointe Coupee, St. Helena, West Baton Rouge, and West Feliciana Parishes",,,,,,,,,,
,City of Baton Rouge,"224,790"," 2,067 ", 79 , 74 , 727 ," 1,187 "," 11,965 "," 2,686 "," 8,329 ", 950 
,Total area actually reporting,99.3%," 4,507 ", 127 , 251 ," 1,061 "," 3,068 "," 30,469 "," 5,899 "," 22,824 "," 1,746 "
,Estimated total,100.0%," 4,532 ", 127 , 251 ," 1,061 "," 3,093 "," 30,578 "," 5,923 "," 22,906 "," 1,749 "
,"Rate per 100,000 inhabitants",,531.5,14.9,29.4,124.4,362.7,"3,586.1",694.6,"2,686.3",205.1
"Battle Creek, MI M.S.A",,"134,139", ,,,,, ,,,
,Includes Calhoun County,,,,,,,,,,
,City of Battle Creek,"60,615", 600 , 6 , 85 , 69 , 440 ," 1,958 ", 467 ," 1,414 ", 77 
,Total area actually reporting,100.0%, 894 , 7 , 154 , 82 , 651 ," 3,873 ", 837 ," 2,862 ", 174 
,"Rate per 100,000 inhabitants",,666.5,5.2,114.8,61.1,485.3,"2,887.3",624.0,"2,133.6",129.7
"Bay City, MI M.S.A.",,"103,965", ,,,,, ,,,
,Includes Bay County,,,,,,,,,,
,City of Bay City,"32,953", 231 , 0 , 43 , 28 , 160 , 732 , 162 , 524 , 46 
,Total area actually reporting,100.0%, 366 , 7 , 98 , 38 , 223 ," 1,411 ", 275 ," 1,050 ", 86 
,"Rate per 100,000 inhabitants",,352.0,6.7,94.3,36.6,214.5,"1,357.2",264.5,"1,010.0",82.7
"Beaumont-Port Arthur, TX M.S.A.2",,"398,704",,,,,,,,,
,"Includes Hardin, Jefferson, and Orange Counties",, ,,,,,,,,
,City of Beaumont,"119,368"," 1,265 ", 13 , 96 , 358 , 798 ," 4,516 ", 961 ," 3,145 ", 410 
,City of Port Arthur,"55,643", 390 , 13 , 20 , 96 , 261 ," 1,445 ", 504 , 807 , 134 
,Total area actually reporting,99.9%," 2,208 ", 31 , 206 , 520 ," 1,451 "," 9,286 "," 2,299 "," 6,059 ", 928 
,Estimated total,100.0%," 2,209 ", 31 , 206 , 520 ," 1,452 "," 9,294 "," 2,301 "," 6,064 ", 929 
,"Rate per 100,000 inhabitants",,554.0,7.8,51.7,130.4,364.2,"2,331.1",577.1,"1,520.9",233.0
"Beckley, WV M.S.A",,"117,329", ,,,,, ,,,
,Includes Fayette and Raleigh Counties,,,,,,,,,,
,City of Beckley,"16,234", 147 , 3 , 24 , 11 , 109 , 836 , 136 , 669 , 31 
,Total area actually reporting,95.7%, 371 , 6 , 63 , 17 , 285 ," 2,090 ", 458 ," 1,514 ", 118 
,Estimated total,100.0%, 387 , 6 , 63 , 21 , 297 ," 2,225 ", 471 ," 1,631 ", 123 
,"Rate per 100,000 inhabitants",,329.8,5.1,53.7,17.9,253.1,"1,896.4",401.4,"1,390.1",104.8
"Bellingham, WA M.S.A",,"225,272", ,,,,, ,,,
,Includes Whatcom County,,,,,,,,,,
,City of Bellingham,"90,208", 204 , 0 , 34 , 53 , 117 ," 3,346 ", 459 ," 2,722 ", 165 
,Total area actually reporting,97.6%, 420 , 2 , 79 , 80 , 259 ," 5,553 ", 978 ," 4,268 ", 307 
,Estimated total,100.0%, 438 , 2 , 81 , 85 , 270 ," 5,679 ", 990 ," 4,377 ", 312 
,"Rate per 100,000 inhabitants",,194.4,0.9,36.0,37.7,119.9,"2,521.0",439.5,"1,943.0",138.5
"Bend, OR M.S.A.",,"191,547", ,,,,, ,,,
,Includes Deschutes County,,,,,,,,,,
,City of Bend,"97,403", 162 , 1 , 21 , 26 , 114 ," 2,079 ", 164 ," 1,822 ", 93 
,Total area actually reporting,100.0%, 344 , 1 , 56 , 50 , 237 ," 3,863 ", 414 ," 3,219 ", 230 
,"Rate per 100,000 inhabitants",,179.6,0.5,29.2,26.1,123.7,"2,016.7",216.1,"1,680.5",120.1
"Billings, MT M.S.A.",,"181,264", ,,,,, ,,,
,"Includes Carbon, Stillwater, and Yellowstone Counties",,,,,,,,,,
,City of Billings,"110,397", 598 , 8 , 54 , 108 , 428 ," 5,276 ", 685 ," 3,796 ", 795 
,Total area actually reporting,100.0%, 776 , 10 , 72 , 116 , 578 ," 6,360 ", 838 ," 4,593 ", 929 
,"Rate per 100,000 inhabitants",,428.1,5.5,39.7,64.0,318.9,"3,508.7",462.3,"2,533.9",512.5
"Binghamton, NY M.S.A.",,"236,403", ,,,,, ,,,
,Includes Broome and Tioga Counties,,,,,,,,,,
,City of Binghamton,"44,876", 326 , 3 , 40 , 75 , 208 ," 1,893 ", 427 ," 1,407 ", 59 
,Total area actually reporting,100.0%, 640 , 7 , 141 , 112 , 380 ," 4,881 ", 808 ," 3,909 ", 164 
,"Rate per 100,000 inhabitants",,270.7,3.0,59.6,47.4,160.7,"2,064.7",341.8,"1,653.5",69.4
"Bismarck, ND M.S.A.",,"128,877", ,,,,, ,,,
,"Includes Burleigh, Morton, and Oliver Counties",,,,,,,,,,
,City of Bismarck,"74,644", 223 , 2 , 46 , 24 , 151 ," 2,034 ", 254 ," 1,570 ", 210 
,Total area actually reporting,100.0%, 391 , 2 , 70 , 30 , 289 ," 3,063 ", 449 ," 2,240 ", 374 
,"Rate per 100,000 inhabitants",,303.4,1.6,54.3,23.3,224.2,"2,376.7",348.4,"1,738.1",290.2
"Blacksburg-Christiansburg, VA M.S.A.",,"167,435",,,,,,,,,
,"Includes Giles, Montgomery, and Pulaski Counties and Radford City",,,,,,,,,,
,City of Blacksburg,"44,853", 41 , 0 , 20 , 4 , 17 , 322 , 28 , 285 , 9 
,City of Christiansburg,"22,444", 43 , 0 , 15 , 2 , 26 , 532 , 34 , 485 , 13 
,Total area actually reporting,100.0%, 335 , 1 , 125 , 25 , 184 ," 2,689 ", 329 ," 2,249 ", 111 
,"Rate per 100,000 inhabitants",,200.1,0.6,74.7,14.9,109.9,"1,606.0",196.5,"1,343.2",66.3
"Bloomington, IL M.S.A.",,"171,896",,,,,,,,,
,Includes McLean County,, ,,,,,,,,
,City of Bloomington,"78,097", 339 , 9 , 68 , 37 , 225 ," 1,193 ", 196 , 909 , 88 
,Total area actually reporting,100.0%, 515 , 11 , 123 , 59 , 322 ," 2,436 ", 364 ," 1,946 ", 126 
,"Rate per 100,000 inhabitants",,299.6,6.4,71.6,34.3,187.3,"1,417.1",211.8,"1,132.1",73.3
"Bloomington, IN M.S.A.",,"168,926", ,,,,, ,,,
,Includes Monroe and Owen Counties,,,,,,,,,,
,City of Bloomington,"85,730", 463 , 2 , 47 , 76 , 338 ," 2,275 ", 465 ," 1,678 ", 132 
,Total area actually reporting,87.7%, 586 , 3 , 85 , 80 , 418 ," 3,399 ", 646 ," 2,529 ", 224 
,Estimated total,100.0%, 611 , 4 , 86 , 81 , 440 ," 3,607 ", 712 ," 2,660 ", 235 
,"Rate per 100,000 inhabitants",,361.7,2.4,50.9,47.9,260.5,"2,135.3",421.5,"1,574.7",139.1
"Bloomsburg-Berwick, PA M.S.A",,"83,914", ,,,,, ,,,
,Includes Columbia and Montour Counties,,,,,,,,,,
,City of Bloomsburg Town,"14,145", 35 , 0 , 4 , 0 , 31 , 194 , 27 , 161 , 6 
,City of Berwick,"10,030", 37 , 0 , 8 , 2 , 27 , 181 , 19 , 156 , 6 
,Total area actually reporting,98.1%, 156 , 0 , 25 , 3 , 128 , 929 , 118 , 786 , 25 
,Estimated total,100.0%, 156 , 0 , 25 , 3 , 128 , 953 , 119 , 809 , 25 
,"Rate per 100,000 inhabitants",,185.9,0.0,29.8,3.6,152.5,"1,135.7",141.8,964.1,29.8
"Boise City, ID M.S.A.",,"730,260",,,,,,,,,
,"Includes Ada, Boise, Canyon, Gem, and Owyhee Counties",, ,,,,,,,,
,City of Boise ,"229,265", 635 , 1 , 173 , 51 , 410 ," 4,627 ", 638 ," 3,725 ", 264 
,Total area actually reporting,100.0%," 1,782 ", 9 , 394 , 103 ," 1,276 "," 11,455 "," 2,007 "," 8,546 ", 902 
,"Rate per 100,000 inhabitants",,244.0,1.2,54.0,14.1,174.7,"1,568.6",274.8,"1,170.3",123.5
"Boston-Cambridge-Newton, MA-NH M.S.A.",,"4,879,088",,,,,,,,,
,"Includes the Metropolitan Divisions of Boston, MA; Cambridge-Newton-Framingham, MA; and Rockingham County-Strafford County, NH",,,,,,,,,,
,"City of Boston, MA","694,673"," 4,324 ", 56 , 278 ," 1,172 "," 2,818 "," 14,007 "," 1,853 "," 11,000 "," 1,154 "
,"City of Cambridge, MA","114,881", 339 , 0 , 27 , 102 , 210 ," 2,068 ", 255 ," 1,704 ", 109 
,"City of Newton, MA","89,505", 58 , 0 , 3 , 5 , 50 , 629 , 72 , 540 , 17 
,"City of Framingham, MA","72,510", 253 , 0 , 21 , 18 , 214 , 820 , 123 , 635 , 62 
,"City of Waltham, MA","62,655", 117 , 0 , 13 , 11 , 93 , 561 , 90 , 431 , 40 
,Total area actually reporting,98.8%," 13,783 ", 93 ," 1,433 "," 2,627 "," 9,630 "," 56,555 "," 7,352 "," 44,867 "," 4,336 "
,Estimated total,100.0%," 13,878 ", 93 ," 1,439 "," 2,655 "," 9,691 "," 56,956 "," 7,376 "," 45,203 "," 4,377 "
,"Rate per 100,000 inhabitants",,284.4,1.9,29.5,54.4,198.6,"1,167.3",151.2,926.5,89.7
"Boston, MA M.D.",,"2,030,758",,,,,,,,,
,"Includes Norfolk, Plymouth, and Suffolk Counties",,,,,,,,,,
,Total area actually reporting,97.6%," 8,165 ", 67 , 718 ," 1,752 "," 5,628 "," 28,224 "," 3,608 "," 22,402 "," 2,214 "
,Estimated total,100.0%," 8,241 ", 67 , 724 ," 1,776 "," 5,674 "," 28,592 "," 3,632 "," 22,710 "," 2,250 "
,"Rate per 100,000 inhabitants",,405.8,3.3,35.7,87.5,279.4,"1,407.9",178.8,"1,118.3",110.8
"Cambridge-Newton-Framingham, MA M.D.",,"2,407,742",,,,,,,,,
,Includes Essex and Middlesex Counties,,,,,,,,,,
,Total area actually reporting,99.7%," 5,034 ", 18 , 576 , 791 ," 3,649 "," 23,502 "," 3,302 "," 18,319 "," 1,881 "
,Estimated total,100.0%," 5,053 ", 18 , 576 , 795 ," 3,664 "," 23,535 "," 3,302 "," 18,347 "," 1,886 "
,"Rate per 100,000 inhabitants",,209.9,0.7,23.9,33.0,152.2,977.5,137.1,762.0,78.3
"Rockingham County-Strafford County, NH M.D.",,"440,588",,,,,,,,,
,Includes Rockingham and Strafford Counties,,,,,,,,,,
,Total area actually reporting,100.0%,584, 8 , 139 , 84 , 353 ," 4,829 ", 442 ," 4,146 ", 241 
,"Rate per 100,000 inhabitants",,132.6,1.8,31.5,19.1,80.1,"1,096.0",100.3,941.0,54.7
"Boulder, CO M.S.A.5",,"326,642", ,,,,, ,,,
,Includes Boulder County,,,,,,,,,,
,City of Boulder,"108,380", 292 , 0 , 39 , 39 , 214 ," 3,666 ", 386 ," 3,035 ", 245 
,Total area actually reporting,100.0%, 882 , 2 , 201 , 95 , 584 ,," 1,073 ",, 717 
,"Rate per 100,000 inhabitants",,270.0,0.6,61.5,29.1,178.8,,328.5,,219.5
"Bowling Green, KY M.S.A.",,"177,116", ,,,,, ,,,
,"Includes Allen, Butler, Edmonson, and Warren Counties",,,,,,,,,,
,City of Bowling Green,"68,268", 208 , 6 , 59 , 64 , 79 ," 3,312 ", 414 ," 2,681 ", 217 
,Total area actually reporting,100.0%, 276 , 7 , 80 , 73 , 116 ," 4,190 ", 724 ," 3,172 ", 294 
,"Rate per 100,000 inhabitants",,155.8,4.0,45.2,41.2,65.5,"2,365.7",408.8,"1,790.9",166.0
"Bridgeport-Stamford-Norwalk, CT M.S.A.2",,"936,667",,,,,,,,,
,Includes Fairfield County,,,,,,,,,,
,City of Bridgeport2,"146,819", 945 , 11 , 83 , 325 , 526 ," 2,833 ", 588 ," 1,647 ", 598 
,City of Stamford,"132,007", 218 , 3 , 21 , 64 , 130 ," 2,120 ", 228 ," 1,655 ", 237 
,City of Norwalk,"89,442", 252 , 1 , 13 , 49 , 189 ," 1,347 ", 147 ," 1,082 ", 118 
,City of Danbury,"85,818", 133 , 0 , 21 , 40 , 72 ," 1,163 ", 128 , 926 , 109 
,City of Stratford,"52,472", 53 , 0 , 6 , 21 , 26 ," 1,080 ", 132 , 833 , 115 
,Total area actually reporting,100.0%," 1,756 ", 16 , 178 , 547 ," 1,015 "," 12,541 "," 1,633 "," 9,399 "," 1,509 "
,"Rate per 100,000 inhabitants",,187.5,1.7,19.0,58.4,108.4,"1,338.9",174.3,"1,003.5",161.1
"Brownsville-Harlingen, TX M.S.A.2",,"424,884",,,,,,,,,
,Includes Cameron County,, ,,,,,,,,
